,year,round,pick,player,position,school
101,1982,1,9,"Levingston, Cliff",PF,Wichita State
102,1982,1,10,"Edmonson, Keith",SG,Purdue
103,1982,1,11,Fat Lever,PG,Arizona State
104,1982,1,12,"Bagley, John",PG,Boston College
105,1982,1,13,"Floyd, Sleepy",SG,Georgetown
106,1982,1,14,"Conner, Lester",PG,Oregon State
107,1982,1,15,"Thirdkill, David",SF,Bradley
108,1982,1,16,"Teagle, Terry",SG,Baylor
109,1982,1,17,"Steppe, Brook",SG,Georgia Tech
110,1982,1,18,"Pierce, Ricky",SF,Rice
111,1982,1,19,"Williams, Rob",PG,Houston
112,1982,1,20,"Pressey, Paul",SF,Tulsa
113,1982,1,21,"Phillips, Eddie",SF,Alabama
114,1982,1,22,"McNamara, Mark",C,California
115,1982,1,23,"Tillis, Darren",C,Cleveland State
116,1982,2,24,"Robinson, Oliver",SG,UAB
117,1982,2,25,"Warrick, Bryan",SG,Saint Joseph's
118,1982,2,26,"Frazier, Ricky",SF,Missouri
119,1982,2,27,"Roberts, Fred",PF,BYU
120,1982,2,28,"Magley, Dave",PF,Kansas
121,1982,2,29,"Hastings, Scott",F/C,Arkansas
122,1982,2,30,"Bryant, Wallace",C,San Francisco
123,1982,2,31,"Higgins, Rod",F/C,Fresno State
124,1982,2,32,"Anderson, Richard",PF,UC Santa Barbara
125,1982,2,33,"Townes, Linton",SF,James Madison
126,1982,2,34,"Taylor, Vince",SF,Duke
127,1982,2,35,"Smith, Derek",SG,Louisville
128,1982,2,36,"Anderson, J. J.",SF,Bradley
129,1982,2,37,"Norris, Audie",C,Jackson State
130,1982,2,38,Wayne Sappleton,F,Loyola (IL)
131,1982,2,39,"Magee, Kevin",PF,UC Irvine
132,1982,2,40,"Morgan, Guy",G,Wake Forest
133,1982,2,41,"Anderson, Dwight",G,USC
134,1982,2,42,"Taylor, Jeff",SG,Texas Tech
135,1982,2,43,"Slaughter, Jose",SG,Portland
136,1982,2,44,"Gibson, Mike",F,USC Upstate
137,1982,2,45,"Schoene, Russ",F/C,Chattanooga
138,1982,2,46,"Guy, Tony",G,Kansas
139,1983,1,1,"Sampson, Ralph",C,Virginia
140,1983,1,2,"Stipanovich, Steve",C,Missouri
141,1983,1,3,"McCray, Rodney",SF,Louisville
142,1983,1,4,"Scott, Byron",SG,Arizona State
143,1983,1,5,"Green, Sidney",PF,UNLV
144,1983,1,6,"Cross, Russell",C,Purdue
145,1983,1,7,"Bailey, Thurl",PF,NC State
146,1983,1,8,"Carr, Antoine",PF,Wichita State
147,1983,1,9,"Ellis, Dale",SG,Tennessee
148,1983,1,10,"Malone, Jeff",SG,Mississippi State
149,1983,1,11,"Harper, Derek",PG/SG,Illinois
150,1983,1,12,"Walker, Darrell",SG,Arkansas
151,1983,1,13,"Whatley, Ennis",PG,Alabama
152,1983,1,14,"Drexler, Clyde",SG,Houston
153,1983,1,15,"Carter, Howard",SG,LSU
154,1983,1,16,"Sundvold, Jon",PG,Missouri
155,1983,1,17,"Rautins, Leo",SF,Syracuse
156,1983,1,18,"Breuer, Randy",C,Minnesota
157,1983,1,19,"Paxson, John",PG,Notre Dame
158,1983,1,20,"Hinson, Roy",C,Rutgers
159,1983,1,21,"Kite, Greg",C,BYU
160,1983,1,22,"Wittman, Randy",SG,Indiana
161,1983,1,23,"Wiggins, Mitchell",SG,Florida State
162,1983,1,24,"Granger, Stewart",PG,Villanova
163,1983,2,25,"Lowe, Sidney",PG,NC State
164,1983,2,26,"Combs, Leroy",SF,Oklahoma State
165,1983,2,27,"Garris, John",PF,Boston College
166,1983,2,28,"Foster, Rod",PG,UCLA
167,1983,2,29,"Micheaux, Larry",PF,Houston
168,1983,2,30,"West, Mark",C,Old Dominion
169,1983,2,31,"Rivers, Doc",PG,Marquette
170,1983,2,32,"Britt, Michael",SF,UDC
171,1983,2,33,"Minniefield, Dirk",PG,Kentucky
172,1983,2,34,"Williams, Guy",F,Washington State
173,1983,2,35,"Lockhart, Darrell",C,Auburn
174,1983,2,36,"McCray, Scooter",PF,Louisville
175,1983,2,37,"Russell, David",SF,St. John's
176,1983,2,38,"McNealy, Chris",PF,San Jose State
177,1983,2,39,"Waiters, Granville",C,Ohio State
178,1983,2,40,"Thomas, Jim",SG,Indiana
179,1983,2,41,"Kitchel, Ted",SF,Indiana
180,1983,2,42,"Davis, Mike",SG,Alabama
181,1983,2,43,"Mannion, Pace",SF,Utah
182,1983,2,44,"Owens, Horace",SG,Rhode Island
183,1983,2,45,"Williams, Paul",SF,Arizona State
184,1983,2,46,"Williams, Kevin",PG,St. John's
185,1983,2,47,"Lyons, Kenneth",PF,North Texas State
186,1984,1,1,"Olajuwon, Akeem",C,Houston
187,1984,1,2,"Bowie, Sam",C,Kentucky
188,1984,1,3,"Jordan, Michael",G/F,North Carolina
189,1984,1,4,"Perkins, Sam",F/C,North Carolina
190,1984,1,5,"Barkley, Charles",F,Auburn
191,1984,1,6,"Turpin, Melvin",C,Kentucky
192,1984,1,7,"Robertson, Alvin",G,Arkansas
193,1984,1,8,"Gordon, Lancaster",G,Louisville
194,1984,1,9,"Thorpe, Otis",F/C,Providence
195,1984,1,10,"Wood, Leon",G,Cal State Fullerton
196,1984,1,11,"Willis, Kevin",F/C,Michigan State
197,1984,1,12,"McCormick, Tim",C,Michigan
198,1984,1,13,"Humphries, Jay",G,Colorado
199,1984,1,14,"Cage, Michael",F/C,San Diego State
200,1984,1,15,"Stansbury, Terence",G,Temple
201,1984,1,16,"Stockton, John",G,Gonzaga
202,1984,1,17,"Turner, Jeff",F/C,Vanderbilt
203,1984,1,18,"Fleming, Vern",G,Georgia
204,1984,1,19,"Thompson, Bernard",G/F,Fresno State
205,1984,1,20,"Campbell, Tony",G/F,Ohio State
206,1984,1,21,"Fields, Kenny",G/F,UCLA
207,1984,1,22,"Sewell, Tom",G,Lamar
208,1984,1,23,"Jones, Earl",C,UDC
209,1984,1,24,"Young, Michael",G/F,Houston
210,1984,2,25,"Durrant, Devin",F,Brigham Young
211,1984,2,26,"Fleming, Victor",G,Xavier
212,1984,2,27,"Anderson, Ron",G/F,Fresno State
213,1984,2,28,"Blackwell, Cory",F,Wisconsin
214,1984,2,29,"Gray, Stuart",F/C,UCLA
215,1984,2,30,"Burtt, Steve",G,Iona
216,1984,2,31,"Murphy, Jay",F,Boston College
217,1984,2,32,"Turner, Eric",G,Michigan
218,1984,2,33,"Colter, Steve",G,New Mexico State
219,1984,2,34,"Costner, Tony",C,Saint Joseph's
220,1984,2,35,"Wilson, Othell",G,Virginia
221,1984,2,36,"Jones, Charles",F,Louisville
222,1984,2,37,"Coleman, Ben",F,Maryland
223,1984,2,38,"Sitton, Charlie",F,Oregon State
224,1984,2,39,"Young, Danny",G,Wake Forest
225,1984,2,40,"Teachey, Anthony",F,Wake Forest
226,1984,2,41,"Sluby, Tom",G,Notre Dame
227,1984,2,42,"White, Willie",G,Chattanooga
228,1984,2,43,"Wiltjer, Greg",C,Victoria (Canada)
229,1984,2,44,"Reynolds, Fred",F,UTEP
230,1984,2,45,"Plummer, Gary",F/C,Boston University
231,1984,2,46,"Kersey, Jerome",F,Longwood
232,1984,2,47,"Williams, Ronnie",F,Florida
233,1985,1,1,"Ewing, Patrick",C,Georgetown
234,1985,1,2,"Tisdale, Wayman",PF,Oklahoma
235,1985,1,3,"Benjamin, Benoit",C,Creighton
236,1985,1,4,"McDaniel, Xavier",PF,Wichita State
237,1985,1,5,"Koncak, Jon",C,SMU
238,1985,1,6,"Kleine, Joe",C,Arkansas
239,1985,1,7,"Mullin, Chris",SF,St. John's
240,1985,1,8,"Schrempf, Detlef",SF/PF,Washington
241,1985,1,9,"Oakley, Charles",PF,Virginia Union
242,1985,1,10,"Pinckney, Ed",PF,Villanova
243,1985,1,11,"Lee, Keith",C,Memphis State
244,1985,1,12,"Green, Kenny",F,Wake Forest
245,1985,1,13,"Malone, Karl",PF,Louisiana Tech
246,1985,1,14,"Hughes, Alfredrick",SG,Loyola (IL)
247,1985,1,15,"Rasmussen, Blair",C,Oregon
248,1985,1,16,"Wennington, Bill",C,St. John's
249,1985,1,17,"Blab, Uwe",C,Indiana
250,1985,1,18,"Dumars, Joe",SG,McNeese State
251,1985,1,19,"Harris, Steve",SG,Tulsa
252,1985,1,20,"Vincent, Sam",SG,Michigan State
253,1985,1,21,"Catledge, Terry",PF,South Alabama
254,1985,1,22,"Reynolds, Jerry",G/F,LSU
255,1985,1,23,"Green, A. C.",SF/PF,Oregon State
256,1985,1,24,"Porter, Terry",PG,Wisconsinâ€“Stevens Point
257,1985,2,25,"Smrek, Mike",C,Canisius
258,1985,2,26,"Martin, Bill",F,Georgetown
259,1985,2,27,"McClain, Dwayne",SG,Villanova
260,1985,2,28,"Johnson, Ken",F,Michigan State
261,1985,2,29,"Brittain, Mike",C,South Carolina
262,1985,2,30,"Duncan, Calvin",G,VCU
263,1985,2,31,"Bol, Manute",C,Bridgeport
264,1985,2,32,"Vanos, Nick",C,Santa Clara
265,1985,2,33,"Stokes, Greg",F/C,Iowa
266,1985,2,34,"Sherrod, Aubrey",SG,Wichita State
267,1985,2,35,"Corbin, Tyrone",SF/PF,DePaul
268,1985,2,36,"Joseph, Yvon",C,Georgia Tech
269,1985,2,37,"Scurry, Carey",F,LIU Brooklyn
270,1985,2,38,"MartÃ_n, Fernando",PF,Real Madrid
271,1985,2,39,"Montgomery, George",F,Illinois
272,1985,2,40,"Acres, Mark",F/C,Oral Roberts
273,1985,2,41,"Charles, Lorenzo",PF,NC State
274,1985,2,42,"Hurt, Bobby Lee",C/F,Alabama
275,1985,2,43,"Stevens, Barry",G/F,Iowa State
276,1985,2,44,"Winters, Voise",SG,Bradley
277,1985,2,45,"Williams, John ""Hot Rod""",PF,Tulane
278,1985,2,46,"Branch, Adrian",SF,Maryland
279,1985,2,47,"Wilkins, Gerald",SG,Chattanooga
280,1986,1,1,"Daugherty, Brad",C,North Carolina
281,1986,1,2,"Bias, Len",SF,Maryland
282,1986,1,3,"Washburn, Chris",C,NC State
283,1986,1,4,"Person, Chuck",SF,Auburn
284,1986,1,5,"Walker, Kenny",SF,Kentucky
