player_id,year,round,pick,Player,Class,Pos,School,Conf_x,G,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team_Rk,W,L,BPI Off,BPI Def,BPI,Player_Rank,Outside100,Height,Weight
35,2011,2,60,Isaiah Thomas,JR,G,Washington,Pac-10,35,31.9,5.4,12.1,3.7,7.1,1.7,4.9,4.3,6,0.7,2.8,3.5,6.1,1.3,0.1,3,2.1,16.8,17,24,11,13.7,-0.2,13.5,0,1,69,170
36,2016,1,9,Jakob Poeltl,SO,F,Utah,Pac-12,36,30.4,6.3,9.8,6.3,9.8,0,0,4.6,6.6,2.8,6.3,9.1,1.9,0.6,1.6,2.1,2.3,17.2,40,27,9,6.3,3.9,10.1,0,1,84,230
37,2016,1,7,Jamal Murray,FR,G,Kentucky,SEC,36,35.2,6.8,14.9,3.6,7.3,3.1,7.7,3.3,4.2,1.5,3.7,5.2,2.2,1,0.3,2.3,2.1,20,8,27,9,9.8,6.4,16.2,0,1,76,193
38,2013,2,50,James Ennis,SR,G,Long Beach State,Big West,33,33.1,5.5,11.2,3.8,6.6,1.7,4.7,3.8,4.6,2,4.7,6.7,2.1,1.8,1.3,3,2.3,16.5,203,19,14,1.3,-2.9,-1.6,0,1,79,200
39,2012,1,24,Jared Cunningham,JR,G,Oregon State,Pac-12,36,34.6,5.5,12.2,4.1,8.1,1.4,4.1,5.5,7.5,1,2.8,3.8,2.8,2.5,0.4,2.8,2.4,17.9,100,21,15,9.3,-4.8,4.5,0,1,75,170
40,2014,2,35,Jarnell Stokes,JR,F,Tennessee,SEC,37,32.4,5.4,10.1,5.4,10.1,0,0,4.3,6.2,4.2,6.4,10.6,2,0.7,0.9,2.1,2,15.1,15,24,13,5.1,9.4,14.5,0,1,80,250
41,2016,2,60,Tyrone Wallace,JR,G,University of California,Pac-12,33,34.9,6.3,14.8,5.5,12.2,0.8,2.7,3.6,6,0.9,6.2,7.1,4,1.3,0.3,2.8,2.8,17.1,30,23,11,5.1,6.7,11.8,0,1,76,180
42,2012,1,30,Festus Ezeli,SR,C,Vanderbilt,SEC,26,23.2,3.4,6.3,3.4,6.3,0,0,3.2,5.3,2.4,3.5,5.9,0.3,0.4,2,2.2,3.2,10.1,18,25,11,8.2,4.4,12.6,0,1,83,255
43,2012,1,12,Jeremy Lamb,SO,G,Connecticut,Big East,34,37.2,6.4,13.4,4.3,7.1,2.1,6.2,2.9,3.6,0.9,3.9,4.9,1.7,1.2,0.6,2,1.7,17.7,39,20,14,4.3,5.2,9.5,0,1,76,175
44,2015,2,41,Pat Connaughton,SR,G,Notre Dame,ACC,38,35.6,4.4,9.4,1.9,3.6,2.4,5.8,1.3,1.7,1.1,6.3,7.4,1.5,0.7,0.9,1.2,2,12.5,11,32,6,13,2.8,15.8,0,1,76,190
45,2011,1,10,Jimmer Fredette,SR,G,Brigham Young,MWC,37,35.8,9.4,20.7,6,12.2,3.4,8.5,6.8,7.6,0.6,2.8,3.4,4.3,1.3,0,3.5,1.3,28.9,13,32,5,13.2,0.8,14,0,1,74,185
46,2011,1,30,Jimmy Butler,SR,G,Marquette,Big East,37,34.6,5.1,10.3,4.5,8.8,0.5,1.6,5.1,6.5,2.4,3.6,6.1,2.3,1.4,0.4,1.5,1.3,15.7,30,22,15,8.1,3,11.1,0,1,78,215
47,2014,2,33,Joe Harris,JR,G,Virginia,ACC,35,32.5,5.5,11.7,3.3,6.5,2.2,5.2,3.2,4.3,0.9,3.2,4,2.2,0.9,0.5,2,2.3,16.3,5,30,7,0.2,16.1,16.4,0,1,77,195
48,2014,2,46,Jordan Clarkson,JR,G,Missouri,SEC,35,35.1,6,13.3,5.1,10.1,0.9,3.3,4.6,5.6,0.8,3,3.8,3.4,1.1,0.2,2.7,2.2,17.5,55,23,12,6.1,1.9,8,0,1,76,175
49,2011,2,36,Jordan Williams,SO,F,Maryland,ACC,33,32.5,6.5,12,6.5,12,0,0,4,6.9,3.7,8.1,11.8,0.6,0.7,1.4,1.6,2.4,16.9,24,19,14,8.2,3.6,11.9,0,1,82,240
