,Rank,Name,Position,Height,Weight
0,1,ben-simmons,PF,81,225
1,2,skal-labissiere,C,82,210
2,3,brandon-ingram,SF,80,198
3,4,jaylen-brown,SF,79,220
4,5,henry-ellenson,PF,82,230
5,6,diamond-stone,C,82,250
6,7,cheick-diallo,PF,81,225
7,8,ivan-rabb,PF,83,210
8,9,caleb-swanigan,C,80,275
9,10,malik-newman,SG,75,175
10,11,chase-jeter,C,82,215
11,12,stephen-zimmerman,C,84,230
12,13,isaiah-briscoe,PG,75,200
13,14,dwayne-bacon,SG,78,209
14,15,antonio-blakeney,SG,76,170
15,16,jalen-brunson,PG,73,180
16,17,derryck-thornton,PG,73,175
17,18,allonzo-trier,SG,76,190
18,19,pj-dozier,PG,78,185
19,20,thomas-bryant,C,82,220
20,21,carlton-bragg,PF,81,220
21,22,deyonta-davis,PF,81,210
22,23,malachi-richardson,SG,78,190
23,24,luke-kennard,SG,77,180
24,25,jalen-adams,PG,74,160
25,26,dedric-lawson,PF,80,195
26,27,tyler-davis,C,82,270
27,28,malik-beasley,SG,76,185
28,29,ray-smith,SF,80,180
29,30,derrick-jones,SF,78,180
30,30,maverick-rowan,SF,78,190
31,31,elijah-thomas,C,81,230
32,32,deng-adel,SF,79,190
33,33,jawun-evans,PG,72,180
34,34,jalen-coleman,SG,76,185
35,35,dj-hogg,SF,79,205
36,36,king-mcclure,SG,75,200
37,37,Mamadi Diakite,PF,81,210
38,37,justin-simon,PG,77,185
39,38,tyler-dorsey,SG,76,180
40,39,brandon-sampson,SG,76,175
41,40,chimezie-metu,PF,81,215
42,41,prince-ali,SG,76,180
43,42,charles-matthews,SG,77,175
44,43,donovan-mitchell,SG,74,185
45,44,kj-lawson,SF,79,200
46,45,eric-davis,SG,75,165
47,46,esa-ahmad,SF,80,218
48,47,kerwin-roach-jr,PG,75,160
49,48,tevin-mack,SF,79,200
50,49,dejounte-murray,SG,77,175
51,49,isaac-humphries,C,83,250
52,50,austin-grandstaff,SG,77,190
53,51,Lagerald Vick,SG,77,185
54,52,noah-dickerson,PF,80,237
55,53,ed-morrow-jr,PF,79,215
56,54,chris-clarke,SF,78,190
57,55,nick-marshall,C,83,220
58,56,kevaughn-allen,SG,75,170
59,57,raymond-spalding,PF,81,200
60,58,moustapha-diagne,PF,80,230
61,59,daniel-giddens,C,82,240
62,60,marquese-chriss,PF,80,200
63,61,horace-spencer,PF,80,212
64,62,corey-sanders,PG,74,170
65,63,stephen-thompson-jr,SG,76,165
66,64,dj-williams,SF,79,202
67,65,jeremy-hemsley,SG,76,190
68,66,danjel-purifoy,SF,79,210
69,67,jessie-govan,C,82,263
70,68,admon-gilder,SG,75,185
71,69,matt-mcquaid,SG,76,175
72,70,kevarrius-hayes,PF,81,190
73,71,ted-kapita,PF,80,235
74,72,doral-moore,C,84,215
75,73,glynn-watson,PG,71,160
76,74,josh-reaves,SG,76,185
77,75,aaron-falzon,PF,79,190
78,76,tyler-lydon,PF,80,181
79,77,jimmy-whitt,PG,75,170
80,78,Nick Noskowiak,PG,74,180
81,79,shake-milton,PG,76,190
82,80,aj-harris,PG,69,150
83,81,damon-wilson-jr,PG,77,200
84,82,keith-stone,SF,79,240
85,83,donta-hall,PF,80,205
86,84,kenny-williams,SG,75,175
87,85,haanif-cheatham,SG,77,175
88,86,terance-mann,SG,77,175
89,87,bennie-boatwright,PF,81,220
90,88,aaron-holiday,PG,72,175
91,89,marcus-derrickson,PF,79,250
92,90,Mike Watkins,C,80,210
93,91,tres-tinkle,SF,79,215
94,92,kendall-small,PG,72,170
95,93,chance-comanche,C,82,205
96,94,franklin-howard,SG,77,185
97,95,Markis McDuffie,SF,80,175
98,96,levan-alston,SG,76,175
