,Rank,Name,Position,Height,Weight
0,1,harry-giles,PF,82,230
1,2,josh-jackson,SF,79,185
2,3,jayson-tatum,SF,80,175
3,4,lonzo-ball,PG,77,195
4,5,bam-adebayo,PF,81,240
5,6,deaaron-fox,PG,75,160
6,7,markelle-fultz,PG,76,190
7,8,miles-bridges,SF,79,225
8,9,malik-monk,SG,75,185
9,10,frank-jackson,PG,76,200
10,11,terrance-ferguson,SG,79,185
11,12,jonathan-isaac,SF,82,185
12,13,tj-leaf,PF,81,215
13,14,wenyen-gabriel,PF,81,210
14,15,jarrett-allen,C,82,220
15,16,marques-bolden,C,82,254
16,17,tony-bradley,C,82,235
17,17,austin-wiley,C,81,250
18,18,omari-spellman,PF,81,275
19,19,josh-langford,SG,78,205
20,20,kobi-simmons,PG,78,185
21,21,rawle-alkins,SF,76,200
22,22,udoka-azubuike,C,83,270
23,23,vj-king,SF,79,179
24,24,Sacha Killeya-Jones,PF,83,215
25,25,mustapha-heron,SG,76,210
26,26,bruce-brown,SG,76,200
27,27,kyle-guy,SG,74,170
28,28,dewan-huell,PF,81,230
29,29,Andrew Jones,SG,76,195
30,30,alterique-gilbert,PG,72,170
31,31,cassius-winston,PG,73,177
32,32,amir-coffey,SF,79,195
33,33,braxton-key,SF,80,240
34,34,jaylen-fisher,PG,74,175
35,35,tyus-battle,SF,77,220
36,36,shamorie-ponds,PG,73,180
37,37,zach-collins,C,83,220
38,38,tyler-cook,PF,81,240
39,39,nick-ward,C,80,230
40,40,curtis-jones,SG,76,170
41,41,sam-cunliffe,SF,78,195
42,42,tony-carr,PG,75,170
43,43,ty-jerome,PG,77,180
44,44,javin-delaurier,PF,80,205
45,45,trent-forrest,SG,76,185
46,46,kameron-mcgusty,SG,77,165
47,47,mario-kegler,SF,80,218
48,48,xavier-simpson,PG,72,175
49,48,markell-johnson,PG,73,175
50,49,kevin-huerter,SG,77,170
51,50,robert-williams,PF,80,220
52,51,deron-davis,PF,80,230
53,52,juwan-durham,PF,81,200
54,53,yoeli-childs,PF,78,225
55,54,payton-pritchard,PG,72,175
56,55,jarron-cumberland,SG,76,210
57,56,brandon-robinson,SG,77,170
58,57,james-banks,C,83,230
59,58,seventh-woods,SG,73,185
60,59,deriante-jenkins,SF,77,180
61,60,ike-anigbogu,C,81,220
62,61,charlie-moore,PG,71,160
63,62,anthony-cowan,PG,71,165
64,63,dejon-jarreau,SG,77,170
65,64,schnider-herard,C,82,260
66,65,Eli Wright,SG,77,190
67,66,derek-funderburk,PF,81,210
68,67,mitch-lightfoot,PF,80,210
69,68,chris-lewis,PF,80,235
70,69,kristian-doolittle,PF,80,215
71,70,mark-vital,SF,78,220
72,71,bruno-fernando,C,81,217
73,72,DeAndre Hunter,SF,79,190
74,73,Jay Huff,PF,82,195
75,74,matthew-moyer,PF,80,205
76,75,taurean-thompson,PF,81,220
77,76,abdulhakim-ado,C,82,240
78,77,romello-white,PF,81,220
79,78,vance-jackson,SF,80,215
80,79,jonah-mathews,SG,73,175
81,80,temple-gibbs,SG,75,190
82,81,myles-powell,SG,74,195
83,82,tyree-crump,SG,74,170
84,83,zach-norvell,SG,76,180
85,84,markus-howard,SG,72,178
86,85,sedee-keita,PF,82,215
87,86,Sam Hauser,SF,78,180
88,87,jethro-tshisumpa,C,82,260
89,88,carsen-edwards,PG,73,175
90,89,jj-caldwell,PG,71,170
91,90,troy-baxter,SF,80,195
92,91,deshawn-corprew,SF,77,190
93,92,quentin-goodin,SG,75,190
94,93,mamadou-diarra,PF,80,215
95,94,tyrique-jones,PF,79,220
96,95,alpha-diallo,SF,79,195
97,96,jared-harper,PG,70,160
98,97,robert-baker-jr,PF,81,190
