,Unnamed: 0,year,round,pick,position,school,Player,Class,Season,Pos,School,Conf_x,G,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,teamyear,Rk,Team,Conf_y,W-L,BPI Off,BPI Def,BPI,Year,identifier_hs,Rank,Name,Position,Height,Weight,Player
312,82,2017,2,38,PF,Oregon,Jordan Bell,JR,2016-17,F,Oregon,Pac-12,39,28.8,4.4,6.9,4.3,6.5,0.1,0.4,2.1,3,2.9,5.9,8.8,1.8,1.3,2.3,1.9,1.7,10.9,Oregon2017,10,Oregon,Pac-12,33-6,10.7,6.8,17.4,2017,Jordan Bell,78,Jordan Bell,PF,79,190,Jordan Bell
323,275,2017,2,52,PG,Xavier,Edmond Sumner,JR,2016-17,G,Xavier,Big East,22,31.7,4.6,9.6,4,7.6,0.5,2,4.5,6.2,0.5,3.6,4.1,4.8,1.2,0.7,2.6,2.3,14.3,Xavier2017,33,Xavier,Big East,24-14,6.8,3.6,10.4,2017,Edmond Sumner,78,Edmond Sumner,PG,75,160,Edmond Sumner
148,214,2014,1,8,SG,Michigan,Nik Stauskas,SO,2013-14,G,Michigan,Big Ten,36,35.6,5.1,10.9,2.6,5.2,2.6,5.8,4.7,5.7,0.4,2.5,2.9,3.3,0.6,0.3,1.9,1.3,17.5,Michigan2014,9,Michigan,Big Ten,28-9,8.7,7,15.7,2014,Nik Stauskas,76,Nik Stauskas,SF,78,205,Nik Stauskas
300,258,2017,1,24,PF,Syracuse,Tyler Lydon,SO,2016-17,F,Syracuse,ACC,34,36.1,4.4,9.4,3,5.7,1.4,3.6,2.9,3.4,2.3,6.3,8.6,2.1,1,1.4,1.7,2.5,13.2,Syracuse2017,35,Syracuse,ACC,19-15,7.6,2.8,10.4,2017,Tyler Lydon,76,Tyler Lydon,PF,80,181,Tyler Lydon
260,279,2016,2,37,PF/C,Louisville,Chinanu Onuaku,SO,2015-16,C,Louisville,ACC,31,24.6,4.4,7.1,4.4,7.1,0,0,1.1,1.8,2.9,5.5,8.5,1.6,0.8,2,2.1,3,9.9,Louisville2016,6,Louisville,ACC,23-8,4.5,12.6,17.1,2016,Chinanu Onuaku,75,Chinanu Onuaku,C,82,220,Chinanu Onuaku
200,210,2015,1,16,PG,Louisville,Terry Rozier,SO,2014-15,G,Louisville,ACC,36,35,5.9,14.5,4.6,10.1,1.3,4.4,3.9,4.9,1.2,4.4,5.6,3,2,0.2,2.2,1.7,17.1,Louisville2015,12,Louisville,ACC,27-9,5.1,9.8,14.8,2015,Terry Rozier,74,Terry Rozier,PG,73,165,Terry Rozier
259,193,2016,2,36,PG/SG,Virginia,Malcolm Brogdon,SR,2015-16,G,Virginia,ACC,37,34.1,6.2,13.6,4.2,8.4,2,5.2,3.8,4.2,0.5,3.5,4.1,3.1,0.9,0.2,1.4,2.1,18.2,Virginia2016,4,Virginia,ACC,29-8,3.4,15.2,18.6,2016,Malcolm Brogdon,73,Malcolm Brogdon,SG,77,205,Malcolm Brogdon
0,79,2011,1,2,SF/PF,Arizona,Derrick Williams,SO,2010-11,F,Arizona,Pac-10,38,30,5.9,10,4.8,8.1,1.1,1.9,6.5,8.7,2.8,5.5,8.3,1.1,1,0.7,2.6,2.8,19.5,Arizona2011,19,Arizona,Pac-12,30-8,9.7,3,12.7,2011,Derrick Williams,72,Derrick Williams,PF,80,215,Derrick Williams
68,231,2012,2,58,SF,Purdue,Robbie Hummel,SR,2011-12,F,Purdue,Big Ten,35,32.2,5.5,13.3,3.5,7.9,2.1,5.4,3.2,3.9,1.6,5.6,7.2,1.9,0.7,1.2,0.9,2.1,16.4,Purdue2012,22,Purdue,Big Ten,22-13,7.5,4.1,11.6,2012,,72,,,80,200,Robbie Hummel
233,106,2015,2,58,SG/SF,North Carolina,J.P. Tokoto,JR,2014-15,F,North Carolina,ACC,38,29.1,3.1,7.1,2.7,6.3,0.3,0.8,1.9,3.1,1.6,4,5.6,4.3,1.5,0.3,2.2,2.4,8.3,North Carolina2015,7,North Carolina,ACC,26-12,14.9,2.9,17.8,2015,,70,,,78,195,J.P. Tokoto
52,132,2012,2,31,SF,Vanderbilt,Jeffery Taylor,SR,2011-12,F,Vanderbilt,SEC,36,32.1,5.8,11.8,4,7.5,1.8,4.3,2.6,4.4,2.1,3.4,5.6,1.7,1.3,0.4,2.2,1.9,16.1,Vanderbilt2012,18,Vanderbilt,SEC,25-11,8.2,4.4,12.6,2012,,69,,,79,190,Jeffery Taylor
267,114,2016,2,47,SF,Maryland,Jake Layman,SR,2015-16,F,Maryland,Big Ten,36,30.9,3.9,7.8,2.3,3.8,1.6,4,2.2,2.6,1.1,4.2,5.3,1.1,1.1,1,1.7,1.9,11.6,Maryland2016,20,Maryland,Big Ten,27-9,6.3,7,13.3,2016,Jake Layman,67,Jake Layman,SF,80,190,Jake Layman
240,72,2016,1,8,PF,Washington,Marquese Chriss,FR,2015-16,F,Washington,Pac-12,34,24.9,5.3,9.9,4.6,8.2,0.6,1.8,2.6,3.8,2.5,2.9,5.4,0.8,0.9,1.6,2,4.1,13.7,Washington2016,92,Washington,Pac-12,19-15,10.1,-5.2,4.9,2016,Marquese Chriss,60,Marquese Chriss,PF,80,200,Marquese Chriss
320,185,2017,2,47,C,UCLA,Ike Anigbogu,FR,2016-17,C,UCLA,Pac-12,29,13,2,3.5,2,3.5,0,0,0.8,1.5,1.4,2.6,4,0.2,0.2,1.2,0.8,2.5,4.7,UCLA2017,12,UCLA,Pac-12,31-5,14.4,2.4,16.8,2017,Ike Anigbogu,60,Ike Anigbogu,C,81,220,Ike Anigbogu
120,7,2013,2,31,SG,California,Allen Crabbe,JR,2012-13,G,University of California,Pac-12,33,36.2,6.5,14.2,4.6,8.6,1.9,5.6,3.4,4.2,1,5.1,6.1,2.6,1.1,0.7,2.5,2.1,18.4,California2013,39,California,Pac-12,21-12,5.5,4.9,10.4,2013,Allen Crabbe,57,Allen Crabbe,SG,78,190,Allen Crabbe
36,39,2011,2,53,SG,Kentucky,DeAndre Liggins,JR,2010-11,G,Kentucky,SEC,38,31.6,2.9,6.9,2,4.5,0.9,2.4,1.8,2.8,0.6,3.4,4,2.5,1.2,0.7,1.4,2.5,8.6,Kentucky2011,5,Kentucky,SEC,29-9,8.7,7.8,16.5,2011,,57,,,78,200,DeAndre Liggins
269,4,2016,2,50,PF,Iowa State,Georges Niang,SR,2015-16,F,Iowa State,Big 12,35,33.2,8.1,14.8,6.5,10.7,1.6,4.1,2.7,3.4,1.3,4.9,6.2,3.3,0.9,0.6,2.6,3.2,20.5,Iowa State2016,25,Iowa State,Big 12,23-12,12.3,0.5,12.8,2016,Georges Niang,56,Georges Niang,PF,79,230,Georges Niang
7,160,2011,1,15,SF,San Diego State,Kawhi Leonard,SO,2010-11,F,San Diego State,MWC,36,32.6,5.9,13.2,5.2,10.8,0.7,2.4,3.1,4,3.1,7.5,10.6,2.5,1.4,0.6,2.1,2.5,15.5,San Diego State2011,9,San Diego State,MW,34-3,6.6,9,15.6,2011,Kawhi Leonard,56,Kawhi Leonard,SF,79,210,Kawhi Leonard
79,243,2013,1,23,SF,Arizona,Solomon Hill,SR,2012-13,F,Arizona,Pac-12,35,33,4.5,9.9,2.9,5.7,1.6,4.2,2.7,3.5,1.7,3.6,5.3,2.7,1.1,0.6,2.2,2.2,13.4,Arizona2013,12,Arizona,Pac-12,27-8,9.2,5.3,14.5,2013,Solomon Hill,54,Solomon Hill,SF,78,210,Solomon Hill
3,171,2011,1,11,SG,Washington State,Klay Thompson,JR,2010-11,G,Washington State,Pac-10,34,34.7,7.1,16.2,4.2,9,2.9,7.2,4.6,5.4,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9,21.6,Washington State2011,52,Washington State,Pac-12,22-13,5.6,3,8.7,2011,,53,,,79,180,Klay Thompson
226,168,2015,2,46,SG,UCLA,Norman Powell,SR,2014-15,G,UCLA,Pac-12,36,34.6,5.9,13,4.9,9.7,1.1,3.3,3.5,4.7,0.6,4.1,4.7,2.1,1.8,0.4,2.2,2.5,16.4,UCLA2015,91,UCLA,Pac-12,22-14,5.8,-1,4.8,2015,Norman Powell,52,Norman Powell,SG,74,175,Norman Powell
92,310,2013,2,51,PF,Oklahoma,Romero Osby,SR,2012-13,F,Oklahoma,Big 12,32,28.5,5.4,10.3,5.2,9.8,0.3,0.5,4.8,6.1,2.1,5,7,1.3,0.6,0.8,1.3,2.4,16,Oklahoma2013,43,Oklahoma,Big 12,20-12,6.4,3.3,9.7,2013,,51,,,79,200,Romero Osby
21,195,2011,2,35,SF,UCLA,Tyler Honeycutt,SO,2010-11,F,UCLA,Pac-10,33,35,4.4,10.8,2.7,6.2,1.7,4.6,2.4,3.2,1.5,5.7,7.2,2.8,0.9,2,3,1.6,12.8,UCLA2011,74,UCLA,Pac-12,23-11,3.3,2.7,6,2011,Tyler Honeycutt,51,Tyler Honeycutt,SF,80,180,Tyler Honeycutt
152,147,2014,1,13,SG,UCLA,Zach LaVine,FR,2013-14,G,UCLA,Pac-12,37,24.4,3.4,7.8,2.1,4.3,1.3,3.5,1.3,1.8,0.5,2.1,2.5,1.8,0.9,0.2,1.1,2,9.4,UCLA2014,20,UCLA,Pac-12,28-9,12,1.8,13.8,2014,Zach Lavine,50,Zach Lavine,PG,75,165,Zach LaVine
66,172,2012,2,51,SF,Syracuse,Kris Joseph,SR,2011-12,F,Syracuse,Big East,37,32.2,4.4,10.5,3.1,6.5,1.4,4,3.2,4.2,1.5,3.2,4.7,1.5,1.4,0.6,1.5,1.7,13.4,Syracuse2012,3,Syracuse,Big East,34-3,9.9,8.4,18.3,2012,,50,,,79,210,Kris Joseph
103,32,2013,1,7,SG,Kansas,Ben McLemore,FR,2012-13,G,Kansas,Big 12,37,32.2,5.4,10.8,3.4,6.1,2,4.7,3.2,3.7,1.3,3.9,5.2,2,1,0.7,2.1,1.9,15.9,Kansas2013,5,Kansas,Big 12,31-6,9.8,6.9,16.8,2013,Ben Mclemore,49,Ben Mclemore,SF,77,185,Ben McLemore
205,293,2015,1,21,SF,Virginia,Justin Anderson,JR,2014-15,F,Virginia,ACC,26,27.8,4,8.5,2.2,4.5,1.8,4,2.5,3.2,0.7,3.4,4,1.7,0.7,0.5,1.2,1.2,12.2,Virginia2015,4,Virginia,ACC,30-4,1.9,17.7,19.6,2015,Justin Anderson,49,Justin Anderson,SF,77,210,Justin Anderson
254,71,2016,1,29,PG/SG,Washington,Dejounte Murray,FR,2015-16,G,Washington,Pac-12,34,33.5,5.9,14.3,4.9,10.8,1,3.5,3.2,4.9,1.4,4.6,6,4.4,1.8,0.3,3.2,2.6,16.1,Washington2016,92,Washington,Pac-12,19-15,10.1,-5.2,4.9,2016,Dejounte Murray,49,Dejounte Murray,SG,77,175,Dejounte Murray
56,318,2012,1,11,C,Illinois,Meyers Leonard,SO,2011-12,C,Illinois,Big Ten,32,31.8,5.3,9.1,5.3,8.8,0,0.3,2.9,4,2.3,5.9,8.2,1.3,0.5,1.9,2.1,2.9,13.6,Illinois2012,76,Illinois,Big Ten,17-15,0.9,5.2,6.1,2012,Meyers Leonard,47,Meyers Leonard,C,84,215,Meyers Leonard
49,26,2012,1,26,C,Duke,Miles Plumlee,SR,2011-12,C,Duke,ACC,34,20.5,2.6,4.3,2.6,4.3,0,0,1.4,2.2,2.9,4.2,7.1,0.5,0.5,0.9,1.2,2.3,6.6,Duke2012,11,Duke,ACC,27-7,12.2,2.6,14.8,2012,,47,,,82,210,Miles Plumlee
170,298,2014,2,36,PF,Louisiana,Johnny O'Bryant III,JR,2013-14,F,LSE,SEC,34,30,5.9,12,5.9,11.9,0,0.1,3.5,5.5,3,4.7,7.7,1.6,0.5,0.9,3.2,3.2,15.4,Louisiana2014,118,Louisiana,Sun Belt,23-12,6.4,-3.3,3.1,2014,Johnny O'Bryant III,46,Johnny O'Bryant III,PF,82,245,Johnny O'Bryant III
24,52,2011,2,38,SF,Florida,Chandler Parsons,SR,2010-11,F,Florida,SEC,36,34.1,4.3,9,3.1,5.7,1.2,3.3,1.5,2.7,2.1,5.7,7.8,3.8,0.9,0.4,2.3,1.9,11.3,Florida2011,11,Florida,SEC,29-8,8.6,6.5,15.1,2011,,44,,,80,190,Chandler Parsons
289,85,2017,1,13,SG,Louisville,Donovan Mitchell,SO,2016-17,G,Louisville,ACC,34,32.3,5.3,13.1,3,6.4,2.4,6.6,2.6,3.2,1.1,3.8,4.9,2.7,2.1,0.5,1.6,2.6,15.6,Louisville2017,6,Louisville,ACC,25-9,7.9,9.9,17.8,2017,Donovan Mitchell,43,Donovan Mitchell,SG,74,185,Donovan Mitchell
84,33,2013,2,39,C,Kansas,Jeff Withey,SR,2012-13,C,Kansas,Big 12,37,30.9,5,8.6,5,8.6,0,0,3.7,5.2,2.1,6.4,8.5,0.9,0.8,3.9,2,2.1,13.7,Kansas2013,5,Kansas,Big 12,31-6,9.8,6.9,16.8,2013,,43,,,81,215,Jeff Withey
99,220,2013,1,3,SF,Georgetown,Otto Porter,SO,2012-13,F,Georgetown,Big East,31,35.4,5.4,11.3,4,8,1.4,3.3,3.9,5.1,1.8,5.7,7.5,2.7,1.8,0.9,1.5,2,16.2,Georgetown2013,14,Georgetown,Big East,25-7,2.4,11.7,14.1,2013,Otto Porter,42,Otto Porter,SF,81,200,Otto Porter
159,144,2014,1,22,SG,UCLA,Jordan Adams,SO,2013-14,G,UCLA,Pac-12,36,30.1,5.8,11.9,4.3,7.9,1.4,4.1,4.4,5.3,1.9,3.5,5.3,2.3,2.6,0.1,1.5,2.2,17.4,UCLA2014,20,UCLA,Pac-12,28-9,12,1.8,13.8,2014,Jordan Adams,41,Jordan Adams,SF,77,220,Jordan Adams
321,241,2017,2,48,SG,South Carolina,Sindarius Thornwell,JR,2015-16,G,South Carolina,SEC,34,33.1,4.2,11.1,2.9,7,1.4,4.1,3.6,4.7,1.1,3.7,4.8,3.8,1.5,0.5,2.3,1.9,13.4,South Carolina2017,28,South Carolina,SEC,26-11,2,9.4,11.4,2017,Sindarius Thornwell,41,Sindarius Thornwell,SG,77,180,Sindarius Thornwell
177,88,2014,2,45,PF,Stanford,Dwight Powell,SR,2013-14,F,Stanford,Pac-12,36,32.4,4.9,10.5,4.6,9.4,0.3,1.1,4,5.9,1.9,4.9,6.9,3.1,1.3,0.8,2.9,3.1,14,Stanford2014,61,Stanford,Pac-12,23-13,4.5,3,7.4,2014,Dwight Powell,40,Dwight Powell,PF,82,212,Dwight Powell
191,11,2015,1,6,C,Kentucky,Willie Cauley-Stein,JR,2014-15,C,Kentucky,SEC,39,25.9,3.5,6.1,3.5,6.1,0,0,2,3.3,2.3,4.2,6.4,1,1.2,1.7,1.2,2,8.9,Kentucky2015,1,Kentucky,SEC,38-1,10.3,13.6,23.9,2015,Willie Cauley Stein,40,Willie Cauley Stein,C,82,215,Willie Cauley-Stein
311,237,2017,2,37,SF/PF,SMU,Semi Ojeleye,JR,2016-17,F,Southern Methodist,AAC,35,34.1,6,12.3,3.9,7.4,2.1,4.9,4.9,6.3,2.3,4.6,6.9,1.5,0.4,0.4,1.4,1.8,19,SMU2017,17,SMU,American,30-5,10.3,5.2,15.5,2017,Semi Ojeleye,40,Semi Ojeleye,SF,78,220,Semi Ojeleye
34,142,2011,2,51,SG,Ohio State,Jon Diebler,SR,2010-11,G,Ohio State,Big Ten,37,35.7,3.9,7.7,0.8,1.6,3.1,6.1,1.7,2.1,0.4,2.3,2.6,2.4,1,0.1,0.9,1,12.6,Ohio State2011,1,Ohio State,Big Ten,34-3,11.4,10.4,21.8,2011,,40,,,78,200,Jon Diebler
39,249,2012,1,5,PF,Kansas,Thomas Robinson,JR,2011-12,F,Kansas,Big 12,39,31.8,6.7,13.3,6.5,12.9,0.2,0.4,4.2,6.1,2.9,9,11.9,1.8,1.1,0.9,2.7,2.7,17.7,Kansas2012,7,Kansas,Big 12,32-7,8.2,7.8,16.1,2012,Thomas  Robinson,40,Thomas  Robinson,PF,80,210,Thomas Robinson
60,205,2012,1,15,SF,St. John's,Maurice Harkless,FR,2011-12,G,St. John's (NY),Big East,32,36.1,6,13.3,5.5,10.9,0.5,2.5,2.9,4.3,2.8,5.9,8.6,1.5,1.6,1.4,2.5,2.3,15.5,St. John's2012,167,St. John's,Big East,13-19,0.5,0,0.6,2012,Maurice Harkless,39,Maurice Harkless,SF,78,200,Maurice Harkless
90,303,2013,2,49,PF,Florida,Erik Murphy,SR,2012-13,F,Florida,SEC,36,26.4,4.6,8.8,2.6,4.4,2,4.4,1.1,1.4,1.6,3.9,5.5,1.4,0.6,0.7,1.4,2.8,12.2,Florida2013,1,Florida,SEC,29-8,7.5,13.7,21.2,2013,Erik Murphy,38,Erik Murphy,PF,82,225,Erik Murphy
185,128,2014,2,58,SG,Tennessee,Jordan McRae,SR,2013-14,G,Tennessee,SEC,37,32.2,6,13.8,3.9,7.8,2.1,6.1,4.5,5.7,0.7,2.8,3.5,2.5,0.7,1,2.1,2.1,18.7,Tennessee2014,15,Tennessee,SEC,24-13,5.1,9.4,14.5,2014,Jordan Mcrae,38,Jordan Mcrae,SG,77,175,Jordan McRae
215,126,2015,2,33,PF,LSU,Jordan Mickey,SO,2014-15,F,Louisiana,SEC,31,34.9,6.2,12.2,6.1,11.9,0,0.3,3.1,4.7,3.2,6.7,9.9,1.3,0.9,3.6,3.3,2.6,15.4,LSU2015,55,LSU,SEC,22-11,7,0.8,7.8,2015,Jordan Mickey,38,Jordan Mickey,PF,80,220,Jordan Mickey
315,83,2017,2,41,SG,Oregon,Tyler Dorsey,SO,2016-17,G,Oregon,Pac-12,39,30,4.8,10.4,2.6,5.1,2.3,5.3,2.7,3.6,0.8,2.6,3.5,1.7,0.8,0.1,1.5,1.5,14.6,Oregon2017,10,Oregon,Pac-12,33-6,10.7,6.8,17.4,2017,Tyler Dorsey,38,Tyler Dorsey,SG,76,180,Tyler Dorsey
9,325,2011,1,17,SG,Georgia Tech,Iman Shumpert,JR,2010-11,G,Georgia Tech,ACC,31,32,5.7,14.1,4.4,9.2,1.4,4.9,4.5,5.6,1.7,4.2,5.9,3.5,2.7,0.2,2.3,2.8,17.3,Georgia Tech2011,80,Georgia Tech,ACC,13-18,1.9,3.6,5.5,2011,,38,,,76,185,Iman Shumpert
173,256,2014,2,39,SF,Syracuse,Jerami Grant,SO,2013-14,F,Syracuse,ACC,32,31.4,4.2,8.4,4.2,8.2,0,0.2,3.8,5.6,2.4,4.3,6.8,1.4,0.8,0.6,1.2,2.3,12.1,Syracuse2014,16,Syracuse,ACC,28-6,1.7,12.6,14.3,2014,Jerami Grant,37,Jerami Grant,PF,79,200,Jerami Grant
286,213,2017,1,10,C/PF,Gonzaga,Zach Collins,FR,2016-17,C,Gonzaga,WCC,39,17.3,3.5,5.3,3.2,4.8,0.3,0.5,2.8,3.8,1.7,4.2,5.9,0.4,0.5,1.8,1.5,2.7,10,Gonzaga2017,1,Gonzaga,WCC,37-2,10.8,9.5,20.4,2017,Zach Collins,37,Zach Collins,C,83,220,Zach Collins
55,87,2012,2,35,PF,Michigan State,Draymond Green,SR,2011-12,F,Michigan State,Big Ten,37,33.2,5.7,12.8,4.3,9.1,1.4,3.6,3.4,4.7,2.1,8.5,10.6,3.8,1.5,0.9,3,2.8,16.2,Michigan State2012,4,Michigan State,Big Ten,29-8,7.7,9.9,17.6,2012,,36,,,78,225,Draymond Green
