,Rank,Name,Position,Height,Weight
0,1,andrew-wiggins,SF,79,205
1,2,jabari-parker,SF,80,220
2,3,julius-randle,PF,81,225
3,4,aron-gordon,PF,80,210
4,5,andrew-harrison,PG,77,210
5,6,joel-embiid,C,83,230
6,7,dakari-johnson,C,82,250
7,8,james-young,SF,78,210
8,9,aaron-harrison,SG,77,205
9,10,kasey-hill,PG,72,170
10,11,jarrell-martin,PF,79,210
11,12,chris-walker,PF,82,195
12,13,noah-vonleh,PF,80,220
13,14,wayne-selden,SF,77,220
14,15,austin-nichols,PF,80,200
15,16,bobby-portis,PF,81,225
16,17,rysheed-jordan,PG,75,180
17,18,isaiah-hicks,PF,80,210
18,19,igel-williams-goss,PG,75,180
19,20,tyler-ennis,PG,74,180
20,21,rondae-hollis-jefferson,SF,79,215
21,22,zak-irvin,SF,78,185
22,23,jabari-bird,SG,78,190
23,24,demetrius-jackson,PG,73,170
24,25,marcus-lee,PF,81,200
25,26,anthony-barber,PG,74,165
26,27,jajuan-johnson,SG,77,185
27,28,eric-mika,C,81,220
28,29,robert-hubbs,SG,77,185
29,30,derrick-walton,PG,72,165
30,31,tyler-roberson,PF,79,200
31,32,isaac-hamilton,SG,77,185
32,33,kuran-iverson,SF,80,200
33,34,Luke Fischer,C,81,200
34,35,jermaine-lawrence,PF,81,190
35,36,matt-jones,SG,76,180
36,37,nick-king,SF,78,210
37,38,jordan-mickey,PF,80,220
38,39,deonte-burton,SF,76,228
39,40,semi-ojeleye,SF,78,220
40,41,sindarius-thornwell,SG,77,180
41,42,devin-williams,PF,80,220
42,43,moses-kingsley,C,81,210
43,44,avier-rathan-mayes,SG,75,180
44,45,nick-emery,PG,74,180
45,46,conner-frankamp,PG,72,155
46,47,brannen-greene,SG,78,215
47,48,anton-gill,SG,75,185
48,49,keith-frazier,SG,77,190
49,50,zach-lavine,PG,75,165
50,51,matt-thomas,SG,75,185
51,52,roddy-peters,PG,76,180
52,53,duane-wilson,PG,75,176
53,54,troy-williams,SF,79,190
54,55,johnathan-williams-iii,PF,80,208
55,56,brandon-austin,SF,78,180
56,57,mike-young,PF,80,245
57,58,kameron-williams,SG,75,170
58,59,kennedy-meeks,C,81,275
59,60,ishmail-wainright,SF,78,220
60,61,kendrick-nunn,SG,74,175
61,62,marc-loving,SF,80,200
62,63,reggie-cameron,PF,79,210
63,64,john-egbunu,C,82,230
64,65,kendall-stephens,SG,77,195
65,66,malcolm-hill,SG,78,205
66,67,beejay-anya,C,81,275
67,68,stevie-clark,PG,70,160
68,69,jimmie-taylor,C,82,210
69,70,vj-beachem,SF,78,180
70,71,christian-wood,PF,82,210
71,72,allerik-freeman,SG,75,205
72,73,ris-jenkins,PF,77,250
73,74,mamadou-ndiaye,C,89,310
74,75,akoy-agau,PF,81,240
75,76,treshaun-fletcher,SF,78,185
76,77,karviar-shepherd,C,81,215
77,78,jordan-bell,PF,79,190
78,79,wes-clark,PG,72,170
79,80,tim-quarterman,PG,77,180
80,81,damian-jones,PF,81,220
81,82,bj-johnson,SF,79,165
82,83,nigel-hayes,PF,79,215
83,84,monte-morris,PG,73,165
84,85,kendal-yancy-harris,PG,76,195
85,86,brandon-randolph,PG,73,175
86,87,cullen-neal,PG,76,170
87,88,kendall-smith,PG,74,165
88,89,mark-donnal,PF,80,225
89,90,dominic-woodson,C,82,290
90,91,jaren-sina,PG,74,175
91,92,josh-hart,SF,76,190
92,93,elliott-pitts,SG,77,190
93,94,billy-garrett-jr,PG,76,170
94,95,rashawn-powell,PG,72,170
95,96,london-perrantes,PG,73,155
96,97,kyle-washington,PF,81,215
97,98,kentan-facey,PF,81,195
98,99,stanford-robinson,SF,76,175
