,Rank,Name,Position,Height,Weight
0,1,anthony-davis,PF,82,200
1,2,ndre-drummond,C,82,275
2,3,ustin-rivers,SG,76,189
3,4,ichael-gilchrist,SF,79,210
4,5,radley-beal,SG,76,205
5,6,ames-mcadoo,PF,80,216
6,7,uincy-miller,PF,81,210
7,8,arquis-teague,PG,74,175
8,9,donis-thomas,SF,78,210
9,10,ebryan-nash,SF,79,230
10,11,yck-kabongo,PG,74,170
11,12,khem-birch,C,81,210
12,13,j-hairston,SG,77,220
13,14,ody-zeller,PF,83,210
14,15,osiah-turner,PG,75,185
15,16,bj-young,PG,75,170
16,17,ony-wroten-jr,PG,76,206
17,18,dorian-finney-smith,SF,79,185
18,19,yle-wiltjer,PF,81,221
19,20,akeem-christmas,C,81,222
20,21,ichael-carter-williams,SG,77,175
21,22,ick-johnson,SG,75,185
22,23,randen-dawson,SF,78,220
23,24,entavious-caldwell-pope,SG,76,190
24,25,dom-pointer,SF,78,195
25,26,abari-brown,SG,75,200
26,27,ayne-blackshear,SG,77,205
27,28,hane-behanan,PF,79,230
28,29,ichael-gbinije,SF,78,194
29,30,evi-randolph,SG,77,180
30,31,odney-hood,SF,79,190
31,32,akarr-sampson,SF,80,200
32,33,ai-jon-parker,SG,74,185
33,34,hannon-scott,PG,74,170
34,35,arshall-plumlee,C,83,215
35,36,y-madden,SG,77,195
36,37,nick-faust,SG,78,175
37,38,uinn-cook,PG,73,180
38,39,aurice-harkless,SF,78,200
39,40,revor-lacey,SG,75,200
40,41,lex-murphy,SF,80,215
41,42,otto-porter,SF,81,200
42,43,mir-williams,C,82,220
43,44,ichael-chandler,C,82,225
44,45,am-thompson,SF,79,185
45,46,ohnny-obryant,PF,82,245
46,47,Sheldon McClellan,SG,77,190
47,48,ezmine-wells,SF,77,220
48,49,ben-mclemore,SF,77,185
49,50,ahii-carson,PG,71,160
50,51,amal-branch,PG,75,163
51,52,norman-powell,SG,74,175
52,53,aquinton-ross,SF,80,200
53,54,euce-bello,SF,76,180
54,55,unter-mickelson,PF,82,220
55,56,erik-copes,C,80,220
56,57,ach-price,C,82,230
57,58,alcolm-gilbert,C,83,214
58,59,adjehi-baru,C,81,225
59,60,hasson-randle,PG,73,170
60,61,ngelo-chol,PF,80,210
61,62,Jonathan Holmes,PF,80,220
62,63,yles-mack,PG,69,155
63,64,angelo-harrison,SG,75,180
64,65,revor-cooney,SG,76,185
65,66,yrone-johnson,PG,75,185
66,67,hris-jones,PG,70,165
67,68,ary-bell-jr,SG,74,175
68,69,ulian-royal,PF,80,200
69,70,Nnanna Egwu,C,82,220
70,71,Antwan Space,SF,79,200
71,73,alcolm-brogdon,SG,77,205
72,74,yan-boatright,PG,74,165
73,75,arlton-brundidge,SG,73,205
74,76,ulien-lewis,SG,75,190
75,77,orvel-pelle,PF,81,200
76,78,ikael-hopkins,C,80,210
77,79,Andre Hollins,SG,74,190
78,80,Jabril Trawick,SG,77,200
79,81,robert-brown,SG,76,175
80,82,sim-bhullar,C,88,330
81,83,joseph-uchebo,C,82,240
82,84,Trey Burke,PG,73,170
83,85,edren-johnson,PG,75,200
84,86,aadir-tharpe,PG,72,170
85,87,racy-abrams,PG,73,175
86,88,nthony-gill,PF,79,210
87,89,paul-jesperson,SF,79,185
88,90,Jarrod Uthoff,PF,80,200
89,91,ike-shaw,PF,80,220
90,92,TaShawn Thomas,PF,80,210
91,93,Ryan Anderson,PF,80,215
92,94,idiki-johnson,PF,80,220
93,95,oe-coleman,SG,76,200
94,96,evin-ware,SG,77,180
95,97,mycheal-henry,SF,78,220
96,98,D.J. Gardner,SF,78,205
97,99,mir-garrett,SF,78,190
98,100,j-barksdale,PF,80,210
