,Rank,Name,Position,Height,Weight
0,1,Avery Bradley,SG,75,180
1,2,Derrick Favors,PF,81,220
2,3,Xavier Henry,SG,78,225
3,4,DeMarcus Cousins,C,81,260
4,5,John Wall,PG,75,180
5,6,John Henson,PF,82,195
6,7,Renardo Sidney,PF,81,265
7,8,Jordan Hamilton,SF,79,215
8,9,"Kenny Boynton, Jr.",SG,75,190
9,10,Mason Plumlee,C,83,220
10,11,Keith Gallon,C,81,300
11,12,Lance Stephenson,SG,77,220
12,13,Daniel Orton,C,82,260
13,14,Abdul Gaddy,PG,75,180
14,15,Wallace Judge,PF,80,195
15,16,Dante Taylor,PF,81,220
16,17,Ryan Kelly,PF,82,210
17,18,Mouphtaou Yarou,PF,81,240
18,19,Dominic Cheek,SG,78,185
19,20,Alex Oriakhi,C,80,230
20,21,John Jenkins,SG,76,175
21,22,Michael Snaer,SG,77,200
22,23,Maalik Wayns,PG,72,190
23,24,Tommy Mason-Griffin,PG,70,190
24,25,Peyton Siva,PG,71,180
25,26,Milton Jennings,SF,81,210
26,27,Dexter Strickland,SG,75,185
27,28,Elijah Johnson,PG,74,180
28,29,Lorenzo Brown,SG,76,180
29,30,Noel Johnson,SF,78,190
30,31,Jamil Wilson,SF,79,215
31,32,Leslie McDonald,SG,77,200
32,33,Jamal Coombs-McDaniel,SF,78,195
33,34,Christian Watford,SF,80,215
34,35,Royce White,PF,79,220
35,36,David Wear,PF,81,220
36,37,Travis Wear,PF,81,220
37,38,Erik Murphy,PF,82,225
38,39,Kyryl Natyazhko,C,82,250
39,40,Thomas  Robinson,PF,80,210
40,41,Isaiah Armwood,PF,80,195
41,42,Rodney Williams,SF,78,185
42,43,Durand Scott,SG,77,180
43,44,Nolan Dennis,SG,77,180
44,45,Aaron Dotson,SG,76,200
45,46,D.J. Richardson,SG,75,180
46,47,Deniz Kilicli,PF,81,250
47,48,Mfon Udofia,PG,74,180
48,49,Terrell Vinson,SF,79,205
49,50,Karron Johnson,PF,79,225
50,51,Tyler Honeycutt,SF,80,180
51,52,Ari Stewart,SF,79,190
52,53,Shawn Williams,SF,78,190
53,54,Solomon Hill,SF,78,210
54,55,Mike Moser,SF,80,180
55,56,Kawhi Leonard,SF,79,210
56,57,Raymond Penn,PG,69,170
57,58,DaShonte Riley,C,83,220
58,59,Aaric Murray,C,83,265
59,60,Dan Jennings,PF,80,225
60,61,Zeke Marshall,C,83,200
61,62,Kenny Hall,PF,81,220
62,63,Kammeon Holsey,PF,80,195
63,64,DeShawn Painter,PF,81,200
64,65,Richard Howell,PF,80,220
65,66,Clarence Trent,PF,79,230
66,67,Marshawn Powell,PF,79,215
67,68,Andrew Fitzgerald,PF,80,250
68,69,Brendan Lane,PF,81,215
69,70,Naji Hibbert,SG,76,180
70,71,Maurice Creek,SG,77,190
71,72,Derrick Williams,PF,80,215
72,73,Roberto Nelson,SG,75,190
73,74,Demetrius Walker,SG,75,190
74,75,A.J. Walton,PG,73,175
75,76,Junior Cadougan,PG,74,220
76,77,Chris Colvin,SG,75,185
77,78,Rakeem Buckles,PF,80,205
78,79,Jeronne Maymon,PF,78,230
79,80,Tristan Spurlock,SF,79,215
80,81,Roger Franklin,SF,77,215
81,82,Khris Middleton,SF,79,195
82,83,Garrius Adams,SG,77,180
83,84,Steve Pledger,SG,76,170
84,85,Anthony Marshall,SG,75,195
85,86,Kevin Parrom,SF,78,200
86,87,Brandon Paul,SG,75,180
87,88,Donnavan Kirk,PF,80,210
88,89,Cory Jefferson,PF,81,190
89,90,Kourtney Roberson,PF,80,215
90,91,Tyler Griffey,PF,80,220
91,92,Jon Hood,SF,78,190
92,93,Lakeem Jackson,SF,76,215
93,94,Lamar Patterson,SF,77,220
94,95,Erik Williams,SF,79,190
95,96,Dalton Pepper,SF,77,210
96,97,Derrick Nix,C,81,285
97,98,Daniel  Miller,C,82,240
98,99,Garrick Sherman,C,82,220
