,Rank,Name,Position,Height,Weight
0,1,jahlil-okafor,C,82,265
1,2,myles-turner,C,84,240
2,3,cliff-alexander,PF,81,240
3,4,tyus-jones,PG,73,171
4,5,emmanuel-mudiay,PG,77,190
5,6,trey-lyles,PF,82,255
6,7,stanley-johnson,SF,78,225
7,8,justin-jackson,SF,79,185
8,9,karl-towns-jr,C,83,235
9,10,theo-pinson,SF,78,190
10,11,kelly-oubre,SF,79,190
11,12,kevon-looney,PF,80,200
12,13,dangelo-russell,SG,76,180
13,14,isaiah-whitehead,SG,76,195
14,15,justise-winslow,SF,78,218
15,16,isaac-copeland,PF,81,210
16,17,joel-berry,PG,72,185
17,18,devin-booker,SG,77,185
18,19,rashad-vaughn,SG,78,200
19,20,james-blackmon-jr,SG,74,175
20,21,grayson-allen,SG,76,185
21,22,keita-bates-diop,SF,79,190
22,23,devin-robinson,SF,80,180
23,24,chris-mccullough,PF,82,220
24,25,tyler-ulis,PG,69,150
25,26,goodluck-okonoboh,C,81,215
26,27,reid-travis,PF,80,240
27,28,jaesean-tate,SF,77,190
28,29,romelo-trimble,SG,74,175
29,30,daniel-hamilton,SG,78,175
30,31,lj-peak,SF,77,190
31,32,abdul-malik-abu,PF,80,230
32,33,shaqquan-aaron,SF,79,175
33,34,paul-white,PF,80,185
34,35,brandone-francis,SG,77,205
35,36,thomas-welsh,C,83,240
36,37,craig-victor,PF,79,205
37,38,kameron-chatman,SF,79,200
38,39,dwayne-morgan,PF,79,180
39,40,quentin-snider,PG,73,160
40,41,jordan-mclaughlin,PG,72,165
41,41,montaque-gill-ceasar,SF,77,215
42,42,jaquan-lyle,PG,77,215
43,43,terry-larrier,SF,79,200
44,44,leron-black,PF,79,225
45,45,chris-chiozza,PG,71,160
46,46,trevon-bluiett,SF,77,205
47,47,robert-johnson,SG,75,190
48,48,angel-delgado,PF,80,215
49,49,brekkott-chapman,PF,80,215
50,50,kaleb-joseph,PG,75,165
51,51,tj-haws,SG,76,170
52,52,dion-wiley,SG,76,195
53,53,jakeenan-gant,PF,80,210
54,54,ahmed-hill,SG,77,190
55,55,Malik Pope,SF,80,210
56,56,josh-perkins,PG,75,180
57,57,parker-jackson-cartwright,PG,68,150
58,58,jaquan-newton,PG,74,180
59,59,joe-burton,SF,78,195
60,60,elbert-robinson,C,83,270
61,61,Paschal Chukwu,C,85,220
62,62,caleb-martin,SF,79,190
63,63,alex-robinson,PG,73,170
64,64,william-lee,PF,81,210
65,65,michael-humphrey,PF,82,200
66,66,victor-law,SF,78,185
67,67,dominic-magee,PG,75,175
68,68,trayvon-reed,C,85,210
69,69,Jonah Bolden,PF,80,205
70,70,Justin Bibbs,SG,77,205
71,71,ronnie-harrell,SF,79,180
72,72,dante-buford,PF,79,209
73,73,lourawls-nairn,PG,70,170
74,74,tadric-jackson,SG,74,200
75,75,chinanu-onuaku,C,82,220
76,76,justin-coleman,PG,70,155
77,77,mike-gilmore,PF,81,210
78,78,edmond-sumner,PG,75,160
79,79,jared-terrell,SG,75,220
80,80,chandler-hutchison,SF,78,185
81,81,trey-kell,SG,76,200
82,82,mikal-bridges,SF,79,180
83,83,sandy-cohen,SF,78,180
84,84,jalen-lindsey,SF,79,180
85,85,dominique-collier,PG,74,166
86,86,jordan-barnett,SF,79,185
87,87,isaac-haas,C,84,275
88,88,zylan-cheatham,PF,79,200
89,89,vincent-edwards,SF,79,200
90,90,anton-beard,PG,73,180
91,91,cody-martin,SF,79,205
92,92,phil-booth,PG,74,170
93,93,riley-norris,SF,79,190
94,94,elijah-stewart,SG,77,165
95,95,payton-dastrup,C,81,220
96,96,riley-lachance,PG,74,175
97,97,Justin Tillman,PF,80,175
