,Rank,Name,Position,Height,Weight
0,1,marvin-bagley-iii,PF,83,220
1,2,michael-porter-jr,SF,82,215
2,3,deandre-ayton,C,84,220
3,4,mohamed-bamba,C,84,216
4,5,wendell-carter,PF,81,255
5,6,trevon-duval,PG,75,191
6,7,collin-sexton,PG,75,175
7,8,gary-trent-jr,SG,77,200
8,9,jaren-jackson,PF,83,225
9,10,kevin-knox,SF,81,206
10,11,mitchell-robinson,C,83,215
11,12,pj-washington,PF,80,230
12,13,lonnie-walker,SG,76,206
13,14,brian-bowen,SF,79,195
14,15,troy-brown-jr,SF,79,215
15,16,brandon-mccoy,C,83,244
16,17,nick-richards,C,83,239
17,18,billy-preston,PF,82,230
18,19,jarred-vanderbilt,PF,80,200
19,20,jaylen-hands,PG,75,170
20,21,nickeil-alexander-walker,SG,77,195
21,22,john-petty,SG,77,185
22,23,trae-young,PG,74,170
23,24,quade-green,PG,73,170
24,25,jontay-porter,PF,82,240
25,26,kris-wilkes,SF,79,194
26,27,mj-walker,SG,77,207
27,28,jalek-felton,SG,75,180
28,29,Malik Williams,PF,83,215
29,30,charles-obannon-jr,SF,78,200
30,31,matt-coleman,PG,73,174
31,32,Paul Scruggs,PG,75,190
32,33,chaundee-brown,SG,77,208
33,34,tremont-waters,PG,71,165
34,35,shai-gilgeous-alexander,PG,77,185
35,36,nick-weatherspoon,PG,74,175
36,37,brandon-randolph,SG,78,180
37,38,makai-ashton-langford,PG,74,185
38,39,lindell-wigginton,SG,73,165
39,40,rayshaun-hammonds,SF,80,215
40,41,ethan-thompson,SG,77,180
41,42,jordan-tucker,SF,79,207
42,43,emmanuel-akot,SF,80,185
43,44,kezie-okpala,SF,80,195
44,45,cody-riley,PF,80,240
45,46,jeremiah-tilmon,C,82,215
46,47,dan-gafford,C,82,220
47,48,chris-lykes,PG,67,160
48,49,jalen-hill,C,80,220
49,50,chuma-okeke,PF,80,221
50,51,jordan-poole,SG,77,185
51,52,jermaine-samuels,SF,77,205
52,53,dj-harvey-jr,SF,78,205
53,54,darius-perry,PG,74,160
54,55,jordan-goodwin,SG,76,220
55,56,jordan-nwora,PF,80,220
56,57,kimani-lawrence,SF,77,180
57,58,khalil-garland,SF,78,190
58,59,jaylen-nowell,SG,77,191
59,60,daejon-davis,SG,76,175
60,61,terrence-lewis,SF,77,195
61,62,isaiah-stokes,C,80,273
62,63,davion-mitchell,PG,74,195
63,64,Marcus Garrett,PG,77,180
64,65,deaundre-ballard,SG,78,195
65,66,jemarl-baker,SG,76,180
66,67,jericho-sims,C,80,190
67,68,isaiah-washington,PG,73,160
68,69,ira-lee,PF,80,225
69,70,Naji Marshall,SF,78,185
70,71,dshawn-schwartz,SF,79,217
71,72,kaleb-wesson,C,81,316
72,73,wabissa-bede,PG,73,180
73,74,xavier-tillman,PF,81,250
74,75,isaiah-livers,PF,79,185
75,76,zack-dawson,PG,75,180
76,77,myles-cale,SG,76,195
77,78,ty-shon-alexander,SG,76,190
78,79,galen-alexander,SF,79,220
79,80,Josh Anderson,SF,77,180
80,81,Savion Flagg,SF,79,200
81,82,royce-hamm,PF,80,210
82,83,ikey-obiagu,C,84,245
83,84,nojel-eastern,SG,78,207
84,85,remy-martin,PG,72,170
85,86,Nate Reuvers,PF,82,220
86,87,Alex O'Connell,SG,78,175
87,88,kyle-young,SF,79,210
88,89,victor-bailey-jr,SG,75,175
89,90,Hasahn French,PF,79,230
90,91,justin-smith,SF,79,215
91,92,connor-mccaffery,SG,78,195
92,93,Da'Monte Williams,SG,75,180
93,94,Deng Gak,PF,82,195
94,95,JaMarko Pickett,PF,79,160
95,96,alex-barcello,SG,74,175
96,97,lavar-batts,PG,74,165
97,98,Chase Johnson,PF,80,210
98,99,blake-harris,PG,75,190
