Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
410,Quinn Cook\quinn-cook-1,SO,2012-13,G,Duke,ACC,36,1208,33.6,4.2,10.1,2.7,6.2,1.5,3.9,1.8,2,0.5,3.3,3.8,5.3,1.4,0.1,2.2,2.7,11.7
411,Justin Greene\justin-greene-1,JR,2010-11,F,Kent State,MAC,37,1208,32.6,6,12.5,6,12.5,0,0,3.4,4.8,2.7,5.6,8.3,1.6,1.1,1.4,3,2.8,15.4
412,Hernst Laroche\hernst-laroche-1,SR,2011-12,G,New Mexico State,WAC,36,1208,33.6,3.6,8.1,2.4,4.9,1.3,3.2,3.3,4.6,0.5,2.4,2.9,3.8,1.8,0.1,2.3,2.2,11.9
413,Ray McCallum\ray-mccallum-2,JR,2012-13,G,Detroit Mercy,Horizon,33,1208,36.6,6.5,13.2,5.2,9.3,1.3,3.9,4.5,6.2,1.3,3.8,5.1,4.5,1.9,0.6,2.1,2,18.7
414,John Schoof\john-schoof-1,JR,2013-14,G,American,Patriot,33,1208,36.6,3.8,9,1.6,3.5,2.2,5.5,1.7,2.2,0.5,2.5,3,2.1,0.5,0.1,1.7,1.9,11.4
415,Micah Williams\micah-williams-1,SR,2010-11,G,East Tennessee State,A-Sun,35,1208,34.5,4.7,11.4,3.1,6.8,1.7,4.6,3,4,1.1,3,4.1,1.3,0.9,0.2,1.8,1.9,14.1
416,Alex Young\alex-young-1,JR,2010-11,G,IUPUI,Summit,33,1208,36.6,7.4,15.5,6.2,11.9,1.2,3.6,3.7,5,2.1,4.3,6.4,2.4,1.4,0.8,3.4,2.7,19.7
417,A.J. English\aj-english-1,SO,2013-14,G,Iona,MAAC,33,1207,36.6,5.2,12.7,2.6,5.5,2.5,7.2,4.4,5.7,0.7,3.3,3.9,4.3,1,0.4,2.8,2.4,17.2
418,Dajuan Graf\dajuan-graf-1,SR,2016-17,G,North Carolina Central,MEAC,34,1207,35.5,5.2,10.6,4.2,8.2,0.9,2.4,3,3.9,0.6,2.9,3.5,5.2,1.2,0,2.7,2,14.3
419,Tyree Griffin\tyree-griffin-1,JR,2017-18,G,Southern Mississippi,CUSA,34,1207,35.5,5.3,12.4,3.7,7.8,1.6,4.5,2.7,3.9,0.7,3.3,4.1,5.9,1.7,0.1,2.6,1.7,15
420,Roosevelt Jones\roosevelt-jones-1,JR,2014-15,F,Butler,Big East,34,1207,35.5,4.9,11.7,4.9,11.7,0,0,2.9,4.7,2.1,3.2,5.2,3.7,0.9,0.6,2.6,2.5,12.7
421,Frank Mason\frank-mason-1,SO,2014-15,G,Kansas,Big 12,36,1207,33.5,4.2,9.4,3,6.7,1.2,2.7,3.1,3.9,0.6,3.3,3.9,3.9,1.4,0.1,2.1,1.8,12.6
422,Jason McManamen\jason-mcmanamen-1,SR,2016-17,G,Wyoming,MWC,38,1207,31.8,3.4,9.5,1.1,2.7,2.3,6.8,2.2,3.1,0.4,2.6,3,2.4,0.6,0,1.2,2.4,11.3
423,Jordan Potts\jordan-potts-1,JR,2015-16,G,Bethune-Cookman,MEAC,32,1207,37.7,4.9,14,2.2,5.7,2.7,8.3,3.6,4.7,0.6,2.6,3.2,4.3,1.6,0.1,2.8,2.4,16
424,Steven Shepp\steven-shepp-1,SR,2011-12,G,Fresno State,WAC,33,1207,36.6,1.9,5.5,1.1,2.5,0.9,3.1,0.9,1.4,0.5,2.4,2.8,5,1.4,0.4,2,2.2,5.6
425,Jonathan Stark\jonathan-stark-1,JR,2016-17,G,Murray State,OVC,33,1207,36.6,7.5,17.2,4.3,9.5,3.3,7.7,3.5,4.3,0.3,3.6,3.9,5.2,1.3,0,2.9,2.3,21.9
426,Trey Sumler\trey-sumler-1,JR,2012-13,G,Western Carolina,Southern,32,1207,37.7,6.2,14.1,4.5,9.4,1.7,4.7,4.4,5.3,1,3.5,4.5,3.6,1.9,0.1,3.6,2.2,18.4
427,Yuta Watanabe\yuta-watanabe-1,SR,2017-18,G,George Washington,A-10,33,1207,36.6,5.8,13.4,4.2,8.7,1.7,4.7,2.9,3.6,1.3,4.8,6.1,1.6,0.8,1.6,1.5,1.5,16.3
428,Anthony Brown\anthony-brown-5,JR,2013-14,G,Stanford,Pac-12,36,1206,33.5,3.9,8.3,2.5,5.1,1.5,3.3,2.9,3.8,0.9,4.1,5,2.1,0.9,0.1,1.9,1.9,12.3
429,Justin Cobbs\justin-cobbs-1,SR,2013-14,G,University of California,Pac-12,35,1206,34.5,5.3,11.3,4.4,8.6,0.9,2.7,4.1,5,0.5,2.4,2.9,5.8,0.8,0.1,2.4,1.8,15.6
430,Nick Kellogg\nick-kellogg-1,SR,2013-14,G,Ohio,MAC,37,1206,32.6,5.3,11.5,2.9,5.5,2.4,6,2.5,2.9,0.6,3,3.6,2.9,1.1,0,1.5,2.1,15.5
431,Jordan Ratinho\jordan-ratinho-1,SO,2017-18,G,San Francisco,WCC,39,1206,30.9,3.6,8.3,1.4,2.9,2.2,5.3,1.2,1.9,0.8,2.5,3.3,1.2,0.7,0.4,0.8,2.1,10.7
432,Travis Releford\travis-releford-1,JR,2011-12,G,Kansas,Big 12,39,1206,30.9,3.1,6.1,2.4,4.1,0.7,2.1,1.7,2.7,1.6,2.6,4.2,1.8,1.2,0.2,0.9,2.1,8.5
433,Zeke Upshaw\zeke-upshaw-1,SR,2013-14,G,Hofstra,CAA,33,1206,36.5,6,14.8,3.2,6.9,2.8,7.9,5.2,6.8,1,3.2,4.2,1.8,0.8,0.2,2.8,2.1,19.8
434,Chris Clemons\chris-clemons-2,SO,2016-17,G,Campbell,Big South,36,1205,33.5,8.4,18.7,5.1,9.5,3.3,9.3,5.1,6.2,0.5,4.1,4.6,2.6,1.9,0.5,2.8,1.9,25.1
435,Khalid Mutakabbir\khalid-mutakabbir-1,SO,2010-11,G,Presbyterian,Big South,31,1205,38.9,4.8,10.2,3.2,7,1.6,3.2,2.4,3,0.8,2.4,3.2,2.3,1,0.2,2.9,2.3,13.5
436,Tyler Nelson\tyler-nelson-1,SR,2017-18,G,Fairfield,MAAC,33,1205,36.5,7,16.6,3.8,7.6,3.2,8.9,5.1,5.8,0.5,3.6,4.2,3.3,1.4,0.1,2.5,1.7,22.2
437,Kevin Olekaibe\kevin-olekaibe-1,SO,2011-12,G,Fresno State,WAC,33,1205,36.5,5.7,15.4,2.9,7.2,2.8,8.2,3.6,4.5,0.6,2.5,3.2,1.2,1.3,0.1,1.5,1.8,17.8
438,Aaron Craft\aaron-craft-1,SR,2013-14,G,Ohio State,Big Ten,35,1204,34.4,3.2,6.8,2.8,5.3,0.5,1.5,2.9,3.9,0.3,3.3,3.6,4.7,2.5,0.1,2.6,2.4,9.8
439,Olivier Hanlan\olivier-hanlan-1,JR,2014-15,G,Boston College,ACC,32,1204,37.6,7,15.5,5,9.8,2,5.8,3.4,4.5,0.8,3.5,4.2,4.2,1.3,0,2.7,2.1,19.5
440,Carl Jones\carl-jones-2,JR,2011-12,G,Saint Joseph's,A-10,33,1204,36.5,5.3,12.8,3.5,7.4,1.9,5.4,4.5,5.6,0.3,3,3.3,3.3,1.2,0,2.8,1.7,17
441,Patrick Richard\patrick-richard-1,SR,2011-12,G,McNeese State,Southland,33,1204,36.5,5.8,14.3,4.2,8.9,1.5,5.4,4.8,6.3,1.9,4.5,6.4,3.3,1.3,0.7,2.4,2.4,17.9
442,Yonel Brown\yonel-brown-1,SR,2015-16,G,Kennesaw State,A-Sun,31,1203,38.8,6.4,15.4,3.8,8.4,2.5,7,3.3,4.2,0.7,2.7,3.4,2.5,1.1,0,2.5,2,18.6
443,JaJuan Johnson\jajuan-johnson-1,SR,2010-11,F,Purdue,Big Ten,34,1203,35.4,7.6,15.3,7.1,13.8,0.4,1.5,5,6.1,2.4,6.1,8.6,1,0.9,2.3,1.6,1.6,20.5
444,Damon Lynn\damon-lynn-1,SO,2014-15,G,NJIT,Ind,33,1203,36.5,5.5,15.1,1.7,4.5,3.8,10.6,2.7,3.5,0.5,2.5,3,3.7,1.8,0.1,2.8,2,17.5
445,Nick Russell\nick-russell-1,SR,2013-14,G,Southern Methodist,AAC,37,1203,32.5,3.2,7.9,2.3,5.3,0.9,2.6,2.6,3.3,0.2,3.2,3.4,3.2,1,0.2,2.4,2.4,9.9
446,Peyton Siva\peyton-siva-1,JR,2011-12,G,Louisville,Big East,38,1203,31.7,3.2,7.9,2.7,6.1,0.4,1.8,2.3,3.1,0.5,2.7,3.2,5.6,1.7,0.1,3.4,3,9.1
447,Joe Chealey\joe-chealey-1,SR,2017-18,G,College of Charleston,CAA,34,1202,35.4,5,12.6,3.1,7.4,1.8,5.2,6.2,7.2,0.6,4,4.6,3.6,0.9,0.1,1.7,2.3,18
448,JoJo Cooper\jojo-cooper-1,SR,2017-18,G,Wagner,NEC,33,1202,36.4,4.8,11.4,3.6,8.3,1.2,3.1,3.5,4.8,1.2,4.1,5.2,6.1,1.5,0,3.3,2.2,14.3
449,Gabe DeVoe\gabe-devoe-1,SR,2017-18,G,Clemson,ACC,35,1202,34.3,4.9,10.8,2.4,4.6,2.5,6.2,2,2.6,0.9,3.9,4.7,2.1,1.1,0.4,2,2.1,14.2
450,Jackson Emery\jackson-emery-1,SR,2010-11,G,Brigham Young,MWC,37,1202,32.5,4.1,9.6,1.6,2.7,2.5,6.9,1.8,2.2,0.4,3.1,3.5,2.6,2.7,0.2,0.9,2.6,12.5
451,Ben Hansbrough\ben-hansbrough-1,SR,2010-11,G,Notre Dame,Big East,34,1202,35.4,5.7,11.9,3.1,6,2.6,5.9,4.4,5.4,0.7,3.1,3.9,4.3,1.2,0.1,2.4,2.6,18.4
452,Maurice Kemp\maurice-kemp-1,SR,2012-13,F,East Carolina,CUSA,35,1202,34.3,6.6,13.1,6.1,11.4,0.5,1.7,5.2,6.9,2.5,5.5,8,2.4,1.7,1.1,1.9,2.3,18.9
453,Sam Merrill\sam-merrill-1,SO,2017-18,G,Utah State,MWC,34,1202,35.4,5.6,11.2,2.8,5,2.9,6.2,2.1,2.5,0.2,3.1,3.3,3.1,1,0.2,1.8,2.2,16.3
454,Daniel Mullings\daniel-mullings-1,SO,2012-13,G,New Mexico State,WAC,35,1202,34.3,4.8,10.1,4.2,8.6,0.6,1.5,3.7,4.9,1.8,3.4,5.2,2.6,2.3,0.5,3,1.8,13.8
455,Dyshawn Pierre\dyshawn-pierre-1,JR,2014-15,F,Dayton,A-10,36,1202,33.4,4.6,9.8,3.5,6.9,1,2.9,2.6,3.8,2.1,6,8.1,2.9,0.6,0.4,2,1.8,12.7
456,Delon Wright\delon-wright-1,JR,2013-14,G,Utah,Pac-12,33,1202,36.4,5.3,9.4,4.9,7.8,0.4,1.6,4.6,5.8,1.3,5.5,6.8,5.3,2.5,1.3,2.5,1.8,15.5
457,Markel Brown\markel-brown-1,SR,2013-14,G,Oklahoma State,Big 12,34,1201,35.3,5.6,11.8,4,7.6,1.6,4.3,4.4,5.7,1.1,4.2,5.3,2.9,1,1,1.6,2.5,17.2
458,Schadrac Casimir\schadrac-casimir-1,FR,2014-15,G,Iona,MAAC,35,1201,34.3,4.5,10.4,1.8,4.1,2.7,6.3,2.9,3.3,0.5,2.3,2.8,2,1.1,0.1,1.2,2.2,14.5
459,Egor Koulechov\egor-koulechov-1,JR,2016-17,G,Rice,CUSA,35,1201,34.3,5.9,12.6,3.6,7.7,2.3,4.9,4,4.9,1.9,7.1,8.9,2.1,0.8,0.3,2,2,18.2
460,David Laury\david-laury-1,SR,2014-15,F,Iona,MAAC,34,1201,35.3,7.2,15.1,6.4,13,0.8,2.1,4.7,6.9,2.5,7.2,9.7,2.8,0.8,1.3,3,2.7,19.8
461,DeAndre Liggins\deandre-liggins-1,JR,2010-11,G,Kentucky,SEC,38,1201,31.6,2.9,6.9,2,4.5,0.9,2.4,1.8,2.8,0.6,3.4,4,2.5,1.2,0.7,1.4,2.5,8.6
462,Junior Robinson\lamont-robinson-1,JR,2016-17,G,Mount St. Mary's,NEC,36,1201,33.4,4.4,10.5,2.5,5.6,1.9,4.9,3.3,3.8,0.2,1.4,1.6,2.9,0.9,0.1,2.6,2.1,14.1
463,Tyler Strange\tyler-strange-1,SR,2014-15,G,Gardner-Webb,Big South,35,1201,34.3,2.8,7.3,1.2,2.9,1.6,4.4,1.1,1.6,0.3,2.5,2.8,7.4,1.7,0.1,2.4,1.9,8.3
464,Pierre Bland\pierre-bland-1,SR,2013-14,G,Purdue-Fort Wayne,Summit,36,1200,33.3,3.4,6.5,2.8,5.1,0.6,1.4,2.4,3.3,0.7,3.8,4.5,4.3,1.7,0.2,1.9,2.2,9.8
465,Trevon Bluiett\trevon-bluiett-1,SR,2017-18,G,Xavier,Big East,35,1200,34.3,5.8,13.2,2.8,6,3,7.2,4.8,5.6,0.8,4.7,5.5,2.5,0.7,0.3,2,2.2,19.3
466,Ben Brust\ben-brust-1,JR,2012-13,G,Wisconsin,Big Ten,35,1200,34.3,4,9.5,1.7,3.6,2.3,5.8,0.8,1.2,1.2,4,5.1,2.3,1,0.1,1.1,1.3,11.1
467,Semaj Christon\semaj-christon-1,SO,2013-14,G,Xavier,Big East,34,1200,35.3,5.9,12.4,5.4,10.9,0.6,1.4,4.6,6.9,0.4,2.2,2.7,4.2,1.3,0.2,2.6,2.1,17
468,Vincent Council\vincent-council-1,JR,2011-12,G,Providence,Big East,31,1200,38.7,5.9,15.2,5,12,0.9,3.2,3.1,4.5,1,3.1,4.1,7.5,1.3,0.4,3.5,2.4,15.9
469,Mike DiNunno\mike-dinunno-1,SR,2012-13,G,Eastern Kentucky,OVC,34,1200,35.3,4.8,11.4,2.1,4.5,2.7,6.9,2.6,3,0.3,1.8,2.1,4.3,1.9,0,2.7,2.4,14.8
470,Jock Landale\jock-landale-1,JR,2017-18,C,Saint Mary's (CA),WCC,36,1200,33.3,8.4,13.1,8.3,12.8,0.1,0.3,4.3,5.8,2.9,7.2,10.2,2,0.4,1,2.3,3,21.1
471,Walt Lemon\walt-lemon--1,JR,2012-13,G,Bradley,MVC,35,1200,34.3,5.7,12.7,4.7,9.7,1,3,3.1,4.1,0.5,3.7,4.2,3.8,2.1,0.4,3.7,2.8,15.6
472,Levi Randolph\levi-randolph-1,SR,2014-15,G,Alabama,SEC,34,1200,35.3,5,10.3,3.8,7,1.1,3.3,4.3,5.1,0.9,4.2,5.1,2.5,1.5,0.2,1.4,2.1,15.4
473,Sebastian Saiz\sebastian-saiz-1,SR,2016-17,F,Mississippi,SEC,36,1200,33.3,5,10.7,4.4,8.7,0.6,2,4.4,6,3.4,8,11.4,1,1,1.1,2.2,3.2,15.1
474,MaCio Teague\macio-teague-1,SO,2017-18,G,North Carolina-Asheville,Big South,34,1200,35.3,5.3,12.7,2.5,6,2.9,6.7,3.2,3.7,0.5,3.9,4.4,2.5,1.6,0.1,2.1,1.7,16.7
475,Kendall Williams\kendall-williams-1,SR,2013-14,G,New Mexico,MWC,34,1200,35.3,4.4,10.3,2.6,5.6,1.9,4.8,5.3,6.6,0.7,2.8,3.6,4.9,1.6,0.1,2,1.8,16
476,C.J. Bryce\cj-bryce-1,SO,2016-17,G,North Carolina-Wilmington,CAA,35,1199,34.3,6.6,13.6,5.4,10,1.2,3.6,3,4.4,1.7,3.7,5.4,3,0.9,0.2,1.9,2.3,17.4
477,D.J. Cooper\dj-cooper-1,JR,2011-12,G,Ohio,MAC,37,1199,32.4,4.4,12.6,2.4,6,2,6.6,3.9,5.3,0.8,2.9,3.7,5.7,2.3,0.1,2.9,1.4,14.7
478,Matthew Dellavedova\matthew-dellavedova-1,SO,2010-11,G,Saint Mary's (CA),WCC,34,1199,35.3,4.2,10,2.2,4.7,2,5.3,3.1,3.5,1.1,2.5,3.6,5.3,1.2,0,2.4,2.1,13.4
479,Caleb Martin\caleb-martin-1,JR,2017-18,F,Nevada,MWC,36,1199,33.3,6.2,13.6,3.4,6.8,2.8,6.9,3.7,5,0.9,4.4,5.4,2.6,1.3,0.6,1.7,2.6,18.9
480,Marshun Newell\marshun-newell-1,SR,2014-15,G,Tennessee-Martin,OVC,34,1199,35.3,4.3,10.4,2.3,5.4,2,5,2.5,3.3,1.5,5.4,6.9,2.7,1,0.1,2.2,1.7,13.1
481,Akeem Richmond\akeem-richmond-1,SR,2013-14,G,East Carolina,CUSA,34,1199,35.3,5.3,13.3,0.8,1.7,4.6,11.5,2.8,3.3,0.6,2.2,2.8,1.6,1.3,0,1.7,1.2,18
482,Jarnell Stokes\jarnell-stokes-1,JR,2013-14,F,Tennessee,SEC,37,1199,32.4,5.4,10.1,5.4,10.1,0,0,4.3,6.2,4.2,6.4,10.6,2,0.7,0.9,2.1,2,15.1
483,Bud Thomas\bud-thomas-1,SO,2011-12,F,Mercer,A-Sun,38,1199,31.6,3.2,6.3,2.4,3.8,0.8,2.5,1.4,2.2,1.2,3.4,4.6,2.1,1.2,0.5,1.9,1.7,8.6
484,Ben Bentil\ben-bentil-1,SO,2015-16,F,Providence,Big East,35,1198,34.2,7,15.2,5.5,10.7,1.5,4.5,5.5,7.1,2.7,5,7.7,1.1,0.9,1,1.9,2.8,21.1
485,Stephan Hicks\stephen-hicks-1,JR,2013-14,G,Cal State Northridge,Big West,35,1198,34.2,5.9,11.3,5.6,10.4,0.3,0.9,5.1,6.2,2.1,4.7,6.8,1.1,1.3,0.3,1.6,2.5,17.2
486,Kevin Knox\kevin-knox-1,FR,2017-18,F,Kentucky,SEC,37,1198,32.4,5.3,11.9,3.8,7.4,1.5,4.5,3.4,4.4,0.9,4.5,5.4,1.4,0.8,0.3,2.3,2.2,15.6
487,Otis Livingston II\otis-livingstonii-1,JR,2017-18,G,George Mason,A-10,33,1198,36.3,5.8,13.4,3.9,8.3,2,5.2,3.6,4.2,0.2,3,3.2,4.4,1,0.1,2.6,1.3,17.3
488,Jeremy Senglin\jeremy-senglin-1,SR,2016-17,G,Weber State,Big Sky,34,1198,35.2,6.9,14.4,3,5.7,3.9,8.7,3.6,4.6,0.2,3.7,3.9,2.8,1.1,0,2.4,2.1,21.1
489,DeAndre Bembry\deandre-bembry-1,SO,2014-15,F,Saint Joseph's,A-10,31,1197,38.6,6.4,14.9,4.8,9.9,1.6,4.9,3.3,5.2,1.6,6.2,7.7,3.6,1.9,0.9,2.9,2.4,17.7
490,Dee Bost\dee-bost-1,SR,2011-12,G,Mississippi State,SEC,33,1197,36.3,4.8,12.3,2.5,5.7,2.3,6.6,3.8,5,0.5,2.8,3.3,5.5,2,0.2,3,2.2,15.8
491,Ceola Clark\ceola-clark-1,SR,2011-12,G,Western Illinois,Summit,32,1197,37.4,4.3,9.5,1.6,3.7,2.7,5.8,2.1,2.8,0.8,2.9,3.6,4.7,1.6,0.1,1.7,1.6,13.3
492,Jeremy Harris\jeremy-harris-2,JR,2017-18,G,Buffalo,MAC,36,1197,33.3,5.6,12,3.1,5.9,2.6,6.1,1.6,2.1,1.3,4.6,5.9,2.1,1,0.7,1.3,2.1,15.5
493,Kyle Anderson\kyle-anderson-3,SO,2013-14,G,UCLA,Pac-12,36,1196,33.2,5,10.5,4.3,8.9,0.8,1.6,3.8,5.2,1.3,7.5,8.8,6.5,1.8,0.8,3.1,1.7,14.6
494,Tim Frazier\tim-frazier-1,SR,2013-14,G,Penn State,Big Ten,34,1196,35.2,4.8,11.1,4.1,8.6,0.7,2.5,4.6,5.9,0.9,3.5,4.4,5.4,1.6,0.2,2.7,2.6,14.9
495,Terrence Jones\terrence-jones-1,FR,2010-11,F,Kentucky,SEC,38,1196,31.5,5.4,12.3,4.7,10.2,0.7,2.1,4.1,6.4,2.4,6.4,8.8,1.6,1.1,1.9,2,2.4,15.7
496,Dylan Osetkowski\dylan-osetkowski-1,JR,2017-18,F,Texas,Big 12,34,1196,35.2,4.7,11.8,3.5,7.5,1.2,4.3,2.7,3.8,2.3,4.9,7.2,1.2,1,0.2,2.2,1.9,13.4
497,Javon Bess\javon-bess-1,JR,2017-18,G,Saint Louis,A-10,33,1195,36.2,3.9,9.8,3.2,7.1,0.7,2.7,4.8,6.4,2.4,5,7.4,2.2,1.2,0.4,2,2.4,13.3
498,Josh Brown\josh-brown-3,JR,2015-16,G,Temple,AAC,33,1195,36.2,3,7.3,2.2,4.9,0.8,2.4,1.5,2.1,0.4,4.4,4.8,4.9,1.2,0.5,1.4,2,8.3
499,Dylon Cormier\dylon-cormier-1,JR,2012-13,G,Loyola (MD),MAAC,34,1195,35.1,5.3,12.8,4.4,9.7,0.8,3,5.1,6.8,2.2,2.4,4.6,2.5,1.8,0.3,1.8,1.9,16.4
500,Allen Crabbe\allen-crabbe-1,JR,2012-13,G,University of California,Pac-12,33,1195,36.2,6.5,14.2,4.6,8.6,1.9,5.6,3.4,4.2,1,5.1,6.1,2.6,1.1,0.7,2.5,2.1,18.4
501,Trevon Harmon\trevon-harmon-1,JR,2010-11,G,Cleveland State,Horizon,36,1195,33.2,4.5,10.2,2.8,5.2,1.7,5,2.5,3.2,1.3,2.8,4,1.3,1.5,0,1.3,2,13.2
502,Malcolm Hill\malcolm-hill-1,JR,2015-16,G,Illinois,Big Ten,34,1195,35.1,5.6,12.9,4.6,9.5,1.1,3.5,5.7,6.9,1.3,5.3,6.6,3.3,1.2,0.4,2.2,2.6,18.1
503,Steve McWhorter\steve-mcwhorter-1,JR,2013-14,G,Milwaukee,Horizon,35,1195,34.1,2.6,6.9,1.8,4.4,0.8,2.6,1.8,2.7,0.8,3.3,4.1,4,1.5,0.5,2.2,3.1,7.8
504,Semi Ojeleye\semi-ojeleye-1,JR,2016-17,F,Southern Methodist,AAC,35,1195,34.1,6,12.3,3.9,7.4,2.1,4.9,4.9,6.3,2.3,4.6,6.9,1.5,0.4,0.4,1.4,1.8,19
505,Rakim Sanders\rakim-sanders-1,SR,2011-12,F,Fairfield,MAAC,37,1195,32.3,6.4,12.7,5.2,8.9,1.2,3.8,2.7,4.3,2.8,5.4,8.2,2.5,1.4,0.4,3.3,2.6,16.6
506,James Thompson IV\james-thompsoniv-1,JR,2017-18,F,Eastern Michigan,MAC,35,1195,34.1,5.7,8.5,5.7,8.5,0,0,3,4.9,4.1,7.1,11.2,0.3,0.8,1.9,1.9,3.3,14.5
507,Kevin Vannatta\kevin-vannatta-1,SR,2017-18,G,North Carolina-Asheville,Big South,34,1195,35.1,3.2,7.4,2.3,4.6,0.9,2.7,2.3,2.9,0.9,4.3,5.3,3.1,0.7,0.1,1.7,1.8,9.7
508,Kevin Galloway\kevin-galloway-1,SR,2010-11,F,Texas Southern,SWAC,32,1194,37.3,3.6,9.1,2.7,6.1,0.9,3,2.9,5,1.1,5.8,6.9,6.3,1.8,0.9,5,2,10.9
509,Rod Hall\rod-hall-1,JR,2013-14,G,Clemson,ACC,36,1194,33.2,3.1,7.1,2.4,5.2,0.6,1.9,2.9,3.9,0.4,2.1,2.5,4,0.4,0.1,2,1,9.7
510,Brockeith Pane\brockeith-pane-1,SR,2011-12,G,Utah State,WAC,37,1194,32.3,4.4,10.9,3.6,8.4,0.8,2.6,2.9,3.8,0.4,2.6,3,4.3,0.7,0.2,2.9,2.4,12.6
511,Glenn Robinson\glenn-robinson-2,SO,2013-14,F,Michigan,Big Ten,37,1194,32.3,4.9,10.1,4,7.2,0.9,2.9,2.4,3.1,1.5,3,4.4,1.2,0.9,0.3,1.2,1.5,13.1
512,Evan Roquemore\evan-roguemore-1,JR,2012-13,G,Santa Clara,WCC,38,1194,31.4,3.6,8.7,2.3,4.8,1.3,3.8,3.4,4.2,0.5,2.7,3.2,5.2,1.2,0.2,2.2,2.1,12
513,Jaylen Shaw\jaylen-shaw-1,JR,2016-17,G,Coastal Carolina,Sun Belt,39,1194,30.6,5.2,11.3,3.7,7.5,1.5,3.8,2.4,3,0.4,2.9,3.3,3.8,1.4,0.1,2.3,1.9,14.3
514,Mike Smith\mike-smith-7,SR,2010-11,F,East Tennessee State,A-Sun,35,1194,34.1,6.3,13.5,5,9.9,1.3,3.7,3.9,4.9,1.7,5.1,6.8,1.9,0.8,0.4,2.3,3.3,17.9
515,Joel Berry\joel-berry-1,SR,2017-18,G,North Carolina,ACC,36,1193,33.1,5.8,14.6,3.2,7.1,2.6,7.5,3,3.4,0.6,3,3.5,3.2,1.2,0.3,1.9,1.6,17.1
516,Alec Burks\alec-burks-1,SO,2010-11,G,Colorado,Big 12,38,1193,31.4,6.6,14.1,5.9,11.6,0.7,2.5,6.6,7.9,2.4,4.1,6.5,2.9,1.1,0.3,2.6,2.3,20.5
517,Josh Hart\josh-hart-1,SR,2016-17,G,Villanova,Big East,36,1193,33.1,6.6,12.9,4.5,7.8,2.1,5.1,3.5,4.7,1.4,5,6.4,2.9,1.6,0.3,2,2.3,18.7
518,Luke Maye\luke-maye-1,JR,2017-18,F,North Carolina,ACC,37,1193,32.2,6.8,13.9,5.4,10.8,1.4,3.1,2,3.2,3.1,7,10.1,2.4,1,1,1.9,2.5,16.9
519,Alex Oriakhi\alex-oriakhi-1,SO,2010-11,F,Connecticut,Big East,41,1193,29.1,3.7,7.4,3.7,7.4,0,0,2.1,3.4,3.7,5,8.7,0.4,0.4,1.6,1.1,2.5,9.6
520,Evan Roquemore\evan-roguemore-1,FR,2010-11,G,Santa Clara,WCC,38,1193,31.4,3,8.2,1.5,4.4,1.5,3.8,4.2,5.1,0.6,3,3.6,3.7,0.9,0.3,2.3,2.3,11.7
521,Kris Joseph\kris-joseph-1,SR,2011-12,F,Syracuse,Big East,37,1192,32.2,4.4,10.5,3.1,6.5,1.4,4,3.2,4.2,1.5,3.2,4.7,1.5,1.4,0.6,1.5,1.7,13.4
522,Dallas Moore\dallas-moore-1,SR,2016-17,G,North Florida,A-Sun,34,1192,35.1,8.8,18,5.9,10.6,2.9,7.4,3.4,4.1,0.8,2.4,3.1,4,1.1,0.1,2.4,1.1,23.9
523,Byron Mulkey\byron-mulkey-1,SR,2010-11,G,Buffalo,MAC,34,1192,35.1,4.3,10.3,2.7,6.2,1.6,4.1,2.9,3.8,0.2,3.6,3.9,4.5,2.5,0,2.4,2.2,13.1
524,Khalid Mutakabbir\khalid-mutakabbir-1,SR,2012-13,G,Presbyterian,Big South,32,1192,37.3,5.5,12.8,3.5,7.6,2,5.2,2.8,3.3,0.7,2.4,3.1,2.5,1.1,0.1,3,1.7,15.7
525,Chris Perez\chris-perez-1,SR,2013-14,G,Canisius,MAAC,34,1192,35.1,4.7,10.7,4,8.6,0.8,2.1,2.7,3.9,1.1,1.7,2.8,1.7,0.8,0,2.1,2.3,12.9
526,Kamar Baldwin\kamar-baldwin-1,SO,2017-18,G,Butler,Big East,35,1191,34,6,13.6,4.6,9.3,1.4,4.2,2.3,2.9,0.4,4.5,4.9,3.2,1.5,0.4,2.1,2.5,15.7
527,Yoeli Childs\yoeli-childs-1,SO,2017-18,F,Brigham Young,WCC,35,1191,34,7,13,6.6,11.6,0.4,1.4,3.3,5.2,2,6.6,8.6,2.2,0.9,1.8,2.2,2.3,17.8
528,Jordan Downing\jordan-downing-1,JR,2013-14,G,Presbyterian,Big South,32,1191,37.2,7.3,16.9,4.8,10.1,2.5,6.8,3,3.7,0.7,3.8,4.5,1.9,1,0.4,2.3,2.1,20.2
529,Tyreek Duren\tyreek-duren-1,SO,2011-12,G,La Salle,A-10,34,1191,35,4.6,9.6,3.4,6.8,1.1,2.9,3,3.7,0.5,2.9,3.4,4,1.7,0.2,2.4,1.7,13.2
530,Ty Greene\ty-greene-1,SR,2014-15,G,South Carolina Upstate,A-Sun,35,1191,34,6.6,14.9,3.7,7.7,2.9,7.2,4.1,5.4,0.9,2.2,3.1,2.1,2.1,0.2,1.3,1.6,20.3
