,Rank,Name,Position,Height,Weight
0,1,rj-barrett,SF,79,200
1,2,zion-williamson,PF,78,272
2,3,cam-reddish,SF,79,203
3,4,bol-bol,C,86,220
4,5,romeo-langford,SG,78,195
5,6,nassir-little,SF,79,215
6,7,keldon-johnson,SF,78,205
7,8,quentin-grimes,SG,76,204
8,9,anfernee-simons,SG,75,181
9,10,jalen-smith,PF,81,195
10,11,louis-king,SF,79,204
11,12,nazreon-reid,PF,82,240
12,13,darius-bazley,PF,80,195
13,14,ej-montgomery,PF,82,215
14,15,moses-brown,C,85,241
15,16,darius-garland,PG,74,175
16,17,tre-jones,PG,74,183
17,18,charles-bassey,C,82,220
18,19,simisola-shittu,PF,81,220
19,20,Ashton Hagans,PG,75,175
20,21,emmitt-williams,PF,78,215
21,22,jaylen-hoard,SF,80,195
22,23,coby-white,PG,75,165
23,24,devon-dotson,PG,74,175
24,25,immanuel-quickley,PG,75,180
25,26,jahvon-quinerly,PG,73,160
26,27,david-mccormack,C,82,255
27,28,Andrew Nembhard,PG,76,190
28,29,reggie-perry,PF,80,239
29,30,tyler-herro,SG,77,193
30,31,javonte-smart,PG,76,190
31,32,shareef-oneal,PF,82,210
32,33,jordan-brown,C,82,205
33,34,cole-swider,PF,80,203
34,35,Will Richardson,PG,76,170
35,36,ayo-dosunmu,PG,76,160
36,37,Elijah Weaver,PG,77,195
37,38,jalen-carey,SG,75,170
38,39,brandon-williams,PG,73,175
39,40,kevin-porter,SF,77,195
40,41,Joey Baker,PF,79,195
41,42,Aaron Wiggins,SF,78,180
42,43,Khavon Moore,SF,80,185
43,44,taeshon-cherry,PF,80,206
44,45,Mike Devoe,PG,75,163
45,45,Kira Lewis,PG,74,165
46,46,robert-woodard-ii,SF,78,222
47,47,gerald-liddell,SF,79,175
48,48,Joey Hauser,PF,79,210
49,49,David Duke,PG,75,
50,50,jules-bernard,SF,79,200
51,51,Rechon Black,SF,79,180
52,52,brandon-slater,SF,77,180
53,53,darius-days,PF,79,218
54,54,Nate Laszewski,PF,81,210
55,55,A.J. Reeves,SG,76,195
56,56,Francis Okoro,C,80,230
57,56,Filip Petrusev,C,83,225
58,57,daniel-oturu,C,82,220
59,58,jairus-hamilton,SF,80,220
60,59,Courtney Ramey,PG,75,150
61,60,brandon-johns,SF,80,215
62,61,jaedon-ledee,PF,81,230
63,62,marcus-bingham,PF,81,200
64,63,derek-culver,C,82,238
65,64,Luther Muhammad,SG,75,185
66,65,Cormac Ryan,SG,77,170
67,66,Talen Horton-Tucker,SF,77,220
68,67,Jerome Hunter,SF,78,195
69,68,kamaka-hepa,PF,81,200
70,69,Aaron Nesmith,SG,77,
71,70,Keyontae Johnson,SF,78,190
72,71,foster-loyer,PG,69,160
73,72,devonaire-doutrive,SG,76,160
74,73,Noah Locke,SG,74,197
75,74,isaiah-mucius,SF,79,180
76,75,carteare-gordon,PF,80,257
77,76,Torrence Watson,SG,77,180
78,77,Joe Wieskamp,SG,79,195
79,78,A.J. Green,PG,75,165
80,79,Jaiden Delaire,PF,80,195
81,79,Pete Nance,PF,80,200
82,80,dane-goodwin,SG,77,190
83,81,miles-norris,PF,80,185
84,82,D.J. Burns,C,79,257
85,83,immanuel-bates,C,81,200
86,84,jraan-brooks,PF,80,215
87,85,Robby Carmody,SF,76,185
88,86,Jordan McCabe,PG,72,175
89,87,gabe-brown,SF,80,200
90,88,Jared Butler,PG,75,180
91,89,Jaxson Hayes,C,82,205
92,90,jermaine-harris,C,81,220
93,91,Emmanuel Dowuona,C,82,220
94,92,Ethan Henderson,PF,80,190
95,93,Landers Nolley,SF,77,190
96,94,david-dejulius,PG,74,188
97,95,Matthew Mayer,SF,79,200
98,96,david-singleton-iii,SG,76,185
