,Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1036,1035,Stuckey Mosley\stuckey-mosley-1,JR,2017-18,G,James Madison,CAA,32,1140,35.6,6.2,15.1,3.6,7.8,2.7,7.2,3.3,4,0.8,3.7,4.5,2.1,1.4,0.2,2,2.5,18.4
1217,1216,C.J. Anderson\cj-anderson-3,SR,2017-18,G,Massachusetts,A-10,32,1126,35.2,3.6,8.7,2.6,6.2,1,2.5,2.4,3,0.9,4.1,5,5.2,0.7,0.2,2.4,2.4,10.6
541,540,J.R. Lynch\jr-lynch-2,JR,2017-18,G,Hartford,AEC,33,1190,36.1,4.7,10.9,3.1,6.7,1.5,4.3,2.5,3,0.3,4,4.3,3.8,1.5,0.1,2.4,2.7,13.4
312,311,Bogdan Bliznyuk\bogdan-bliznyuk-1,SR,2017-18,G,Eastern Washington,Big Sky,35,1228,35.1,7.6,14.3,6.3,11.1,1.3,3.2,4.7,5.3,0.9,5.9,6.8,3.9,0.8,0.3,3.4,2.4,21.2
1234,1233,Keita Bates-Diop\keita-bates-diop-1,JR,2017-18,F,Ohio State,Big Ten,34,1125,33.1,7.3,15.1,5.3,9.7,1.9,5.4,3.3,4.1,1.5,7.2,8.7,1.6,0.9,1.6,1.8,1.7,19.8
1019,1018,Sam Hauser\sam-hauser-1,SO,2017-18,G,Marquette,Big East,35,1141,32.6,5,10,2.3,4.4,2.7,5.6,1.5,1.7,1,4.7,5.7,2.9,1,0.5,1.2,2.1,14.1
545,544,Justin Simon\justin-simon-2,SO,2017-18,G,St. John's (NY),Big East,33,1190,36.1,4.6,9.7,4.1,8.6,0.5,1.1,2.5,3.8,1.2,5.9,7.1,5.1,2.5,0.8,2.9,2.7,12.2
1242,1241,Omari Spellman\omari-spellman-1,FR,2017-18,F,Villanova,Big East,40,1125,28.1,4,8.4,2.4,4.7,1.6,3.8,1.2,1.8,2.3,5.8,8,0.8,0.7,1.5,1,2.3,10.9
2028,2027,Tyler Kohl\tyler-kohl-1,JR,2017-18,G,Central Connecticut State,NEC,31,1080,34.8,5.8,13.8,4.4,9,1.4,4.8,3.7,4.7,1.9,6.3,8.2,4.1,1.4,0.1,3.7,2,16.7
549,548,Reid Travis\reid-travis-1,JR,2017-18,F,Stanford,Pac-12,35,1190,34,7.1,13.5,6.6,11.8,0.5,1.7,4.7,6.9,3,5.8,8.7,1.3,0.7,0.1,2.1,2.6,19.5
550,549,Ahmad Caver\ahmad-caver-1,JR,2017-18,G,Old Dominion,CUSA,32,1189,37.2,4.8,11.9,2.8,6.1,2,5.8,2.4,3.7,0.6,2.9,3.5,6.2,2.3,0.2,2,1.6,14.2
298,297,Malcolm Drumwright\malcolm-drumwright-1,SR,2017-18,G,Jacksonville State,OVC,36,1231,34.2,4.5,11.3,2.5,5.6,2,5.6,2.1,2.5,0.4,2.1,2.5,3.6,0.7,0.1,1.3,2,13.1
1248,1247,Tra Holder\tra-holder-1,SR,2017-18,G,Arizona State,Pac-12,32,1124,35.1,5.5,13.6,3.4,7.8,2.2,5.8,5,5.9,0.9,3.3,4.2,3.4,1.3,0,2.4,2,18.2
2024,2023,Ivan Gandia-Rosa\ivan-gandia-rosa-1,SO,2017-18,G,North Florida,A-Sun,33,1080,32.7,4.5,10.8,2.2,4.6,2.3,6.2,2.5,2.8,0.4,2.3,2.7,6.2,0.5,0,3.1,1.1,13.8
1808,1807,Tyler Seibring\tyler-seibring-1,JR,2017-18,F,Elon,CAA,32,1090,34.1,5.7,11.7,3.2,5.7,2.6,6,1.4,2,1.5,5.3,6.8,2.2,0.3,0.7,1.1,1.5,15.4
1250,1249,Manu Lecomte\manu-lecomte-1,SR,2017-18,G,Baylor,Big 12,33,1124,34.1,4.9,12.2,2.2,5,2.8,7.2,3.7,4.1,0.2,2,2.2,3.7,0.7,0,2.2,1.8,16.2
1007,1006,Jalen Avery\jalen-avery-1,JR,2017-18,G,Kent State,MAC,34,1142,33.6,3.5,8.1,1.9,3.8,1.6,4.3,1.7,2.2,0.6,2.1,2.7,3.6,0.6,0,0.7,0.9,10.3
