,Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1551,1550,Dedric Lawson\dedric-lawson-1,SO,2016-17,G,Memphis,AAC,32,1104,34.5,6.8,14.7,5.8,11.2,0.9,3.5,4.8,6.4,2.9,7,9.9,3.3,1.3,2.1,2.4,2.5,19.2
1572,1571,Marcus Johnson Jr.\marcus-johnsonjr-1,SR,2016-17,G,Little Rock,Sun Belt,32,1103,34.5,4.3,11.2,2.6,5.9,1.7,5.3,3.1,3.8,0.4,2.8,3.2,2.8,0.9,0,2.1,1.5,13.3
1570,1569,Kavin Gilder-Tilbury\kavin-gilder-tilbury-1,SR,2016-17,F,Texas State,Sun Belt,36,1103,30.6,5.7,11.5,3.7,6.3,2,5.2,2.6,3.9,1,4.6,5.6,1.8,1.2,1,1.9,2.9,15.9
2299,2298,Kentrell Barkley\kentrell-barkley-1,SO,2016-17,G,East Carolina,AAC,33,1066,32.3,4.1,10,2.9,6.5,1.2,3.5,3.9,5.7,1.8,5.8,7.6,2.6,1,0.5,2.5,1.8,13.2
83,84,Frank Mason\frank-mason-1,SR,2016-17,G,Kansas,Big 12,36,1301,36.1,6.7,13.7,4.4,8.8,2.3,4.8,5.3,6.6,0.6,3.6,4.2,5.2,1.3,0.1,2.4,2,20.9
1609,1608,Luke Kornet\luke-kornet-1,SR,2016-17,F,Vanderbilt,SEC,35,1101,31.5,4.1,10.2,2.6,5.6,1.5,4.6,3.4,4,1.5,4.7,6.2,1.2,0.5,2,1.3,2.3,13.2
1454,1453,Marcus Evans\marcus-evans-2,SO,2016-17,G,Rice,CUSA,35,1110,31.7,5.6,13.3,3.2,6.7,2.5,6.5,5.3,6.7,0.4,2.9,3.3,3.7,1.1,0.1,3.7,2.6,19
1394,1393,Sherron Dorsey-Walker\sherron-dorsey-walker-1,SR,2016-17,G,Oakland,Horizon,34,1114,32.8,4.1,10.5,2,4.9,2.1,5.6,3.1,4.1,0.6,4.5,5.1,3.8,1.1,0.2,2.2,1.9,13.4
1397,1396,Jeremiah Martin\jeremiah-martin-1,SO,2016-17,G,Memphis,AAC,32,1114,34.8,3.6,7.9,2.8,5.3,0.8,2.7,2.4,3.5,0.8,2.3,3.1,4.4,1.8,0.7,2,2.5,10.3
156,156,ShawnDre' Jones\shawndre-jones-1,SR,2016-17,G,Richmond,A-10,35,1269,36.3,5.7,12.2,3.7,7.2,2,5,3.5,4.3,0.3,1.7,2.1,3.9,0.9,0,1.9,2.2,16.8
1401,1400,Dennis Smith Jr.\dennis-smithjr-1,FR,2016-17,G,North Carolina State,ACC,32,1114,34.8,6,13.1,4.3,8.3,1.7,4.8,4.5,6.3,0.8,3.8,4.6,6.2,1.9,0.4,3.4,2.1,18.1
2244,2243,Fred Sims Jr.\fred-simsjr-1,SO,2016-17,G,Chicago State,WAC,31,1069,34.5,6.8,18.8,4.5,11.5,2.3,7.3,3,3.7,0.7,3.9,4.6,1.5,1,0.3,2.2,1.6,18.8
145,145,J.P. Macura\jp-macura-1,JR,2016-17,G,Xavier,Big East,38,1272,33.5,4.7,11.1,3,6.1,1.7,4.9,3.3,4.2,1.3,3.1,4.4,2.9,1.4,0.2,2,2.4,14.4
2245,2244,Jacorey Williams\jacorey-williams-1,SR,2016-17,F,Middle Tennessee,CUSA,36,1069,29.7,7.2,13.4,7.1,13,0.1,0.4,2.9,4.1,1.8,5.6,7.3,1.6,0.9,0.5,1.7,2,17.3
2249,2248,Frank Bartley\frank-bartley-1,JR,2016-17,G,Louisiana,Sun Belt,33,1068,32.4,4.9,11.1,2.8,5.4,2.1,5.8,3.4,4.7,0.8,3.5,4.3,2.6,1.7,0.1,1.9,2.4,15.3
1418,1417,Gabe Taylor\gabe-taylor-1,JR,2016-17,F,Portland,WCC,33,1113,33.7,4.2,9.5,3.3,7,0.8,2.5,2.4,3.2,1.2,4.3,5.5,0.8,0.4,0.5,1.5,1.7,11.6
1421,1420,Andrew Chrabascz\andrew-chrabascz-1,SR,2016-17,F,Butler,Big East,34,1112,32.7,3.8,8.4,3.1,6.3,0.7,2,3.1,4.1,1.5,3,4.6,3.1,0.7,0.3,1.7,2.4,11.4
124,124,Justin Jackson\justin-jackson-4,JR,2016-17,F,North Carolina,ACC,40,1281,32,6.6,14.9,4,7.8,2.6,7.1,2.5,3.3,1.5,3.2,4.7,2.8,0.8,0.2,1.7,1.4,18.3
1629,1628,Sam Hunt\sam-hunt-1,JR,2016-17,G,North Carolina A&T,MEAC,32,1100,34.4,4,10.5,1.7,4,2.3,6.5,2.3,2.5,0.2,1.5,1.7,1.8,0.6,0,2.3,1.7,12.7
1430,1429,Pancake Thomas\cleveland-thomas-1,SR,2016-17,G,Western Kentucky,CUSA,32,1112,34.8,4.7,11.2,2.3,5.2,2.4,6,2.1,2.7,0.7,2.6,3.3,2.6,0.9,0,1.3,1.5,13.8
118,118,Alex Robinson\alex-robinson-2,SO,2016-17,G,Texas Christian,Big 12,39,1283,32.9,4.2,10,3.2,7,1,3,1.8,2.9,0.5,2.7,3.1,5.8,1.5,0.5,2.7,1.9,11.2
1437,1436,Eric Garcia\eric-garcia-2,SR,2016-17,G,Wofford,Southern,33,1111,33.7,3.9,8.7,1.6,3.6,2.3,5.1,3.9,4.2,0.3,2.5,2.8,6.8,0.7,0,1.8,2,14
1620,1619,Trevis Wyche\trevis-wyche-1,SR,2016-17,G,Saint Peter's,MAAC,36,1101,30.6,3.6,8.2,2.6,5.9,0.9,2.3,3.2,4.1,0.2,2.5,2.7,3.8,1.5,0.2,1.5,2.3,11.3
1616,1615,Jahmel Taylor\jahmel-taylor-1,JR,2016-17,G,Fresno State,MWC,33,1101,33.4,3.2,7.5,0.7,2,2.5,5.5,1.7,2.1,0.5,3,3.5,1.8,1.2,0.2,1.1,2.2,10.5
1452,1451,T.J. Cromer\tj-cromer-1,SR,2016-17,G,East Tennessee State,Southern,35,1110,31.7,6.4,14,3.4,6.6,3,7.5,3.3,4,0.5,2.4,2.8,3.2,1,0.4,2.8,2.4,19.1
1453,1452,Demetrius Dyson\demetrius-dyson-1,JR,2016-17,G,Samford,Southern,36,1110,30.8,5.4,10.9,3,5.8,2.4,5.2,2.9,4,1,3.8,4.8,1.1,0.7,0.2,2.2,2.4,16.1
1249,1248,Keon Johnson\keon-johnson-1,SR,2016-17,G,Winthrop,Big South,32,1124,35.1,6.9,16,3.7,8,3.2,8,5.3,6.2,0.4,3.5,4,2.6,0.7,0,2.3,1.9,22.3
1928,1927,Obinna Oleka\obinna-oleka-1,SR,2016-17,F,Arizona State,Pac-12,33,1085,32.9,4.3,9.9,3.5,7.1,0.7,2.9,3.2,4.4,3,6.9,9.9,1.2,1,0.8,1.9,2.5,12.5
2160,2159,Admon Gilder\admon-gilder-1,SO,2016-17,G,Texas A&M,SEC,31,1073,34.6,4.7,11,2.8,6,1.9,5,2.4,3.3,1,2.8,3.9,3.9,1.9,0.3,2.7,2.2,13.7
1215,1214,Marquis Wright\marquis-wright-2,SR,2016-17,G,Siena,MAAC,33,1127,34.2,5.8,14.2,4.2,9.6,1.6,4.6,3.6,4.9,1.3,2.8,4.2,5,1.1,0.2,2.8,2.2,16.8
401,400,Duane Notice\duane-notice-1,SR,2016-17,G,South Carolina,SEC,37,1210,32.7,3.3,8.4,1.4,2.9,1.9,5.5,1.7,2.6,0.8,1.7,2.5,2.4,1,0.2,1.4,1.4,10.2
423,422,Jason McManamen\jason-mcmanamen-1,SR,2016-17,G,Wyoming,MWC,38,1207,31.8,3.4,9.5,1.1,2.7,2.3,6.8,2.2,3.1,0.4,2.6,3,2.4,0.6,0,1.2,2.4,11.3
368,367,Matt Jones\matt-jones-3,SR,2016-17,G,Duke,ACC,37,1216,32.9,2.6,6.4,1.2,2.5,1.4,3.9,0.5,0.7,1,1.8,2.8,1.9,1.7,0.2,1.1,2.3,7
1757,1756,Devin Sibley\devin-sibley-1,JR,2016-17,G,Furman,Southern,34,1093,32.1,5.9,11.3,3.6,6.1,2.3,5.2,3.6,4.8,0.3,3.9,4.1,2.3,0.8,0.2,2.7,2,17.7
1134,1133,Daniel Dion\daniel-dion-1,SR,2016-17,G,New Hampshire,AEC,32,1132,35.4,4.1,9.7,1.2,2.7,2.9,7,2.4,3,0.3,2.6,2.8,2.4,0.7,0,1.7,1.4,13.6
321,320,Tyler Lydon\tyler-lydon-1,SO,2016-17,F,Syracuse,ACC,34,1227,36.1,4.4,9.4,3,5.7,1.4,3.6,2.9,3.4,2.3,6.3,8.6,2.1,1,1.4,1.7,2.5,13.2
1738,1737,Jaren Sina\jaren-sina-1,JR,2016-17,G,George Washington,A-10,34,1094,32.2,2.6,7.8,0.8,2.9,1.8,4.9,2.1,2.5,0.4,2.3,2.7,3.3,0.8,0,1.5,1,9
1156,1155,Ben Moore\ben-moore-1,SR,2016-17,F,Southern Methodist,AAC,35,1131,32.3,4.5,8.1,4.5,8,0,0.1,2.3,3.7,2.6,5.2,7.8,2.4,0.9,1.1,1.6,2.7,11.4
2132,2131,Tai Webster\tai-webster-1,SR,2016-17,G,Nebraska,Big Ten,31,1075,34.7,5.9,14,4.6,9.6,1.3,4.4,3.9,5.3,1.1,4,5.1,4,1.4,0.1,3.2,2.4,17
371,370,Jaylon Brown\jaylon-brown-1,SR,2016-17,G,Evansville,MVC,33,1215,36.8,6.7,14.4,5.5,11.7,1.2,2.7,6.4,7.5,0.5,3.9,4.4,3.1,1,0.1,2.5,2.4,20.9
367,366,Chris Flemmings\chris-flemmings-1,SR,2016-17,G,North Carolina-Wilmington,CAA,35,1216,34.7,5.5,11.7,3.5,6,2,5.7,2.8,3.6,1.1,4.5,5.6,2.2,1.4,0.7,2.2,1.9,15.8
1209,1208,Omega Harris\omega-harris-1,JR,2016-17,G,Texas-El Paso,CUSA,31,1127,36.4,5.9,13,4.3,8.8,1.6,4.2,3.6,4.5,0.4,3.2,3.6,2.1,1.3,0.2,2.8,2.2,17
1724,1723,Emmanuel Omogbo\emmanuel-omogbo-1,SR,2016-17,F,Colorado State,MWC,36,1095,30.4,4.8,9.9,3.9,7.4,0.9,2.5,3.3,4.9,2.8,7.6,10.4,1.7,1.1,0.6,1.9,2.7,13.6
2131,2130,Andre Walker\andre-walker-3,JR,2016-17,G,Loyola (MD),Patriot,33,1075,32.6,4.6,13.1,2.1,6.5,2.5,6.5,3.2,3.8,0.6,3,3.6,3.9,1.5,0.3,3.3,2.7,14.9
2133,2132,Antwoine Anderson\antwoine-anderson-1,JR,2016-17,G,Fordham,A-10,32,1074,33.6,4.1,10,2.7,6,1.4,4,1.6,2.3,0.7,1.3,2,3.2,1.7,0.2,2.3,2.7,11.1
1763,1762,Khyri Thomas\khyri-thomas-1,SO,2016-17,G,Creighton,Big East,35,1093,31.2,4.7,9.2,3.3,5.9,1.3,3.3,1.7,2.2,1.5,4.3,5.8,3.3,1.5,0.4,2,1.6,12.3
358,357,Malik Monk\malik-monk-1,FR,2016-17,G,Kentucky,SEC,38,1218,32.1,6.6,14.7,3.9,7.8,2.7,6.9,3.9,4.7,0.3,2.2,2.5,2.3,0.9,0.5,2,1.9,19.8
1201,1200,Chimezie Metu\chimezie-metu-1,SO,2016-17,F,Southern California,Pac-12,36,1128,31.3,5.6,10.2,5.6,10.1,0,0.1,3.6,4.8,2,5.8,7.8,1.4,0.8,1.5,2.1,2.5,14.8
362,361,Rodney Purvis\rodney-purvis-1,SR,2016-17,G,Connecticut,AAC,33,1217,36.9,4.6,12.3,2.2,5.5,2.3,6.8,2.3,2.9,0.4,3.8,4.2,2.5,1,0.2,1.8,2.2,13.8
419,418,Dajuan Graf\dajuan-graf-1,SR,2016-17,G,North Carolina Central,MEAC,34,1207,35.5,5.2,10.6,4.2,8.2,0.9,2.4,3,3.9,0.6,2.9,3.5,5.2,1.2,0,2.7,2,14.3
2099,2098,Mike Rodriguez\mike-rodriguez-1,SR,2016-17,G,Southern Illinois,MVC,33,1077,32.6,3.8,9.5,2.9,6.8,0.8,2.7,4.5,6.1,0.3,2,2.3,4,1.4,0.2,2.1,2.2,12.9
1205,1204,Justin Robinson\justin-robinson-2,SR,2016-17,G,Monmouth,MAAC,34,1128,33.2,6.2,14.9,3.4,7.9,2.8,7,4.4,5.1,0.6,3.2,3.8,4.8,1.4,0.1,2.6,1.6,19.7
1189,1188,Bronson Koenig\bronson-koenig-1,SR,2016-17,G,Wisconsin,Big Ten,36,1129,31.4,5,12,2.2,4.7,2.9,7.3,1.6,1.8,0.2,2,2.1,2,0.6,0.3,1.4,1.7,14.5
334,333,Jared Brownridge\jared-brownridge-1,SR,2016-17,G,Santa Clara,WCC,33,1223,37.1,5.8,14.1,2.5,5.4,3.2,8.7,3.4,4.2,0.3,2.4,2.7,2.8,1,0.1,1.7,2.1,18.1
2095,2094,Solomon Mangham\solomon-mangham-1,SR,2016-17,F,Howard,MEAC,34,1077,31.7,3.5,10.6,1.8,4.8,1.7,5.8,0.9,1.6,1.9,5.2,7.1,0.9,0.6,0.4,1.2,2.1,9.7
2092,2091,Josh Jackson\josh-jackson-2,FR,2016-17,G,Kansas,Big 12,35,1077,30.8,6.3,12.3,5.3,9.7,1,2.6,2.8,4.9,2.3,5.1,7.4,3,1.7,1.1,2.8,3,16.3
2149,2148,Diante Baldwin\diante-baldwin-1,SR,2016-17,G,North Carolina-Greensboro,Southern,35,1073,30.7,4.9,11.4,3.7,8.1,1.2,3.3,2.5,3.4,0.8,2.7,3.5,4.3,1.8,0.2,2.7,2,13.5
2110,2109,Isaiah Johnson\isaiah-johnson-1,SR,2016-17,C,Akron,MAC,36,1076,29.9,6.2,9.9,6.2,9.9,0,0.1,4.2,7.2,2.9,4.3,7.1,2.9,0.5,0.9,2.3,2.6,16.6
1772,1771,Nick Mayo\nick-mayo-1,SO,2016-17,F,Eastern Kentucky,OVC,31,1092,35.2,6.5,13,5.5,10.4,1,2.6,4.4,5.7,1.5,5,6.5,2.8,0.9,1.4,3,2.5,18.5
2088,2087,Bobby Conley\bobby-conley-1,SR,2016-17,G,Texas State,Sun Belt,36,1077,29.9,2.9,7,1.6,3.3,1.3,3.7,1.5,2.3,0.4,3.4,3.8,2,1,0.2,1,1.8,8.5
379,378,Ehab Amin\ehab-amin-1,JR,2016-17,G,Texas A&M-Corpus Christi,Southland,36,1213,33.7,6.3,13.5,5.1,9.4,1.2,4.1,3.2,4.5,2,4.6,6.6,2.9,3.4,0.4,2.8,2.8,16.9
435,434,Chris Clemons\chris-clemons-2,SO,2016-17,G,Campbell,Big South,36,1205,33.5,8.4,18.7,5.1,9.5,3.3,9.3,5.1,6.2,0.5,4.1,4.6,2.6,1.9,0.5,2.8,1.9,25.1
1754,1753,London Perrantes\london-perrantes-1,SR,2016-17,G,Virginia,ACC,34,1093,32.1,4.3,10.4,2.4,5.3,1.9,5.1,2.2,2.7,0.3,2.7,3,3.8,0.7,0.1,1.7,1,12.7
1716,1715,Isaiah Briscoe\isaiah-briscoe-1,SO,2016-17,G,Kentucky,SEC,36,1095,30.4,4.5,9.6,4.1,8,0.5,1.6,2.6,4.1,1.5,3.9,5.4,4.2,0.8,0.2,2.5,2.6,12.1
1122,1121,Jaron Blossomgame\jaron-blossomgame-1,SR,2016-17,F,Clemson,ACC,33,1133,34.3,6.7,13.4,5.9,10.5,0.7,2.8,3.6,5.1,1.8,4.5,6.3,1.5,0.8,0.9,1.7,1.6,17.7
1771,1770,Austin Loop\austin-loop-1,SR,2016-17,G,Marshall,CUSA,35,1092,31.2,3.4,7.6,0.2,0.3,3.2,7.3,0.9,1,0.4,1.6,1.9,1.2,0.7,0.3,0.5,1.5,10.9
1245,1244,Jordan Bell\jordan-bell-1,JR,2016-17,F,Oregon,Pac-12,39,1124,28.8,4.4,6.9,4.3,6.5,0.1,0.4,2.1,3,2.9,5.9,8.8,1.8,1.3,2.3,1.9,1.7,10.9
1770,1769,JeQuan Lewis\jequan-lewis-1,SR,2016-17,G,Virginia Commonwealth,A-10,35,1092,31.2,4.8,11.1,2.4,4.7,2.4,6.5,3.2,3.9,0.2,2.6,2.8,4.5,1.7,0.1,2.5,2.5,15.2
300,299,Bryant McIntosh\bryant-mcintosh-1,JR,2016-17,G,Northwestern,Big Ten,36,1231,34.2,5.5,13.7,4.4,9.9,1.2,3.8,2.6,3,0.3,2.5,2.8,5.2,0.7,0.1,2.7,2.1,14.8
766,765,Davon Reed\davon-reed-1,SR,2016-17,G,Miami (FL),ACC,33,1165,35.3,4.9,11.3,2.5,5.2,2.4,6,2.7,3.3,0.8,3.9,4.8,2.4,1.3,0.5,2,1.6,14.9
1161,1160,Francisco Santiago\francisco-santiago-1,JR,2016-17,G,Youngstown State,Horizon,34,1131,33.3,4.6,9.8,3.6,7,1,2.8,1.4,1.8,1,4.3,5.2,4.6,1.4,0.4,2.1,2.2,11.6
297,296,Quinton Stephens\quinton-stephens-1,SR,2016-17,F,Georgia Tech,ACC,37,1232,33.3,3.5,9.4,1.9,4.2,1.6,5.1,1.7,2.5,1.4,6.3,7.6,2.2,1.2,0.7,1.9,2.1,10.4
1224,1223,Tyler Cavanaugh\tyler-cavanaugh-1,SR,2016-17,F,George Washington,A-10,35,1126,32.2,5.7,12.7,3.8,8.1,1.9,4.7,4.9,5.8,2.5,5.9,8.4,2,0.5,0.4,2.7,2.8,18.3
303,302,V.J. Beachem\vj-beachem-1,SR,2016-17,F,Notre Dame,ACC,36,1230,34.2,5.2,12.3,2.8,5.6,2.4,6.7,1.7,2,0.6,3.4,4.1,0.9,0.9,1.1,1.1,1.3,14.5
1758,1757,Rayshawn Simmons\rayshawn-simmons-1,SR,2015-16,G,Central Michigan,MAC,33,1093,33.1,4.4,10.2,3.6,7.5,0.8,2.8,2.5,4,1.3,3,4.3,5,0.6,0,2.2,2.7,12.1
883,882,Marcus Posley\marcus-posley-1,SR,2015-16,G,St. Bonaventure,A-10,31,1154,37.2,6.4,15.2,3.7,7.8,2.6,7.4,4.3,5.3,0.7,2.7,3.4,3.6,1.3,0.1,2.4,2.5,19.6
1784,1783,Paul Jesperson\paul-jesperson-1,SR,2015-16,G,Northern Iowa,MVC,36,1091,30.3,3.6,8.4,1.3,2.7,2.3,5.8,1.3,1.4,0.5,3.5,4,0.9,0.4,0.3,1.1,2,10.8
1416,1415,Carson Puriefoy\carson-puriefoy-1,SR,2015-16,G,Stony Brook,AEC,33,1113,33.7,4.7,12.1,2.2,5.8,2.5,6.3,3,3.8,0.6,2.6,3.2,3.1,1.2,0.4,2.5,2.3,14.9
1451,1450,Devin Carter\devin-carter-1,JR,2015-16,G,Arkansas State,Sun Belt,31,1110,35.8,5.9,12.9,3.1,6.1,2.8,6.8,2.6,3.8,1,3.4,4.4,1.9,0.7,0.3,1.8,2.8,17.3
1428,1427,Jake Layman\jake-layman-1,SR,2015-16,F,Maryland,Big Ten,36,1112,30.9,3.9,7.8,2.3,3.8,1.6,4,2.2,2.6,1.1,4.2,5.3,1.1,1.1,1,1.7,1.9,11.6
1417,1416,Brian Sullivan\brian-sullivan-1,SR,2015-16,G,Davidson,A-10,30,1113,37.1,4.5,11.9,1.2,3.8,3.3,8.1,1.8,2.2,0.4,3.4,3.7,3.4,1,0.1,1.4,1.7,14.2
1876,1875,Kahron Ross\kahron-ross-1,SO,2015-16,G,Lehigh,Patriot,32,1087,34,4,8.9,3.1,6.6,0.9,2.4,2.3,3.4,0.7,2.1,2.8,6.1,1.4,0.2,2,1.9,11.2
1158,1157,Braxton Ogbueze\braxton-ogbueze-1,JR,2015-16,G,Charlotte,CUSA,33,1131,34.3,4.8,11.6,1.5,3.9,3.3,7.7,1.5,2,0.5,1.8,2.3,2.6,0.5,0.1,1.2,1.5,14.5
1755,1754,Jakob Poeltl\jakob-poeltl-1,SO,2015-16,F,Utah,Pac-12,36,1093,30.4,6.3,9.8,6.3,9.8,0,0,4.6,6.6,2.8,6.3,9.1,1.9,0.6,1.6,2.1,2.3,17.2
1422,1421,Joe De Ciman\joe-de-ciman-1,SR,2015-16,G,Colorado State,MWC,34,1112,32.7,3.4,8.9,1.4,3.8,2,5.1,1.6,2.4,1.4,3.8,5.1,1.7,0.7,0.3,1.4,3,10.3
1424,1423,Hayden Graham\hayden-graham-1,JR,2015-16,F,Air Force,MWC,31,1112,35.9,5.4,11.2,4.3,8.3,1.1,2.9,1.8,2.8,1.6,4.6,6.2,2.2,1.1,0.3,2,2.8,13.8
1160,1159,Adrian Rodgers\adrian-rogers-2,SR,2015-16,G,Southern,SWAC,35,1131,32.3,5.7,14.1,3.5,7.8,2.3,6.2,2.8,3.5,1,4.4,5.4,1.3,1.1,0.1,1.7,1.8,16.6
1865,1864,J.C. Hampton\jc-hampton-1,JR,2015-16,G,Lipscomb,A-Sun,33,1087,32.9,5.2,12.8,3,6.8,2.2,6.1,3.4,4.1,0.9,2.8,3.6,2.7,1.2,0.1,1.9,1.9,15.9
819,818,Jeremy Morgan\jeremy-morgan-1,JR,2015-16,G,Northern Iowa,MVC,36,1160,32.2,3.6,7.3,2.2,3.9,1.4,3.4,2.8,3.4,1.2,4.1,5.3,2.3,1.9,0.9,1.4,2.4,11.3
1508,1507,Ron Baker\ron-baker-1,SR,2015-16,G,Wichita State,MVC,35,1106,31.6,4.6,10.8,2.7,5.5,1.8,5.2,3.1,3.9,0.5,4.3,4.8,3.2,1.5,0.6,1.5,1.4,14
1126,1125,A.J. Jacobson\aj-jacobson-1,SO,2015-16,G,North Dakota State,Summit,33,1133,34.3,4.2,9.6,2.6,5,1.6,4.5,2.8,3.6,0.5,3.4,3.9,1.5,0.5,0.4,1.2,2.6,12.7
795,794,Georges Niang\georges-niang-1,SR,2015-16,F,Iowa State,Big 12,35,1162,33.2,8.1,14.8,6.5,10.7,1.6,4.1,2.7,3.4,1.3,4.9,6.2,3.3,0.9,0.6,2.6,3.2,20.5
1911,1910,Jameel Warney\jameel-warney-1,SR,2015-16,F,Stony Brook,AEC,33,1086,32.9,8.2,13.1,8.2,13.1,0,0,3.4,5.4,4.5,6.3,10.8,1.6,0.9,3,1.3,2.2,19.8
1516,1515,Jeffery Moss\jeffrey-moss-1,SR,2015-16,F,Murray State,OVC,31,1106,35.7,4.7,10.8,2.1,4.6,2.6,6.2,2.2,2.8,0.9,3.1,4,2,0.7,0.1,1.3,2.3,14.2
1778,1777,Casey Benson\casey-benson-1,SO,2015-16,G,Oregon,Pac-12,38,1091,28.7,2,4.7,1.1,2.2,0.9,2.5,1.2,1.7,0.4,1.8,2.3,3.1,0.7,0,0.6,1.7,6
1584,1583,Dikembe Dixson\dikembe-dixson-1,FR,2015-16,F,Illinois-Chicago,Horizon,30,1102,36.7,6.4,17.3,5,12.8,1.4,4.5,5.6,8.5,1.4,5.9,7.3,1.8,1.2,0.5,4.1,2.6,19.8
1575,1574,Lester Medford\lester-medford-1,SR,2015-16,G,Baylor,Big 12,34,1103,32.4,2.9,7.3,1.6,3.9,1.2,3.4,2,2.6,0.3,1.9,2.3,6.5,1.6,0.1,2.3,2.6,8.9
1922,1921,Peter Hooley\peter-hooley-1,SR,2015-16,G,Albany (NY),AEC,33,1085,32.9,3.9,10.4,2.7,5.4,1.2,5,3.4,4.4,0.5,4.1,4.6,2.7,0.9,0.1,2.2,1.1,12.5
1553,1552,Johnnie Shuler\johnnie-shuler-1,SO,2015-16,G,La Salle,A-10,31,1104,35.6,3,9,1,2.8,2,6.2,1.6,2,0.6,3.1,3.7,3,1.3,0,2.2,2.4,9.6
1117,1116,Wayne Selden\wayne-selden-1,JR,2015-16,G,Kansas,Big 12,38,1134,29.8,5,10.5,3,5.5,1.9,5,1.9,3.1,0.8,2.7,3.4,2.6,0.7,0.3,1.9,2,13.8
1116,1115,Shane McLaughlin\shane-mclaughlin-1,SR,2015-16,G,Bryant,NEC,31,1134,36.6,2.8,6.9,2,4.6,0.8,2.3,1.4,2.4,0.3,3.1,3.4,5.3,0.9,0,3.1,2.1,7.7
1592,1591,Maverick Rowan\maverick-rowan-1,FR,2015-16,G,North Carolina State,ACC,33,1102,33.4,4.2,11.8,1.8,4.5,2.5,7.3,2,2.6,0.9,2.2,3.1,0.7,0.5,0.1,1.5,2.2,12.9
1131,1130,Gabe York\gabe-york-1,SR,2015-16,G,Arizona,Pac-12,34,1133,33.3,5.2,12.3,2.3,5.5,2.9,6.9,1.7,2.3,0.6,2.6,3.2,2.2,0.9,0.3,2.1,2.1,15
1463,1462,Matt Donlan\matt-donlan-1,JR,2015-16,G,Youngstown State,Horizon,32,1109,34.7,4.6,10,2.1,4.5,2.6,5.5,1.3,1.6,0.4,4.1,4.5,1.3,0.5,0.2,1.5,1.8,13.1
1597,1596,Jordan Woodard\jordan-woodard-1,JR,2015-16,G,Oklahoma,Big 12,37,1102,29.8,4.1,9.8,1.9,5.1,2.2,4.8,2.7,3.3,0.9,2.1,3,3.4,1.6,0.2,1.6,2.4,13
1146,1145,Alex Anderson\alex-anderson-1,SR,2015-16,G,Tennessee-Martin,OVC,35,1131,32.3,3.7,10,1.1,2.5,2.7,7.5,1.8,2.1,0.3,2.3,2.6,2.1,0.4,0,1.2,0.8,12
1140,1139,Malcolm McMillan\malcolm-mcmillan-1,SR,2015-16,G,Canisius,MAAC,33,1132,34.3,4,9.5,2.8,5.6,1.2,3.8,5.5,6.6,0.5,2.6,3.1,4.1,0.7,0.5,1.8,2.4,14.7
1469,1468,Roosevelt Jones\roosevelt-jones-1,SR,2015-16,F,Butler,Big East,33,1109,33.6,5,10.8,5,10.7,0,0,3.7,5.5,2,4.6,6.6,4.7,1.5,0.4,2.3,2.5,13.8
1474,1473,Raeford Worsham\raeford-worsham-1,SR,2015-16,G,Jackson State,SWAC,35,1109,31.7,4.9,9.6,4.9,9,0.1,0.6,3.3,5.6,3,4.7,7.7,2.1,1.7,0.8,2.2,2.8,13.3
1070,1069,Cleon Roberts\cleon-roberts-1,JR,2015-16,G,La Salle,A-10,31,1137,36.7,4.1,10.6,2,4.7,2.1,5.8,2.6,3.4,1.4,2.2,3.6,1.2,1.9,0.4,1.8,2.8,12.9
1478,1477,Jordan Loveridge\jordan-loveridge-1,SR,2015-16,F,Utah,Pac-12,36,1108,30.8,3.5,8.9,1,2.7,2.5,6.2,2.1,2.7,0.4,3.4,3.8,1.7,0.6,0.1,1.2,2.1,11.6
1135,1134,Nick Emery\nick-emery-1,FR,2015-16,G,Brigham Young,WCC,36,1132,31.4,5.6,13.3,2.9,6.3,2.7,7,2.3,2.7,0.5,3,3.5,2.5,1.4,0.1,1.5,2.8,16.3
1484,1483,Ethan Telfair\ethan-telfair-1,JR,2015-16,G,Idaho State,Big Sky,31,1108,35.7,5.8,14.5,3.7,9.3,2,5.3,6.6,7.6,0.9,3.1,4,5.4,2.4,0.1,3.6,2.5,20.2
1489,1488,Ryan Bowie\ryan-bowie-1,SR,2015-16,G,Texas-San Antonio,CUSA,32,1107,34.6,5.9,13.3,3.3,7,2.5,6.3,3.7,4.8,1.6,5,6.6,1.6,0.8,0.2,2.2,2.8,18
807,806,Jahmal McMurray\jahmal-mcmurray-1,FR,2015-16,G,South Florida,AAC,33,1161,35.2,5.6,14.3,3.4,7.9,2.2,6.4,1.8,2.2,0.3,2.4,2.8,2.5,0.4,0.1,2.5,1.8,15.2
1493,1492,Henry Ellenson\henry-ellenson-1,FR,2015-16,F,Marquette,Big East,33,1107,33.5,5.9,13.2,5,10,0.9,3.2,4.3,5.8,2.2,7.6,9.7,1.8,0.8,1.5,2.4,2.5,17
1861,1860,Trey Davis\trey-davis-1,SR,2015-16,G,Massachusetts,A-10,32,1087,34,5.8,14.7,3.2,7.6,2.6,7.1,4.6,5.3,0.6,4,4.6,3.2,1.2,0.1,2.8,2,18.7
