,year,round,pick,player,position,school,draft_name,identifier,Player,Class,Season,Pos,School,Conf,G,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,,,,,,
22,2011,1,8,"Knight, Brandon",PG,Kentucky,Brandon Knight,Brandon Knight,Brandon Knight,FR,2010-11,G,Kentucky,SEC,38,35.9,5.7,13.5,3.4,7.4,2.3,6.1,3.6,4.5,0.7,3.4,4,4.2,0.7,0.2,3.2,2.2,17.3,,,,,,,
258,2016,1,25,"Johnson, Brice",PF,North Carolina,Brice Johnson,Brice Johnson,Brice Johnson,SR,2015-16,F,North Carolina,ACC,40,28,7.2,11.6,7.2,11.6,0,0,3.9,4.9,2.9,7.5,10.4,1.5,1.1,1.5,1.8,2.7,18.2,,,,,,,
262,2016,1,6,"Hield, Buddy",SG,Oklahoma,Buddy Hield,Buddy Hield,Buddy Hield,SR,2015-16,G,Oklahoma,Big 12,37,35.4,8.1,16.2,4.2,7.5,4,8.7,4.8,5.4,1.2,4.5,5.7,2,1.1,0.5,3.1,2.1,25,,,,,,,
119,2013,1,10,"McCollum, C. J.",SG,Lehigh,C. J. McCollum,C.J. McCollum,C.J. McCollum,JR,2011-12,G,Lehigh,Patriot,35,33.1,7.3,16.4,5.5,11.3,1.7,5,5.7,7,1.4,5.1,6.5,3.5,2.6,0.5,2.3,2.1,21.9,,,,,,,
187,2014,1,28,"Wilcox, C. J.",SG,Washington,C. J. Wilcox,C.J. Wilcox,C.J. Wilcox,SR,2013-14,G,Washington,Pac-12,32,34.9,6.2,13.6,3.3,6.4,2.8,7.2,3.2,3.7,0.7,3,3.7,2.5,1,1,1.7,2.3,18.3,,,,,,,
315,2017,1,26,"Swanigan, Caleb",PF,Purdue,Caleb Swanigan,Caleb Swanigan,Caleb Swanigan,SO,2016-17,F,Purdue,Big Ten,35,32.5,6.3,12,5.3,9.6,1.1,2.4,4.7,6,2.7,9.7,12.5,3.1,0.4,0.8,3.4,2.8,18.5,,,,,,,
170,2014,2,49,"Bairstow, Cameron",PF/C,New Mexico,Cameron Bairstow,Cameron Bairstow,Cameron Bairstow,SR,2013-14,F,New Mexico,MWC,34,32.9,7,12.5,6.9,12.4,0,0.1,6.4,8.8,2.2,5.1,7.4,1.6,0.6,1.5,2,2.1,20.4,,,,,,,
214,2015,1,14,"Payne, Cameron",PG,Murray State,Cameron Payne,Cameron Payne,Cameron Payne,SO,2014-15,G,Murray State,OVC,35,32.2,7,15.3,4.6,9,2.4,6.4,3.8,4.8,0.6,3.1,3.7,6,1.9,0.5,2.5,2.1,20.2,,,,,,,
254,2016,1,20,"LeVert, Caris",SG,Michigan,Caris LeVert,Caris LeVert,Caris LeVert,SO,2013-14,G,Michigan,Big Ten,37,34,4.4,10,2.8,6.1,1.6,4,2.5,3.2,0.5,3.8,4.3,2.9,1.2,0.3,1.7,1.7,12.9,,,,,,,
100,2013,2,33,"Felix, Carrick",SG,Arizona State,Carrick Felix,Carrick Felix,Carrick Felix,SR,2012-13,G,Arizona State,Pac-12,35,35.3,5.4,10.8,3.9,6.8,1.5,4,2.3,3.5,2.1,6.1,8.1,1.6,1.4,1.1,2,3,14.6,,,,,,,
11,2011,2,38,"Parsons, Chandler",SF,Florida,Chandler Parsons,Chandler Parsons,Chandler Parsons,SR,2010-11,F,Florida,SEC,36,34.1,4.3,9,3.1,5.7,1.2,3.3,1.5,2.7,2.1,5.7,7.8,3.8,0.9,0.4,2.3,1.9,11.3,,,,,,,
17,2011,2,44,"Jenkins, Charles",PG,Hofstra,Charles Jenkins,Charles Jenkins,Charles Jenkins,SR,2010-11,G,Hofstra,CAA,33,37.3,7.5,14.6,5.5,9.8,2,4.8,5.5,6.7,0.5,2.8,3.4,4.8,1.7,0.7,2.2,2,22.6,,,,,,,
146,2014,2,60,"Jefferson, Cory",PF,Baylor,Cory Jefferson,Cory Jefferson,Cory Jefferson,SR,2013-14,F,Baylor,Big 12,38,29,4.8,9.7,4.5,8.7,0.4,1,3.6,5.6,2.8,5.4,8.2,1,0.4,1.3,1.3,2.2,13.7,,,,,,,
40,2011,1,29,"Joseph, Cory",PG,Texas,Cory Joseph,Cory Joseph,Cory Joseph,FR,2010-11,G,Texas,Big 12,36,32.4,3.8,8.9,2.3,5.4,1.4,3.5,1.4,2,0.6,2.9,3.6,3,1,0.3,1.5,1.8,10.4,,,,,,,
307,2017,1,17,"Wilson, D. J.",PF/SF,Michigan,D. J. Wilson,D.J. Wilson,D.J. Wilson,JR,2016-17,F,Michigan,Big Ten,38,30.4,4.3,8,3.2,5.1,1.1,2.9,1.3,1.6,1.5,3.8,5.3,1.3,0.5,1.5,1.1,1.9,11,,,,,,,
218,2015,1,2,"Russell, D'Angelo",PG,Ohio State,D'Angelo Russell,D'Angelo Russell,D'Angelo Russell,FR,2014-15,G,Ohio State,Big Ten,35,33.9,6.6,14.7,3.9,8.1,2.7,6.6,3.4,4.5,1,4.7,5.7,5,1.6,0.3,2.9,2.1,19.3,,,,,,,
97,2012,1,6,"Lillard, Damian",PG,Weber State,Damian Lillard,Damian Lillard,Damian Lillard,JR,2011-12,G,Weber State,Big Sky,32,34.5,7.2,15.5,4.3,8.3,2.9,7.2,7.1,8,0.5,4.5,5,4,1.5,0.2,2.3,1.9,24.5,,,,,,,
295,2017,2,44,"Dotson, Damyean",SG,Houston,Damyean Dotson,Damyean Dotson,Damyean Dotson,SR,2016-17,G,Houston,AAC,32,34.3,6.3,13.4,2.9,5.8,3.4,7.6,1.4,1.7,1.5,5.4,6.9,1.1,0.9,0.2,1,1.7,17.4,,,,,,,
239,2016,2,56,"Hamilton, Daniel",SG/SF,Connecticut,Daniel Hamilton,Daniel Hamilton,Daniel Hamilton,SO,2015-16,G,Connecticut,AAC,36,31.9,4.4,11.4,3.1,7.5,1.3,3.9,2.4,2.8,0.9,8,8.9,4.7,1.1,0.4,2.4,1.8,12.5,,,,,,,
69,2012,2,55,"Johnson-Odom, Darius",SG,Marquette,Darius Johnson-Odom,Darius Johnson-Odom,Darius Johnson-Odom,SR,2011-12,G,Marquette,Big East,34,32.9,6.2,13.8,3.9,7.9,2.3,5.9,3.7,4.9,0.6,2.9,3.5,2.7,0.9,0.1,2.4,2,18.3,,,,,,,
66,2012,2,46,"Miller, Darius",SF,Kentucky,Darius Miller,Darius Miller,Darius Miller,JR,2010-11,G,Kentucky,SEC,38,31,3.9,8.2,2.4,4.8,1.5,3.4,1.5,1.8,1.3,3.2,4.6,1.7,0.8,1.1,1.5,2.6,10.9,,,,,,,
27,2011,2,41,"Morris, Darius",PG,Michigan,Darius Morris,Darius Morris,Darius Morris,SO,2010-11,G,Michigan,Big Ten,35,34.8,5.7,11.7,5.3,9.9,0.5,1.8,3.1,4.3,0.9,3.1,4,6.7,1,0,2.9,2.1,15,,,,,,,
306,2017,2,32,"Reed, Davon",SG,Miami (FL),Davon Reed,Davon Reed,Davon Reed,SR,2016-17,G,Miami (FL),ACC,33,35.3,4.9,11.3,2.5,5.2,2.4,6,2.7,3.3,0.8,3.9,4.8,2.4,1.3,0.5,2,1.6,14.9,,,,,,,
267,2016,1,21,"Bembry, DeAndre'",SF,Saint Joseph's,DeAndre' Bembry,DeAndre Bembry,DeAndre Bembry,JR,2015-16,F,Saint Joseph's,A-10,36,37.3,6.6,13.8,5.7,10.3,0.9,3.6,3.3,4.9,1.4,6.3,7.8,4.5,1.4,0.8,2,2.4,17.4,,,,,,,
150,2014,2,37,"Daniels, DeAndre",SF,Connecticut,DeAndre Daniels,DeAndre Daniels,DeAndre Daniels,JR,2013-14,F,Connecticut,AAC,38,29,4.9,10.6,3.6,7.4,1.3,3.2,1.8,2.3,1.4,4.6,6,0.4,0.7,1.4,1.5,2.4,13.1,,,,,,,
24,2011,2,53,"Liggins, DeAndre",SG,Kentucky,DeAndre Liggins,DeAndre Liggins,DeAndre Liggins,JR,2010-11,G,Kentucky,SEC,38,31.6,2.9,6.9,2,4.5,0.9,2.4,1.8,2.8,0.6,3.4,4,2.5,1.2,0.7,1.4,2.5,8.6,,,,,,,
278,2016,1,29,"Murray, Dejounte",PG/SG,Washington,Dejounte Murray,Dejounte Murray,Dejounte Murray,FR,2015-16,G,Washington,Pac-12,34,33.5,5.9,14.3,4.9,10.8,1,3.5,3.2,4.9,1.4,4.6,6,4.4,1.8,0.3,3.2,2.6,16.1,,,,,,,
229,2015,1,20,"Wright, Delon",PG,Utah,Delon Wright,Delon Wright,Delon Wright,SR,2014-15,G,Utah,Pac-12,35,33.3,4.7,9.3,4,7.2,0.7,2.1,4.4,5.2,1,4,4.9,5.1,2.1,1,1.9,1.4,14.5,,,,,,,
260,2016,2,45,"Jackson, Demetrius",PG,Notre Dame,Demetrius Jackson,Demetrius Jackson,Demetrius Jackson,JR,2015-16,G,Notre Dame,ACC,35,36,5.5,12.2,4,7.6,1.5,4.7,3.2,4,0.9,2.6,3.5,4.7,1.2,0.3,2.2,1.9,15.8,,,,,,,
308,2017,1,9,"Smith Jr., Dennis",PG,NC State,Dennis Smith Jr.,Dennis Smith Jr.,Dennis Smith Jr.,FR,2016-17,G,NC State,ACC,32,34.8,6,13.1,4.3,8.3,1.7,4.8,4.5,6.3,0.8,3.8,4.6,6.2,1.9,0.4,3.4,2.1,18.1,,,,,,,
255,2016,1,14,"Valentine, Denzel",SG/SF,Michigan State,Denzel Valentine,Denzel Valentine,Denzel Valentine,JR,2014-15,G,Michigan State,Big Ten,39,33.2,5.1,11.4,2.4,5.1,2.6,6.3,1.8,2.2,1.2,5.1,6.3,4.3,0.9,0.2,2.4,2.2,14.5,,,,,,,
285,2017,1,29,"White, Derrick",PG/SG,Colorado,Derrick White,Derrick White,Derrick White,SR,2016-17,G,Colorado,Pac-12,34,32.8,6,11.9,4.4,7.6,1.7,4.2,4.4,5.4,1,3.1,4.1,4.4,1.2,1.4,2.4,2.1,18.1,,,,,,,
0,2011,1,2,"Williams, Derrick",SF/PF,Arizona,Derrick Williams,Derrick Williams,Derrick Williams,SO,2010-11,F,Arizona,Pac-10,38,30,5.9,10,4.8,8.1,1.1,1.9,6.5,8.7,2.8,5.5,8.3,1.1,1,0.7,2.6,2.8,19.5,,,,,,,
133,2013,2,58,"Thomas, Deshaun",SF,Ohio State,Deshaun Thomas,Deshaun Thomas,Deshaun Thomas,JR,2012-13,F,Ohio State,Big Ten,37,35.4,7,15.8,5.1,10.1,1.9,5.6,3.8,4.6,1.7,4.2,5.9,1.3,0.5,0.3,1.4,1.5,19.8,,,,,,,
314,2017,2,45,"Brooks, Dillon",SF,Oregon,Dillon Brooks,Dillon Brooks,Dillon Brooks,SO,2015-16,F,Oregon,Pac-12,38,32.8,6.1,12.9,4.8,9.2,1.3,3.7,3.3,4.1,2,3.4,5.4,3.1,1.1,0.4,2.3,2.9,16.7,,,,,,,
242,2016,1,11,"Sabonis, Domantas",PF/C,Gonzaga,Domantas Sabonis,Domantas Sabonis,Domantas Sabonis,SO,2015-16,F,Gonzaga,WCC,36,31.9,6.6,10.9,6.5,10.5,0.1,0.4,4.2,5.4,3.1,8.8,11.8,1.8,0.6,0.9,2.6,3.2,17.6,,,,,,,
305,2017,1,13,"Mitchell, Donovan",SG,Louisville,Donovan Mitchell,Donovan Mitchell,Donovan Mitchell,SO,2016-17,G,Louisville,ACC,34,32.3,5.3,13.1,3,6.4,2.4,6.6,2.6,3.2,1.1,3.8,4.9,2.7,2.1,0.5,1.6,2.6,15.6,,,,,,,
65,2012,2,42,"Lamb, Doron",SG,Kentucky,Doron Lamb,Doron Lamb,Doron Lamb,SO,2011-12,G,Kentucky,SEC,40,31.2,4.4,9.2,2.5,5.2,1.9,4.1,3.1,3.7,0.4,2.3,2.7,1.5,0.5,0.1,1.1,1.8,13.7,,,,,,,
151,2014,1,11,"McDermott, Doug",SF,Creighton,Doug McDermott,Doug McDermott,Doug McDermott,SR,2013-14,F,Creighton,Big East,35,33.7,9.4,17.9,6.7,11.8,2.7,6.1,5.1,5.9,1.6,5.3,7,1.6,0.2,0.1,1.8,1.9,26.7,,,,,,,
71,2012,2,35,"Green, Draymond",PF,Michigan State,Draymond Green,Draymond Green,Draymond Green,SR,2011-12,F,Michigan State,Big Ten,37,33.2,5.7,12.8,4.3,9.1,1.4,3.6,3.4,4.7,2.1,8.5,10.6,3.8,1.5,0.9,3,2.8,16.2,,,,,,,
177,2014,2,45,"Powell, Dwight",PF,Stanford,Dwight Powell,Dwight Powell,Dwight Powell,SR,2013-14,F,Stanford,Pac-12,36,32.4,4.9,10.5,4.6,9.4,0.3,1.1,4,5.9,1.9,4.9,6.9,3.1,1.3,0.8,2.9,3.1,14,,,,,,,
162,2014,1,10,"Payton, Elfrid",PG,Louisiana Lafayette,Elfrid Payton,Elfrid Payton,Elfrid Payton,JR,2013-14,G,Louisiana,Sun Belt,35,35.9,6.8,13.3,6.4,11.8,0.4,1.5,5.3,8.6,2.3,3.7,6,5.9,2.3,0.6,3.6,2.4,19.2,,,,,,,
143,2013,2,46,"Green, Erick",PG,Virginia Tech,Erick Green,Erick Green,Erick Green,SR,2012-13,G,Virginia Tech,ACC,32,36.4,8.2,17.2,6.3,12.3,1.9,4.9,6.8,8.3,0.5,3.5,4,3.8,1.3,0.2,2.2,1.4,25,,,,,,,
233,2015,1,9,"Kaminsky, Frank",C,Wisconsin,Frank Kaminsky,Frank Kaminsky,Frank Kaminsky,SR,2014-15,C,Wisconsin,Big Ten,39,33.6,6.8,12.5,5.8,9.9,1.1,2.6,4,5.1,1.5,6.7,8.2,2.6,0.8,1.5,1.6,1.7,18.8,,,,,,,
168,2014,1,19,"Harris, Gary",SG,Michigan State,Gary Harris,Gary Harris,Gary Harris,SO,2013-14,G,Michigan State,Big Ten,35,32.3,5.6,13,3.3,6.4,2.3,6.6,3.3,4.1,1.1,2.9,4,2.7,1.8,0.4,1.7,2.1,16.7,,,,,,,
243,2016,2,50,"Niang, Georges",PF,Iowa State,Georges Niang,Georges Niang,Georges Niang,SR,2015-16,F,Iowa State,Big 12,35,33.2,8.1,14.8,6.5,10.7,1.6,4.1,2.7,3.4,1.3,4.9,6.2,3.3,0.9,0.6,2.6,3.2,20.5,,,,,,,
121,2013,1,21,"Dieng, Gorgui",C,Louisville,Gorgui Dieng,Gorgui Dieng,Gorgui Dieng,SO,2011-12,C,Louisville,Big East,40,32.8,3.6,6.9,3.6,6.9,0,0.1,1.8,2.7,3.5,5.6,9.1,1.1,1.2,3.2,2,3.3,9.1,,,,,,,
76,2012,1,7,"Barnes, Harrison",SF,North Carolina,Harrison Barnes,Harrison Barnes,Harrison Barnes,SO,2011-12,F,North Carolina,ACC,38,29.2,6,13.7,4.7,10.1,1.3,3.6,3.7,5.1,1.9,3.3,5.2,1.1,1.1,0.3,1.9,1.8,17.1,,,,,,,
251,2016,1,18,"Ellenson, Henry",PF,Marquette,Henry Ellenson,Henry Ellenson,Henry Ellenson,FR,2015-16,F,Marquette,Big East,33,33.5,5.9,13.2,5,10,0.9,3.2,4.3,5.8,2.2,7.6,9.7,1.8,0.8,1.5,2.4,2.5,17,,,,,,,
128,2013,2,34,"Canaan, Isaiah",PG,Murray State,Isaiah Canaan,Isaiah Canaan,Isaiah Canaan,SR,2012-13,G,Murray State,OVC,31,36.5,6.9,16.1,3.9,7.9,3,8.2,4.9,6,0.6,2.9,3.5,4.3,1.5,0.1,3.2,1.9,21.8,,,,,,,
263,2016,2,59,"Cousins, Isaiah",PG/SG,Oklahoma,Isaiah Cousins,Isaiah Cousins,Isaiah Cousins,SR,2015-16,G,Oklahoma,Big 12,37,33.3,4.6,11.2,2.8,7,1.8,4.3,1.8,2.6,0.6,3.8,4.5,4.5,1.4,0.3,2.4,1.7,12.6,,,,,,,
44,2011,2,60,"Thomas, Isaiah",PG,Washington,Isaiah Thomas,Isaiah Thomas,Isaiah Thomas,JR,2010-11,G,Washington,Pac-10,35,31.9,5.4,12.1,3.7,7.1,1.7,4.9,4.3,6,0.7,2.8,3.5,6.1,1.3,0.1,3,2.1,16.8,,,,,,,
