,year,round,pick,player,position,school,draft_name,identifier,Player,Class,Season,Pos,School,Conf,G,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,,,,,,
160,2014,1,17,"Young, James",SG/SF,Kentucky,James Young,James Young,James Young,FR,2013-14,G,Kentucky,SEC,40,32.4,4.6,11.3,2.5,5.4,2.1,5.9,3.1,4.4,1,3.3,4.3,1.7,0.8,0.2,1.9,2.1,14.3,,,,,,,
81,2012,1,24,"Cunningham, Jared",SG,Oregon St.,Jared Cunningham,Jared Cunningham,Jared Cunningham,JR,2011-12,G,Oregon State,Pac-12,36,34.6,5.5,12.2,4.1,8.1,1.4,4.1,5.5,7.5,1,2.8,3.8,2.8,2.5,0.4,2.8,2.4,17.9,,,,,,,
80,2012,1,21,"Sullinger, Jared",PF,Ohio State,Jared Sullinger,Jared Sullinger,Jared Sullinger,SO,2011-12,F,Ohio State,Big Ten,37,30.4,6.2,11.9,5.7,10.8,0.4,1.1,4.7,6.2,3.1,6.1,9.2,1.2,1.2,1.1,1.9,2.9,17.5,,,,,,,
210,2015,1,25,"Martin, Jarell",PF,LSU,Jarell Martin,Jarell Martin,Jarell Martin,SO,2014-15,F,Louisiana,SEC,33,35.1,6.1,12,5.7,10.5,0.4,1.6,4.2,6.2,3,6.3,9.2,1.8,1.2,0.7,2.8,2.8,16.9,,,,,,,
180,2014,2,35,"Stokes, Jarnell",PF,Tennessee,Jarnell Stokes,Jarnell Stokes,Jarnell Stokes,JR,2013-14,F,Tennessee,SEC,37,32.4,5.4,10.1,5.4,10.1,0,0,4.3,6.2,4.2,6.4,10.6,2,0.7,0.9,2.1,2,15.1,,,,,,,
284,2017,2,59,"Blossomgame, Jaron",SF,Clemson,Jaron Blossomgame,Jaron Blossomgame,Jaron Blossomgame,SR,2016-17,F,Clemson,ACC,33,34.3,6.7,13.4,5.9,10.5,0.7,2.8,3.6,5.1,1.8,4.5,6.3,1.5,0.8,0.9,1.7,1.6,17.7,,,,,,,
237,2016,1,3,"Brown, Jaylen",SF/SG,California,Jaylen Brown,Jaylon Brown,Jaylon Brown,SR,2016-17,G,Evansville,MVC,33,36.8,6.7,14.4,5.5,11.7,1.2,2.7,6.4,7.5,0.5,3.9,4.4,3.1,1,0.1,2.5,2.4,20.9,,,,,,,
116,2013,2,39,"Withey, Jeff",C,Kansas,Jeff Withey,Jeff Withey,Jeff Withey,SR,2012-13,C,Kansas,Big 12,37,30.9,5,8.6,5,8.6,0,0,3.7,5.2,2.1,6.4,8.5,0.9,0.8,3.9,2,2.1,13.7,,,,,,,
93,2012,2,31,"Taylor, Jeffery",SF,Vanderbilt,Jeffery Taylor,Jeffery Taylor,Jeffery Taylor,SR,2011-12,F,Vanderbilt,SEC,36,32.1,5.8,11.8,4,7.5,1.8,4.3,2.6,4.4,2.1,3.4,5.6,1.7,1.3,0.4,2.2,1.9,16.1,,,,,,,
51,2012,1,12,"Lamb, Jeremy",SG,Connecticut,Jeremy Lamb,Jeremy Lamb,Jeremy Lamb,SO,2011-12,G,Connecticut,Big East,34,37.2,6.4,13.4,4.3,7.1,2.1,6.2,2.9,3.6,0.9,3.9,4.9,1.7,1.2,0.6,2,1.7,17.7,,,,,,,
216,2015,1,19,"Grant, Jerian",PG,Notre Dame,Jerian Grant,Jerian Grant,Jerian Grant,SR,2014-15,G,Notre Dame,ACC,38,37.1,5.4,11.2,4.1,7.1,1.3,4.2,4.5,5.7,0.3,2.7,3,6.7,1.7,0.5,2.2,2,16.5,,,,,,,
3,2011,1,10,"Fredette, Jimmer",PG/SG,BYU,Jimmer Fredette,Jimmer Fredette,Jimmer Fredette,SR,2010-11,G,Brigham Young,MWC,37,35.8,9.4,20.7,6,12.2,3.4,8.5,6.8,7.6,0.6,2.8,3.4,4.3,1.3,0,3.5,1.3,28.9,,,,,,,
25,2011,1,30,"Butler, Jimmy",SG,Marquette,Jimmy Butler,Jimmy Butler,Jimmy Butler,SR,2010-11,G,Marquette,Big East,37,34.6,5.1,10.3,4.5,8.8,0.5,1.6,5.1,6.5,2.4,3.6,6.1,2.3,1.4,0.4,1.5,1.3,15.7,,,,,,,
186,2014,2,33,"Harris, Joe",SG,Virginia,Joe Harris,Joe Harris,Joe Harris,JR,2012-13,G,Virginia,ACC,35,32.5,5.5,11.7,3.3,6.5,2.2,5.2,3.2,4.3,0.9,3.2,4,2.2,0.9,0.5,2,2.3,16.3,,,,,,,
91,2012,1,23,"Jenkins, John",SG,Vanderbilt,John Jenkins,John Jenkins,John Jenkins,JR,2011-12,G,Vanderbilt,SEC,35,33.6,6.2,13.1,2.4,4.4,3.8,8.7,3.7,4.4,0.5,2.4,2.9,1.2,0.8,0.3,1.6,1.2,19.9,,,,,,,
30,2011,2,51,"Diebler, Jon",SG,Ohio State,Jon Diebler,Jon Diebler,Jon Diebler,SR,2010-11,G,Ohio State,Big Ten,37,35.7,3.9,7.7,0.8,1.6,3.1,6.1,1.7,2.1,0.4,2.3,2.6,2.4,1,0.1,0.9,1,12.6,,,,,,,
46,2011,2,40,"Leuer, Jon",PF,Wisconsin,Jon Leuer,Jon Leuer,Jon Leuer,SR,2010-11,F,Wisconsin,Big Ten,34,33.5,6.7,14.2,5.1,9.9,1.6,4.3,3.3,3.9,1.7,5.6,7.2,1.6,0.5,0.9,1.6,2.2,18.3,,,,,,,
183,2014,1,22,"Adams, Jordan",SG,UCLA,Jordan Adams,Jordan Adams,Jordan Adams,SO,2013-14,G,UCLA,Pac-12,36,30.1,5.8,11.9,4.3,7.9,1.4,4.1,4.4,5.3,1.9,3.5,5.3,2.3,2.6,0.1,1.5,2.2,17.4,,,,,,,
312,2017,2,38,"Bell, Jordan",PF,Oregon,Jordan Bell,Jordan Bell,Jordan Bell,JR,2016-17,F,Oregon,Pac-12,39,28.8,4.4,6.9,4.3,6.5,0.1,0.4,2.1,3,2.9,5.9,8.8,1.8,1.3,2.3,1.9,1.7,10.9,,,,,,,
169,2014,2,46,"Clarkson, Jordan",PG,Missouri,Jordan Clarkson,Jordan Clarkson,Jordan Clarkson,JR,2013-14,G,Missouri,SEC,35,35.1,6,13.3,5.1,10.1,0.9,3.3,4.6,5.6,0.8,3,3.8,3.4,1.1,0.2,2.7,2.2,17.5,,,,,,,
39,2011,1,26,"Hamilton, Jordan",SG,Texas,Jordan Hamilton,Jordan Hamilton,Jordan Hamilton,SO,2010-11,G,Texas,Big 12,36,32.2,6.8,15.3,4.3,8.8,2.5,6.5,2.6,3.4,2,5.7,7.7,2.1,0.9,0.6,2.1,1.8,18.6,,,,,,,
181,2014,2,58,"McRae, Jordan",SG,Tennessee,Jordan McRae,Jordan McRae,Jordan McRae,SR,2013-14,G,Tennessee,SEC,37,32.2,6,13.8,3.9,7.8,2.1,6.1,4.5,5.7,0.7,2.8,3.5,2.5,0.7,1,2.1,2.1,18.7,,,,,,,
211,2015,2,33,"Mickey, Jordan",PF,LSU,Jordan Mickey,Jordan Mickey,Jordan Mickey,SO,2014-15,F,Louisiana,SEC,31,34.9,6.2,12.2,6.1,11.9,0,0.3,3.1,4.7,3.2,6.7,9.9,1.3,0.9,3.6,3.3,2.6,15.4,,,,,,,
26,2011,2,36,"Williams, Jordan",PF,Maryland,Jordan Williams,Jordan Williams,Jordan Williams,SO,2010-11,F,Maryland,ACC,33,32.5,6.5,12,6.5,12,0,0,4,6.9,3.7,8.1,11.8,0.6,0.7,1.4,1.6,2.4,16.9,,,,,,,
219,2015,2,43,"Young, Joseph",PG,Oregon,Joseph Young,Joseph Young,Joseph Young,SR,2014-15,G,Oregon,Pac-12,36,36.7,7.4,16.4,4.8,9.4,2.5,7.1,3.4,3.7,0.5,3.9,4.4,3.8,1.1,0,2.4,1.4,20.7,,,,,,,
23,2011,2,45,"Harrellson, Josh",C,Kentucky,Josh Harrellson,Josh Harrellson,Josh Harrellson,SR,2010-11,F,Kentucky,SEC,38,28.5,3.3,5.5,3.3,5.2,0.1,0.3,0.9,1.5,3.7,5,8.7,0.8,0.9,1.5,0.7,2.4,7.6,,,,,,,
325,2017,1,30,"Hart, Josh",SG,Villanova,Josh Hart,Josh Hart,Josh Hart,SR,2016-17,G,Villanova,Big East,36,33.1,6.6,12.9,4.5,7.8,2.1,5.1,3.5,4.7,1.4,5,6.4,2.9,1.6,0.3,2,2.3,18.7,,,,,,,
176,2014,1,29,"Huestis, Josh",SF/PF,Stanford,Josh Huestis,Josh Huestis,Josh Huestis,SR,2013-14,F,Stanford,Pac-12,36,35.2,4.3,9.6,3.6,7.5,0.7,2.1,1.8,2.8,2.5,5.7,8.2,1.2,0.6,1.9,1.2,2.1,11.2,,,,,,,
299,2017,1,4,"Jackson, Josh",SF,Kansas,Josh Jackson,Josh Jackson,Josh Jackson,FR,2016-17,G,Kansas,Big 12,35,30.8,6.3,12.3,5.3,9.7,1,2.6,2.8,4.9,2.3,5.1,7.4,3,1.7,1.1,2.8,3,16.3,,,,,,,
224,2015,2,40,"Richardson, Josh",SG,Tennessee,Josh Richardson,Josh Richardson,Josh Richardson,SR,2014-15,G,Tennessee,SEC,32,36.3,5.8,12.5,4.3,8.5,1.4,4,3.1,3.9,0.9,3.6,4.5,3.6,2.1,0.5,2.7,2.5,16,,,,,,,
159,2014,1,7,"Randle, Julius",PF,Kentucky,Julius Randle,Julius Randle,Julius Randle,FR,2013-14,F,Kentucky,SEC,40,30.8,4.9,9.8,4.8,9.3,0.1,0.5,5.1,7.2,3.5,6.9,10.4,1.4,0.5,0.8,2.5,2.3,15,,,,,,,
34,2011,2,32,"Harper, Justin",PF,Richmond,Justin Harper,Justin Harper,Justin Harper,SR,2010-11,F,Richmond,A-10,37,31.8,6.6,12.4,4.5,7.8,2.1,4.6,2.5,3.2,1.7,5.2,6.9,1.2,0.6,1.2,1.5,2.2,17.9,,,,,,,
309,2017,1,15,"Jackson, Justin",SF,North Carolina,Justin Jackson,Justin Jackson,Justin Jackson,JR,2016-17,F,North Carolina,ACC,40,32,6.6,14.9,4,7.8,2.6,7.1,2.5,3.3,1.5,3.2,4.7,2.8,0.8,0.2,1.7,1.4,18.3,,,,,,,
196,2015,1,10,"Winslow, Justise",SF,Duke,Justise Winslow,Justise Winslow,Justise Winslow,FR,2014-15,F,Duke,ACC,39,29.1,4.4,9.1,3.3,6.3,1.2,2.8,2.6,4,1.3,5.2,6.5,2.1,1.3,0.9,1.8,2.8,12.6,,,,,,,
147,2014,2,32,"McDaniels, K. J.",SF,Clemson,K. J. McDaniels,K.J. McDaniels,K.J. McDaniels,JR,2013-14,F,Clemson,ACC,36,33.7,5.8,12.6,4.6,8.8,1.2,3.8,4.3,5.1,2.4,4.7,7.1,1.6,1.1,2.8,2.3,2.2,17.1,,,,,,,
35,2011,1,15,"Leonard, Kawhi",SF,San Diego State,Kawhi Leonard,Kawhi Leonard,Kawhi Leonard,SO,2010-11,F,San Diego State,MWC,36,32.6,5.9,13.2,5.2,10.8,0.7,2.4,3.1,4,3.1,7.5,10.6,2.5,1.4,0.6,2.1,2.5,15.5,,,,,,,
261,2016,2,54,"Felder, Kay",PG,Oakland,Kay Felder,Kay Felder,Kay Felder,JR,2015-16,G,Oakland,Horizon,35,36.7,7.7,17.5,5.5,11.4,2.2,6.1,6.8,8.1,0.7,3.5,4.3,9.3,2,0.2,3.4,3,24.4,,,,,,,
29,2011,2,48,"Benson, Keith",C,Oakland,Keith Benson,Keith Benson,Keith Benson,SR,2010-11,C,Oakland,Summit,35,32.4,6.6,12.1,6.3,11.4,0.3,0.7,4.5,7,2.7,7.5,10.1,1.1,0.8,3.6,1.9,3.1,17.9,,,,,,,
7,2011,1,9,"Walker, Kemba",PG,Connecticut,Kemba Walker,Kemba Walker,Kemba Walker,JR,2010-11,G,Connecticut,Big East,41,37.6,7.7,18,5.9,12.5,1.8,5.5,6.3,7.7,1.3,4.1,5.4,4.5,1.9,0.2,2.3,1.4,23.5,,,,,,,
77,2012,1,13,"Marshall, Kendall",PG,North Carolina,Kendall Marshall,Kendall Marshall,Kendall Marshall,SO,2011-12,G,North Carolina,ACC,36,33,2.9,6.3,2.1,4.1,0.8,2.2,1.5,2.2,0.2,2.4,2.6,9.8,1.2,0.2,2.8,1.6,8.1,,,,,,,
28,2011,1,22,"Faried, Kenneth",PF,Morehead State,Kenneth Faried,Kenneth Faried,Kenneth Faried,SR,2010-11,F,Morehead State,OVC,35,34.7,6.7,10.7,6.7,10.7,0,0,4,6.9,5.7,8.8,14.5,1.1,1.9,2.3,2.6,3.1,17.3,,,,,,,
111,2013,1,8,"Caldwell-Pope, Kentavious",SG,Georgia,Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,SO,2012-13,G,Georgia,SEC,32,33.9,5.8,13.4,3.2,6.4,2.6,7,4.2,5.3,1.2,5.9,7.1,1.8,2,0.5,2,2.2,18.5,,,,,,,
88,2012,2,47,"Murphy, Kevin",SG,Tennessee Tech,Kevin Murphy,Kevin Murphy,Kevin Murphy,SR,2011-12,G,Tennessee Tech,OVC,33,34.5,7.2,16.3,4.8,10.5,2.4,5.8,3.8,5.2,0.9,4.3,5.2,2.3,0.8,0.2,3.3,2.2,20.6,,,,,,,
226,2015,1,30,"Looney, Kevon",PF,UCLA,Kevon Looney,Kevon Looney,Kevon Looney,FR,2014-15,F,UCLA,Pac-12,36,30.9,4.2,8.9,3.6,7.4,0.6,1.5,2.6,4.1,3.4,5.8,9.2,1.4,1.3,0.9,1.3,2.9,11.6,,,,,,,
73,2012,2,44,"English, Kim",SG,Missouri,Kim English,Kim English,Kim English,SR,2011-12,G,Missouri,Big 12,35,33.6,4.9,9.4,2.7,4.5,2.2,4.9,2.5,3.4,0.9,3.4,4.2,1.6,1.3,0.3,1.7,2.4,14.5,,,,,,,
45,2011,1,11,"Thompson, Klay",SG,Washington State,Klay Thompson,Klay Thompson,Klay Thompson,JR,2010-11,G,Washington State,Pac-10,34,34.7,7.1,16.2,4.2,9,2.9,7.2,4.6,5.4,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9,21.6,,,,,,,
264,2016,1,5,"Dunn, Kris",PG,Providence,Kris Dunn,Kris Dunn,Kris Dunn,JR,2015-16,G,Providence,Big East,33,33,5.6,12.5,4.3,9,1.3,3.4,4,5.8,1.1,4.2,5.3,6.2,2.5,0.6,3.5,2.8,16.4,,,,,,,
87,2012,2,51,"Joseph, Kris",SF,Syracuse,Kris Joseph,Kris Joseph,Kris Joseph,SR,2011-12,F,Syracuse,Big East,37,32.2,4.4,10.5,3.1,6.5,1.4,4,3.2,4.2,1.5,3.2,4.7,1.5,1.4,0.6,1.5,1.7,13.4,,,,,,,
184,2014,1,30,"Anderson, Kyle",SF,UCLA,Kyle Anderson,Kyle Anderson,Kyle Anderson,SO,2013-14,G,UCLA,Pac-12,36,33.2,5,10.5,4.3,8.9,0.8,1.6,3.8,5.2,1.3,7.5,8.8,6.5,1.8,0.8,3.1,1.7,14.6,,,,,,,
185,2014,1,30,"Anderson, Kyle",SF,UCLA,Kyle Anderson,Kyle Anderson,Kyle Anderson,JR,2013-14,G,Delaware,CAA,35,34.7,3.6,9.1,1.1,2.6,2.4,6.5,1.4,1.8,0.9,2.8,3.7,0.9,0.8,0.3,0.8,2.6,11,,,,,,,
75,2012,2,49,"O'Quinn, Kyle",PF,Norfolk St.,Kyle O'Quinn,Kyle O'Quinn,Kyle O'Quinn,SR,2011-12,C,Norfolk State,MEAC,36,31.3,5.7,9.9,5.5,9.1,0.2,0.9,4.3,6.2,3.2,7.2,10.3,1.4,0.7,2.7,2.6,3.3,15.9,,,,,,,
10,2011,2,33,"Singler, Kyle",SF,Duke,Kyle Singler,Kyle Singler,Kyle Singler,SR,2010-11,F,Duke,ACC,37,34.8,5.9,13.8,4.2,8.5,1.7,5.2,3.4,4.2,2.4,4.5,6.8,1.6,0.9,0.3,1.9,2.6,16.9,,,,,,,
174,2014,2,48,"Patterson, Lamar",SG/SF,Pittsburgh,Lamar Patterson,Lamar Patterson,Lamar Patterson,SR,2013-14,G,Pittsburgh,ACC,36,32.6,5.6,12.7,3.4,7,2.2,5.7,3.7,4.9,1,3.9,4.9,4.3,1.4,0.3,2.6,2,17.1,,,,,,,
280,2017,1,7,"Markkanen, Lauri",PF,Arizona,Lauri Markkanen,Lauri Markkanen,Lauri Markkanen,FR,2016-17,F,Arizona,Pac-12,37,30.8,5,10.2,3.1,5.8,1.9,4.4,3.7,4.4,2.4,4.8,7.2,0.9,0.4,0.5,1.1,2,15.6,,,,,,,
36,2011,2,50,"Allen, Lavoy",PF,Temple,Lavoy Allen,Lavoy Allen,Lavoy Allen,SR,2010-11,F,Temple,A-10,33,33.9,4.7,9.7,4.5,9.2,0.2,0.5,2.1,3,2.7,5.9,8.6,2.3,0.7,1.8,1.6,2.3,11.6,,,,,,,
321,2017,1,2,"Ball, Lonzo",PG,UCLA,Lonzo Ball,Lonzo Ball,Lonzo Ball,FR,2016-17,G,UCLA,Pac-12,36,35.1,5.3,9.5,3,4.1,2.2,5.4,1.8,2.7,0.9,5.1,6,7.6,1.8,0.8,2.5,1.8,14.6,,,,,,,
129,2013,2,52,"Brown, Lorenzo",PG,NC State,Lorenzo Brown,Lorenzo Brown,Lorenzo Brown,JR,2012-13,G,NC State,ACC,33,34.2,4.2,10.1,3.6,7.8,0.6,2.3,3.3,4.2,0.7,3.7,4.3,7.2,2,0.6,3.5,2,12.4,,,,,,,
288,2017,1,12,"Kennard, Luke",SG,Duke,Luke Kennard,Luke Kennard,Luke Kennard,SO,2016-17,G,Duke,ACC,37,35.5,6.4,13.1,4,7.7,2.4,5.4,4.3,5.1,1.2,3.9,5.1,2.5,0.8,0.4,1.6,2.2,19.5,,,,,,,
269,2016,1,22,"Richardson, Malachi",SG,Syracuse,Malachi Richardson,Malachi Richardson,Malachi Richardson,FR,2015-16,G,Syracuse,ACC,37,34.4,4.1,11.1,2,5.1,2.1,6.1,3.1,4.2,0.5,3.8,4.3,2.1,1.1,0.3,2.1,2.5,13.4,,,,,,,
276,2016,2,36,"Brogdon, Malcolm",PG/SG,Virginia,Malcolm Brogdon,Malcolm Brogdon,Malcolm Brogdon,SR,2015-16,G,Virginia,ACC,37,34.1,6.2,13.6,4.2,8.4,2,5.2,3.8,4.2,0.5,3.5,4.1,3.1,0.9,0.2,1.4,2.1,18.2,,,,,,,
42,2011,2,43,"Lee, Malcolm",SG,UCLA,Malcolm Lee,Malcolm Lee,Malcolm Lee,JR,2010-11,G,UCLA,Pac-10,33,33.1,4.3,9.8,3.1,5.8,1.2,4,3.4,4.4,0.7,2.4,3.1,2,0.7,0.2,1.7,2.4,13.1,,,,,,,
303,2017,1,11,"Monk, Malik",SG,Kentucky,Malik Monk,Malik Monk,Malik Monk,FR,2016-17,G,Kentucky,SEC,38,32.1,6.6,14.7,3.9,7.8,2.7,6.9,3.9,4.7,0.3,2.2,2.5,2.3,0.9,0.5,2,1.9,19.8,,,,,,,
74,2012,2,59,"Denmon, Marcus",PG,Missouri,Marcus Denmon,Marcus Denmon,Marcus Denmon,SR,2011-12,G,Missouri,Big 12,35,34.6,5.7,12.4,2.9,5.5,2.8,6.9,3.4,3.8,1,4,5,2.1,1.5,0,1.2,1,17.7,,,,,,,
19,2011,1,14,"Morris, Marcus",PF/SF,Kansas,Marcus Morris,Marcus Morris,Marcus Morris,JR,2010-11,F,Kansas,Big 12,38,28.3,6.3,11.1,5.6,9.1,0.7,2,3.9,5.7,2.6,5,7.6,1.6,0.8,0.6,1.8,2.6,17.2,,,,,,,
259,2016,2,55,"Paige, Marcus",PG,North Carolina,Marcus Paige,Marcus Paige,Marcus Paige,SR,2015-16,G,North Carolina,ACC,34,31.6,4.3,10.9,2,4.4,2.3,6.5,2.4,3,0.4,2.1,2.5,3.7,1.1,0.4,1.2,1.5,13.4,,,,,,,
172,2014,1,6,"Smart, Marcus",PG,Oklahoma State,Marcus Smart,Marcus Smart,Marcus Smart,FR,2012-13,G,Oklahoma State,Big 12,33,33.5,4.6,11.3,3.4,7.4,1.2,4,5.1,6.5,1.5,4.3,5.8,4.2,3,0.7,3.4,2.8,15.4,,,,,,,
232,2015,2,45,"Thornton, Marcus",PG,William & Mary,Marcus Thornton,Marcus Thornton,Marcus Thornton,SR,2014-15,G,William & Mary,CAA,33,36.7,6.5,14.3,3.4,6.6,3.1,7.7,3.8,4.6,0.3,2.5,2.8,2.9,0.6,0.1,2.3,1.1,20,,,,,,,
173,2014,2,44,"Brown, Markel",SG,Oklahoma State,Markel Brown,Markel Brown,Markel Brown,SR,2013-14,G,Oklahoma State,Big 12,34,35.3,5.6,11.8,4,7.6,1.6,4.3,4.4,5.7,1.1,4.2,5.3,2.9,1,1,1.6,2.5,17.2,,,,,,,
64,2012,1,29,"Teague, Marquis",PG,Kentucky,Marquis Teague,Marquis Teague,Marquis Teague,FR,2011-12,G,Kentucky,SEC,40,32.6,3.6,8.8,3,6.8,0.7,2,2.1,3,0.4,2.1,2.5,4.8,0.9,0.3,2.7,2.3,10,,,,,,,
31,2011,1,25,"Brooks, MarShon",SG,Providence,MarShon Brooks,Marshon Brooks,Marshon Brooks,SR,2010-11,G,Providence,Big East,32,36.5,8.6,17.8,6.5,11.7,2.1,6.2,5.3,6.8,2.3,4.8,7,2.5,1.5,1.2,3.1,2.5,24.6,,,,,,,
107,2013,1,22,"Plumlee, Mason",C,Duke,Mason Plumlee,Mason Plumlee,Mason Plumlee,SR,2012-13,F,Duke,ACC,36,34.7,6.1,10.3,6.1,10.3,0,0,4.8,7.1,2.7,7.2,9.9,1.9,1,1.4,2.9,2.6,17.1,,,,,,,
84,2012,1,15,"Harkless, Maurice",SF,St. John's,Maurice Harkless,Maurice Harkless,Maurice Harkless,FR,2011-12,G,St. John's (NY),Big East,32,36.1,6,13.3,5.5,10.9,0.5,2.5,2.9,4.3,2.8,5.9,8.6,1.5,1.6,1.4,2.5,2.3,15.5,,,,,,,
140,2013,1,11,"Carter-Williams, Michael",PG,Syracuse,Michael Carter-Williams,Michael Carter-Williams,Michael Carter-Williams,SO,2012-13,G,Syracuse,Big East,40,35.2,3.9,9.9,3,6.9,0.9,3,3.2,4.7,1.3,3.7,5,7.3,2.7,0.5,3.5,2.3,11.9,,,,,,,
270,2016,2,49,"Gbinije, Michael",SF,Syracuse,Michael Gbinije,Michael Gbinije,Michael Gbinije,SR,2015-16,F,Syracuse,ACC,37,37.9,6.1,13.2,3.6,6.9,2.5,6.3,2.9,4.3,1.1,3,4.1,4.3,1.9,0.4,2.8,2.6,17.5,,,,,,,
62,2012,1,2,"Kidd-Gilchrist, Michael",SF,Kentucky,Michael Kidd-Gilchrist,Michael Kidd-Gilchrist,Michael Kidd-Gilchrist,FR,2011-12,F,Kentucky,SEC,40,31.1,4,8.2,3.7,6.9,0.3,1.3,3.6,4.8,2.6,4.9,7.4,1.9,1,0.9,2.2,2.4,11.9,,,,,,,
102,2013,2,44,"Muscala, Mike",C,Bucknell,Mike Muscala,Mike Muscala,Mike Muscala,SR,2012-13,F,Bucknell,Patriot,34,31.7,6.7,13.1,6.6,12.6,0.1,0.5,5.3,6.7,2.9,8.2,11.1,2.3,0.5,2.4,1.7,2.2,18.7,,,,,,,
94,2012,2,43,"Scott, Mike",PF,Virginia,Mike Scott,Mike Scott,Mike Scott,SR,2010-11,G,Fairleigh Dickinson,NEC,29,37.2,4.3,11.4,2.2,6.1,2.1,5.3,4.2,5.1,1,4.2,5.2,4.4,1.6,0.2,3.6,3.3,14.9,,,,,,,
209,2015,2,32,"Harrell, Montrezl",PF,Louisville,Montrezl Harrell,Montrezl Harrell,Montrezl Harrell,JR,2014-15,F,Louisville,ACC,35,35.1,6.1,10.7,5.8,9.7,0.3,1.1,3.3,5.5,3.2,6,9.2,1.4,0.9,1.2,2,2.1,15.7,,,,,,,
139,2013,2,38,"Wolters, Nate",PG,South Dakota State,Nate Wolters,Nate Wolters,Nate Wolters,SR,2012-13,G,South Dakota State,Summit,33,38.1,7.3,15.1,5.4,10,1.9,5.1,5.7,7,1.1,4.5,5.6,5.8,1.7,0.1,2.3,1.5,22.3,,,,,,,
145,2014,2,42,"Johnson, Nick",PG/SG,Arizona,Nick Johnson,Nick Johnson,Nick Johnson,JR,2013-14,G,Arizona,Pac-12,38,33.1,5.4,12.5,3.8,8,1.6,4.4,3.8,4.9,0.8,3.2,4.1,2.8,1.1,0.7,1.7,2,16.3,,,,,,,
294,2017,2,55,"Williams-Goss, Nigel",PG,Gonzaga,Nigel Williams-Goss,Nigel Williams-Goss,Nigel Williams-Goss,JR,2016-17,G,Gonzaga,WCC,38,32.8,5.8,11.9,4.7,8.8,1.1,3.1,4.1,4.8,0.6,5.4,6,4.7,1.7,0.1,2.1,1.6,16.8,,,,,,,
164,2014,1,8,"Stauskas, Nik",SG,Michigan,Nik Stauskas,Nik Stauskas,Nik Stauskas,SO,2013-14,G,Michigan,Big Ten,36,35.6,5.1,10.9,2.6,5.2,2.6,5.8,4.7,5.7,0.4,2.5,2.9,3.3,0.6,0.3,1.9,1.3,17.5,,,,,,,
9,2011,1,21,"Smith, Nolan",PG,Duke,Nolan Smith,Nolan Smith,Nolan Smith,SR,2010-11,G,Duke,ACC,37,34,7,15.4,5.5,10.9,1.5,4.4,5.1,6.2,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9,20.6,,,,,,,
227,2015,2,46,"Powell, Norman",SG,UCLA,Norman Powell,Norman Powell,Norman Powell,SR,2014-15,G,UCLA,Pac-12,36,34.6,5.9,13,4.9,9.7,1.1,3.3,3.5,4.7,0.6,4.1,4.7,2.1,1.8,0.4,2.2,2.5,16.4,,,,,,,
4,2011,1,28,"Cole, Norris",PG,Cleveland State,Norris Cole,Norris Cole,Norris Cole,SR,2010-11,G,Cleveland State,Horizon,36,35.7,7,15.9,5.6,11.8,1.4,4.1,6.3,7.4,0.8,5.1,5.8,5.3,2.2,0.1,2.7,2.4,21.7,,,,,,,
193,2015,2,42,"Hanlan, Olivier",PG,Boston College,Olivier Hanlan,Olivier Hanlan,Olivier Hanlan,JR,2014-15,G,Boston College,ACC,32,37.6,7,15.5,5,9.8,2,5.8,3.4,4.5,0.8,3.5,4.2,4.2,1.3,0,2.7,2.1,19.5,,,,,,,
90,2012,2,36,"Johnson, Orlando",SG,UC Santa Barbara,Orlando Johnson,Orlando Johnson,Orlando Johnson,SR,2011-12,G,UC-Santa Barbara,Big West,31,34.4,6.7,14.8,4.4,9.5,2.3,5.3,4.1,5.9,1.7,4.1,5.8,2.9,1.1,0.7,2.5,1.8,19.7,,,,,,,
110,2013,1,3,"Porter, Otto",SF,Georgetown,Otto Porter,Otto Porter,Otto Porter,SO,2012-13,F,Georgetown,Big East,31,35.4,5.4,11.3,4,8,1.4,3.3,3.9,5.1,1.8,5.7,7.5,2.7,1.8,0.9,1.5,2,16.2,,,,,,,
257,2016,1,27,"Siakam, Pascal",PF,New Mexico State,Pascal Siakam,Pascal Siakam,Pascal Siakam,SO,2015-16,F,New Mexico State,WAC,34,34.6,8.1,15,8,14.6,0.1,0.4,4,5.9,3.9,7.7,11.6,1.7,1,2.2,2,2.7,20.3,,,,,,,
217,2015,2,41,"Connaughton, Pat",SF,Notre Dame,Pat Connaughton,Pat Connaughton,Pat Connaughton,SR,2014-15,G,Notre Dame,ACC,38,35.6,4.4,9.4,1.9,3.6,2.4,5.8,1.3,1.7,1.1,6.3,7.4,1.5,0.7,0.9,1.2,2,12.5,,,,,,,
