,Rank,Name,Position,Height,Weight
0,1,erlens-noel,C,82,215
1,2,habazz-muhammad,SF,78,215
2,3,saiah-austin,C,84,210
3,4,aleb-tarczewski,C,84,240
4,5,yle-anderson,SF,79,210
5,6,steven-adams,C,82,235
6,7,anthony-bennett,PF,80,230
7,8,cameron-ridley,C,82,230
8,9,rant-jerrett,PF,82,220
9,10,arcus-smart,SG,75,200
10,11,gary-harris,SG,76,195
11,12,asheed-sulaimon,SG,75,175
12,13,alex-poythress,SF,79,215
13,14,ajuan-coleman,C,81,275
14,15,archie-goodwin,SG,77,181
15,16,randon-ashley,PF,80,215
16,17,sam-dekker,SF,79,195
17,18,glenn-robinson,SF,78,200
18,19,danuel-house,SF,78,185
19,20,odney-purvis,SG,76,190
20,21,icardo-ledo,SG,78,180
21,22,arcus-paige,PG,73,160
22,23,kris-dunn,PG,75,180
23,24,ogi-ferrell,PG,71,160
24,25,mile-jefferson,PF,79,190
25,26,ony-parker,C,81,270
26,27,itch-mcgary,PF,82,225
27,28,devonta-pollard,SF,79,200
28,29,j-warren,SF,79,205
29,30,haquille-cleare,C,81,270
30,31,shaq-goodwin,PF,80,245
31,32,mar-calhoun,SG,75,185
32,33,obert-carter,PF,80,250
33,34,brice-johnson,PF,81,210
34,35,erry-ellis,PF,80,220
35,36,icardo-gathers,PF,79,240
36,37,jerami-grant,PF,79,200
37,38,josh-scott,C,82,215
38,39,adam-woodbury,C,83,225
39,40,willie-cauley,C,82,215
40,41,ordan-adams,SF,77,220
41,42,eremy-hollowell,SF,79,190
42,43,ames-robinson,PG,75,195
43,44,yler-lewis,PG,71,165
44,45,lijah-macon,PF,80,210
45,46,yan-arcidiacono,PG,75,185
46,47,atin-reinhardt,SG,77,190
47,48,andrew-white,SF,78,195
48,49,ustin-anderson,SF,77,210
49,50,raxton-ogbueze,PG,73,185
50,51,danrad-knowles,PF,81,190
51,52,van-nolte,SF,79,190
52,53,winston-shepard,SF,80,205
53,53,solomon-poole,PG,72,180
54,54,daniel-ochefu,C,81,225
55,55,obert-upshaw,C,83,250
56,56,georges-niang,PF,79,230
57,57,ontay-brandon,SG,76,180
58,58,vauntes-smith-rivera,SG,75,220
59,59,prince-ibeh,C,82,225
60,60,joel-james,C,82,260
61,61,ordan-price,SG,77,220
62,62,ominic-artis,PG,71,165
63,63,j-rose,PG,75,180
64,64,cameron-biedscheid,SF,78,190
65,65,abe-york,SG,73,170
66,66,osco-allen,SF,81,210
67,67,jake-layman,SF,80,190
68,68,avier-johnson,SF,78,185
69,69,marcus-hunt,SF,78,215
70,70,p-tokoto,SF,78,195
71,71,anner-mosquera-perea,PF,80,210
72,72,avan-felix,PG,71,190
73,73,-mychal-reese,PG,74,170
74,74,terry-rozier,PG,73,165
75,75,ike-gesell,PG,73,185
76,76,nik-stauskas,SF,78,205
77,77,stephen-domingo,SF,79,200
78,78,christopher-obekpa,C,80,225
79,79,kellen-dunham,SG,77,170
80,80,codi-miller-mcintyre,PG,74,170
81,81,mike-tobey,C,83,210
82,82,j-hammons,C,84,275
83,83,Fred Van Vleet,PG,71,175
84,84,steve-taylor,SF,79,175
85,85,melvin-johnson,SG,75,175
86,86,kenny-kaminski,PF,79,230
87,87,matt-costello,PF,81,225
88,88,apheal-davis,SG,77,200
89,89,rant-verhoeven,C,80,215
90,90,montrezl-harrell,PF,80,215
91,91,torian-graham,SG,76,200
92,92,maurice-watson,PG,69,150
93,93,ronnie-johnson,PG,70,160
94,94,connor-lammert,PF,82,220
95,95,jaron-blossomgame,SF,79,200
96,96,ordan-burgess,SF,77,195
97,97,jordan-loveridge,SF,78,225
98,98,enzel-valentine,SF,77,205
